CONCEPTICON_ID	MRC_WORD	AGE_OF_ACQUISITION	CONCRETENESS	FAMILIARITY	IMAGABILITY	KUCERA_FRANCIS_FREQUENCY
1268	YES					144
1269	NO		318	605	361	2201
1270	WHY		267	589	251	404
1271	DELIGHT	414	282	510	459	29
1272	AUNT	233	564	554	567	22
1273	CANDLE		565	544	594	18
1274	SALT	233	594	612	570	46
1275	ANSWER	294	397	605	368	152
1276	AUTUMN	278	421	533	622	22
1277	HAND		604	601	598	431
1279	FAT	236	540	609	574	60
1280	FALL		409	572	547	147
1281	PRISON		570	462	593	42
1282	FAT	236	540	609	574	60
1283	TODAY					284
1284	BANK		573	573	560	83
1285	IMPORTANT			624	341	369
1286	HOT		507	607	551	130
1287	COLD	183	457	626	531	171
1288	CAP			429		27
1289	BABY		589	597	608	62
1290	ELEPHANT	222	628	459	616	7
1291	BACK	225	540	587	483	967
1292	BAD		308	592	388	142
1293	MISTAKE			584	380	34
1294	ZERO		341	569	483	24
1295	STICK		604	528	517	39
1297	LEG		626	589	601	58
1298	NEWSPAPER	292	576	641	616	65
1299	COFFEE	292	613	625	618	78
1300	COUNTRY	329	465	592	539	324
1301	FOOT		558	583	597	70
1302	FORK	225	592	584	598	14
1303	FINGER					40
1304	CHILD		581	585	619	213
1305	CHIMNEY			479		7
1306	QUEEN	247	537	527	612	41
1307	LANGUAGE					109
1308	DOUBT					114
1309	ASK					128
1310	CLEVER	333	313	515	378	17
1311	VERY		223	606	243	796
1312	FOX	283	605	501	607	13
1313	MOON		581	585	585	60
1314	QUIET		389	577	426	76
1315	RADIO	317	615	644	613	120
1316	TENT	283	608	521	593	20
1317	RAISE		340	534	418	52
1318	CHICKEN	250	614	544	619	37
1319	COWARD					8
1320	APPLE	211	620	598	637	9
1321	BOTTLE		591	591	619	76
1322	BREAKFAST	233	576	657	586	53
1323	CLOCK		591	608	614	20
1324	SLIP		448	537	497	19
1325	FRIEND		450	603	587	133
1326	DOWN		339	546	459	895
1327	UNCLE	192	580	557	574	57
1328	SCISSORS		596	559	609	1
1329	TOMORROW					63
1330	DEFEND					21
1331	SHEEP		622	507	596	23
1332	NEIGHBOUR	323	515	565	548	
1333	NECK		587	576	622	81
1335	WHITE		472	590	566	365
1336	EAT		486	529	563	61
1337	PIG	233	614	509	635	8
1338	PEACE		309	571	446	198
1339	MORNING		515	605	579	211
1340	WITH		268	608	287	7289
1342	SUMMER	253	439	612	618	134
1343	SUN	181	617	635	639	112
1344	RAM		541	468	546	2
1345	EWE	378	538	341	481	1
1346	THROAT		578	548	561	51
1348	BOAR		558	455	524	1
1349	CHURCH	278	587	560	616	348
1350	MONKEY		566	531	588	9
1351	SOW		504	428	479	3
1352	KNIFE		612	573	633	76
1353	HOUR		375	608	408	144
1354	NEXT		262	548	386	394
1355	LAUGH		433	594	528	28
1356	NUMBER	239	395	599	489	472
1357	DAUGHTER					72
1358	ENEMY	367	434	523	497	88
1359	SEPARATE					79
1360	DUCK	164	606	529	632	9
1361	TOOL	300	570	532	538	40
1362	STREET		579	602	577	244
1363	VOICE	275	485	596	489	226
1364	HEALTHY					33
1365	KITCHEN					90
1366	BOY		609	606	618	242
1367	CROSS		514	525	501	55
1368	BREAD		622	611	619	41
1369	GOLD		576	550	594	52
1370	MONTH		345	598	448	130
1371	KNEE	231	593	599	597	35
1372	MEDICINE	311	517	547	551	30
1373	TEA		609	572	599	28
1374	RING	208	593	589	601	47
1375	WINDOW	231	609	621	602	119
1376	NOW		309	605	276	1314
1377	VISIT					109
1378	SPOON	186	614	612	584	6
1379	TELEPHONE		619	605	655	76
1380	TOOTH		619	578	624	20
1381	SHOE		600	569	601	14
1382	NEEDLE	264	608	533	589	15
1383	GRANDFATHER	214	565	471	564	12
1384	SECOND	289	344	598	371	373
1385	PEPPER	269	591	554	587	13
1386	LION	244	627	511	626	17
1387	ARRIVE					24
1388	SHADE					28
1389	TOE	194	607	578	620	9
1390	WRONG	244	303	600	344	129
1391	TOWN		556	589	553	212
1392	LOUSE					3
1393	HORN	308	618	498	566	31
1394	BONE		588	541	567	33
1395	ROUND		438	563	559	81
1396	SHARP			572	495	72
1397	DULL			570	373	27
1398	DRY			615	429	68
1399	CLAY	358	606	455	575	100
1400	THIN		392	570	502	92
1401	DRINK	211	549	628	553	82
1402	BREAST		580	555	597	11
1403	BITE	214	509	593	553	10
1404	STRAIGHT		404	582	453	114
1405	NAME		405	573	475	294
1406	FAR		302	587	411	427
1407	BREATHE					7
1408	HEAR		394	602	425	153
1409	SEE		352	625	379	772
1410	KNOW		274	605	278	683
1411	LIE	250	357	548	385	59
1412	RUDE			550	390	6
1413	PLAY	192	468	586	498	200
1414	SQUEEZE					11
1415	THINK		346	612	384	433
1416	SIT		437	581	487	67
1417	KILL		386	549	481	63
1418	DIG					10
1419	FEAR		326	569	394	127
1420	COUNT		351	574	459	49
1421	SUCK					5
1423	FIGHT	261	455	561	543	98
1424	YELLOW		537	555	598	55
1425	GREEN	225	460	583	609	116
1426	EXPENSIVE			633	402	44
1427	BEAUTIFUL		393	609	532	127
1428	BURNING					50
1429	FULL		378	594	437	230
1430	STAR		574	574	623	25
1431	FREEZE		480	563	521	6
1432	CUT		430	581	460	192
1433	HIT					115
1434	STAB					3
1435	HUNT		416	523	527	10
1436	SCRATCH	269	523	553	543	9
1437	SPLIT	381	417	514	445	30
1438	FOOL		354	551	436	37
1439	SWIM	256	482	550	572	15
1440	SPIT					11
1441	FLY		525	537	582	33
1442	STAND		450	564	471	148
1443	WALK	206	452	625	505	100
1445	TURN	233	359	583	384	233
1446	COME		355	608	322	630
1447	GIVE		326	595	383	391
1448	HOLD	267	416	596	416	169
1449	RUB					6
1450	ROOM	244	566	627	545	383
1451	SMILE	208	514	594	615	58
1452	PUSH			564	395	37
1453	WASH	186	447	632	522	37
1454	WIPE					10
1455	PULL		360	565	446	51
1456	THROW	264	400	548	477	42
1457	SEW			517	478	6
1458	SAY					504
1459	IF		204	607	228	2199
1460	IN		278	616	334	21341
1461	AT		194	615	225	5378
1462	POT	217	584	577	598	28
1463	DRUNK					37
1464	LADDER			507		19
1465	BOX	192	597	599	591	70
1466	EXACT			606	288	27
1467	CIRCLE	214	515	581	591	60
1469	WEEK		383	577	481	275
1470	FOLD					7
1471	WINTER	236	499	615	621	83
1472	KEY		612	603	618	88
1473	FIST					26
1474	SEA		596	537	606	95
1475	COMB					6
1476	CHAIR		606	617	610	66
1477	KEEP		339	584	284	264
1478	WITHOUT		267	577	302	583
1479	DOLPHIN					1
1480	BODY	267	568	610	614	276
1481	HAMMER	278	605	515	618	9
1482	SHOULDER	264	589	553	577	61
1483	NINE		452	571	494	81
1484	OIL	303	581	548	573	93
1486	PLANT		594	592	605	125
1487	POUR		356	545	495	9
1488	FAUCET					1
1489	CLOUD		554	553	595	28
1490	RAT		624	548	588	6
1491	MOUSE	242	624	520	615	10
1492	DUMB		340	564	397	13
1493	ONE		379	613	432	3292
1494	DIE		358	569	499	73
1495	HAPPY		355	621	511	98
1496	GRANDMOTHER	208	579	522	609	9
1497	POSTCARD					7
1498	TWO		383	596	445	1412
1499	JUICE	250	599	567	593	11
1500	FOUR		365	553	491	359
1501	BORE		344	543	404	24
1502	GOAT		636	469	585	6
1503	SALIVA					4
1504	FLY		525	537	582	33
1505	SPERM	597	578	395	548	
1506	MEASURE	344	366	555	379	91
1507	FRUIT	219	612	590	587	35
1508	KING		559	522	585	88
1509	MOSQUITO		595	512	612	1
1510	CHIN		592	545	608	27
1511	ROOSTER			385		3
1512	RISE		368	546	451	102
1513	THINK		346	612	384	433
1514	HEN	219	631	461	597	22
1515	TEN					165
1516	SUBJUGATE					1
1517	WASP					2
1518	STUPID		351	550	381	24
1519	RUN					212
1520	CRUSH	339	381	480	480	4
1521	SEEM		226	549	249	229
1522	SOCK	172	581	578	553	4
1523	FORGET					54
1524	WINE	403	621	570	624	72
1525	COAST		562	541	588	61
1526	MEAL		602	603	573	30
1527	TICK					3
1528	FORGIVE					24
1529	LAST		299	587	367	676
1530	BOWL	256	575	557	579	23
1531	BRANCH	303	583	529	548	33
1532	SHEAR		456	428	484	40
1534	FEVER	358	492	454	563	19
1535	SWORD	342	577	444	597	7
1536	UNDERSTAND					137
1537	SPRINGTIME					4
1538	SCORPION		590	342	596	
1539	BASKET		606	485	560	17
1541	CULTIVATE					3
1542	ACCOMPANY					8
1543	SNAIL		579	489	577	1
1544	SOMETIMES			593	259	221
1545	HOST					36
1546	TWICE					74
1547	SOUP		615	576	604	16
1548	UGLY		377	562	491	21
1549	TRIBE		504	503	515	4
1550	PREVENT					83
1551	FEMALE					50
1552	GLOOMY			487	436	3
1553	MALE	383	564	588	587	37
1554	MAN		618	623	567	1207
1556	YOLK		593	471	530	1
1557	BEGINNING	311	318	593	359	164
1558	SIMILAR			554	324	157
1559	MONEY	247	574	631	604	265
1560	FACE	166	599	612	581	371
1561	ARMY	317	543	555	578	132
1562	MIND		333	591	373	325
1563	PYTHON		580	308	559	14
1564	LAZY		354	559	464	9
1565	HEAVEN	272	305	536	448	43
1566	GUN	228	612	519	613	118
1567	DOOR	214	606	630	599	312
1568	ARRANGE					10
1569	CHEESE	211	624	588	592	9
1570	EQUAL			591	321	90
1571	SELL		342	585	397	41
1573	SWELL	428	411	443	410	7
1574	FLOAT		451	553	525	3
1577	AND		220	620	226	28852
1579	BE		225	613	274	6377
1580	ONLY		218	600	255	1747
1581	ALLIGATOR		624	442	627	4
1582	TIN	286	593	575	532	12
1583	BRAIN	347	556	580	572	45
1584	BLISTER		573	462	616	3
1585	SLEEP		484	610	530	65
1586	SMELL		450	582	477	34
1587	SMELL		450	582	477	34
1588	TURN	233	359	583	384	233
1590	WAIT		317	577	357	94
1591	UP		400	608	391	1895
1592	CHEST		580	543	556	53
1593	DEEP		400	542	498	109
1594	FLOUR					8
1595	SOUTH		347	540	476	240
1596	LOCK	328	565	588	532	23
1597	AIRPLANE					11
1598	NORTH					206
1599	WORD					274
1600	SKIRT	258	614	551	573	21
1601	WEAK		351	562	414	32
1603	MOSQUE		478	316	461	10
1605	SKULL		570	503	609	3
1606	INSIDE			611	371	174
1607	HATE	278	335	552	462	42
1608	LISTEN		408	543	378	51
1609	IDEA		259	585	319	195
1610	PROSTITUTE					6
1611	INVITE					11
1612	LETTER	256	577	610	595	145
1613	COLOR		467	582	513	141
1614	SUMMIT			400	546	12
1615	ESCAPE	353	341	524	459	65
1616	CLOTH		580	561	547	43
1618	GRANDSON					5
1619	GRANDDAUGHTER					2
1620	SON			607	560	166
1621	SNEEZE		563	544	562	
1622	SHIRT	269	616	612	612	27
1623	SPEAK		419	600	488	110
1624	EMPTY		374	556	479	64
1625	DEAD		429	581	520	174
1626	EXPLAIN					64
1627	CHAIN	311	595	513	559	50
1628	SQUIRREL		612	511	642	1
1629	EVENING	303	439	630	559	133
1631	FAST		304	600	411	78
1632	FLOOR		559	551	544	158
1633	FLAT					67
1634	HUNDRED					171
1635	OBEY			538	352	8
1636	MOTIONLESS					7
1637	AUTHORITY					93
1638	TRUTH		261	581	374	126
1639	BEER		587	604	598	34
1640	SIBLING					1
1641	SILK		538	482	510	12
1642	NIECE					8
1643	COUSIN	278	502	515	478	51
1645	SHORT		351	586	431	212
1646	GIRL	183	607	645	634	220
1647	FOAL		420	338	448	2
1648	ANVIL			302		1
1650	WATCH		487	576	525	81
1651	TEAR	264	504	555	550	11
1652	INSTEAD					173
1653	BLIND		443	531	485	47
1654	LIGHTNING	331	525	465	599	14
1655	BLINK			450	471	4
1656	NEVER		259	572	351	698
1657	TRUE		269	605	365	231
1658	PUPIL		570	547	572	20
1659	DOLL	161	588	503	565	10
1660	LOSE		299	534	373	58
1661	STRAIT					5
1662	CAPE		581	521	566	20
1663	BED	169	635	636	635	127
1664	RAFT			483		4
1665	BEAT		361	536	406	68
1666	MUTE					3
1667	HOLE		485	545	527	58
1668	GRIEF	450	303	505	480	10
1671	TOWER	353	585	463	596	13
1672	WRITE		446	560	548	106
1673	ARM	192	592	608	593	94
1674	POOR		311	548	447	113
1675	PROMISE			598	320	45
1676	ALWAYS		249	600	280	458
1677	WORKSHOP					24
1678	HUT		589	486	560	13
1679	LOAD		439	562	461	45
1680	HELMET		602	528	620	1
1681	WAIST	325	563	540	530	11
1682	GUILTY					29
1683	BUSH	256	585	532	549	14
1684	BUD	331	549	465	508	9
1685	AFTER		242	575	217	1070
1686	BEHIND			603	371	258
1687	PRAISE		354	502	467	17
1688	FATE		255	502	343	33
1689	SMOKE	228	541	596	615	41
1690	FENCE		597	526	611	30
1691	FLEXIBLE					25
1692	FRIDAY					60
1693	THURSDAY					33
1694	WEDNESDAY					35
1695	TUESDAY					59
1696	SURRENDER	386	356	488	432	22
1697	MONDAY					68
1699	SUNDAY					101
1700	SATURDAY					67
1702	HOLY					49
1703	SIX					220
1704	SEVEN					113
1705	EIGHT	211	368	613	501	104
1706	ELEVEN					40
1707	TWELVE					48
1708	THIRTEEN					11
1709	FIFTEEN	289	379	539	491	56
1710	TWENTY					80
1711	TELL		306	596	350	268
1712	OATH	408	331	402	443	6
1713	EIGHTEEN					17
1714	NINETEEN					18
1715	THIRTY					59
1716	FORTY					36
1717	FIFTY					68
1718	SIXTY					21
1719	BURY		372	479	401	6
1720	SIGN		520	543	534	94
1721	SEVENTY					4
1722	EIGHTY					11
1724	NINETY					12
1725	CORRECT					52
1726	WET		478	585	509	53
1727	THRESHOLD					15
1728	ROTTEN					2
1730	CHEEK	267	565	533	561	20
1732	SKY		542	607	618	58
1733	RAINBOW			431	604	4
1735	TEAR	264	504	555	550	11
1739	DECORATE		423	489	508	2
1740	PINE		592	557	617	14
1741	ABOVE			607	346	296
1742	TRAVERSE					5
1743	JOIN		292	544	340	65
1744	SPLEEN					2
1745	HIP					10
1747	CUSTOM		323	538	364	14
1748	RIDGE	433	547	430	543	18
1749	TAKE		332	555	337	611
1750	CHOOSE		308	534	299	50
1752	LEAVE					205
1753	TOP		435	571	486	204
1754	BRACELET		602	547	606	1
1756	WIDOW	426	547	485	505	26
1757	TIRED			630	419	48
1762	STONE		614	564	585	58
1763	CLUB		509	533	522	145
1764	OBSCURE		320	434	354	17
1766	FINISH	300	343	617	437	39
1767	SCRAPE					3
1768	FOAM		577	462	600	37
1769	AXLE		555	482	560	5
1770	CARCASS					7
1771	TASTELESS					1
1772	ELK					1
1773	GRAVE	339	535	501	619	33
1774	STINGY		299	452	395	1
1775	TABLE		604	599	582	198
1776	SHAME	367	287	534	419	21
1777	RESEMBLE					8
1778	APPROACH	444	323	508	329	123
1779	DARE		291	510	373	21
1780	BILE					3
1781	THUMB	183	638	601	599	10
1782	GUEST		519	560	497	39
1783	PAIN		426	569	502	88
1784	WANT		302	606	361	329
1787	LOOM					6
1788	TELEVISION					50
1789	AGE	258	390	582	468	227
1791	BUTTERFLY		593	481	624	2
1792	PERJURY		323	405	353	3
1793	BAT		564	514	586	18
1794	FURROW					5
1796	SLAUGHTER					10
1798	GUNPOWDER					2
1799	HYENA					1
1800	DANDELION		558	513	579	1
1801	CHILD		581	585	619	213
1802	SCREW					21
1803	WOOD	269	606	574	577	55
1804	BOMB		595	566	606	36
1805	INJECTION					7
1806	BEGIN					84
1807	AFTERNOON	281	406	655	513	106
1809	PIMPLE		579	557	617	
1810	DANGER	300	338	557	505	70
1812	TRY	229	260	636	318	140
1813	TASTY					2
1814	ACCUSE					10
1815	ACHE		443	523	443	4
1816	BESIDE					78
1817	WEST	342	355	563	426	235
1818	ADJUDICATE					1
1819	LOOK	225	376	607	395	399
1820	BEAR		585	526	572	57
1821	BRUSH	214	589	579	570	44
1823	BORROW					9
1825	COPPER	428	547	491	548	13
1826	ANGRY			600	492	45
1828	ASK					128
1829	JUMP	222	449	551	506	24
1830	CRANE	350	606	428	562	5
1831	MEET		341	575	438	148
1833	DINNER		542	621	570	91
1834	SHE		406	599	474	2859
1835	MARROW					5
1836	VAGINA					10
1838	NAVEL		583	485	546	2
1839	CRY		436	566	478	48
1840	BUILD		402	554	399	86
1841	SUSPECT	472	379	488	377	30
1842	OBSTINATE			390	373	1
1843	THOUSAND					97
1844	BOAT		637	584	631	72
1845	BALL	150	615	575	622	110
1846	RULE		286	534	415	73
1847	SICK		404	571	456	51
1848	QUARREL		379	463	479	20
1849	ROW					35
1850	COTTON	306	608	521	562	38
1851	POCKET	228	578	590	558	46
1852	OFTEN					368
1853	DOVE		588	415	616	4
1854	SPARROW		629	523	583	
1855	BIRCH		620	518	561	2
1856	SOFT		414	590	476	61
1857	CROCODILE		583	456	601	1
1858	FISHERMAN	289	567	471	610	5
1859	THIRD					190
1860	BEAD					1
1861	ACTIVE			552	436	88
1862	DONKEY					1
1863	AMAZING					20
1864	HUNGER	275	410	584	526	17
1867	COIN		581	564	603	10
1868	VISIBLE					34
1869	BUY		370	575	397	70
1870	ANCHOR		595	458	561	15
1871	CAMEL		597	421	561	1
1874	SAUSAGE					1
1875	REGRET	428	260	529	359	9
1877	EAST		363	574	497	183
1878	COCK	314	611	434	586	5
1879	DANCE		502	550	510	90
1880	PASSIONATE			507	495	12
1881	ENOUGH		246	545	345	430
1882	BEFORE		261	583	255	1016
1884	HARD		425	595	460	202
1885	ARMADILLO		558	181	401	2
1886	ARMPIT					2
1887	CHEAP					24
1888	PAIR		377	544	480	50
1889	ARSON					2
1890	BELIEVE					200
1892	TOUCH	269	417	590	456	87
1893	QUAIL	536	600	376	505	
1894	ASHAMED		325	516	397	16
1895	CLOTHES	194	600	652	629	89
1897	HELP	222	320	594	464	311
1899	MAD		308	590	479	39
1901	SHOVEL		581	528	538	5
1902	BETRAY					4
1903	SWELLING					11
1904	DROWN					3
1905	EAGLE		616	465	601	5
1906	SOUR		458	533	495	3
1907	MOLE		590	484	567	4
1908	ATTENTIVE			479	352	5
1909	SHAKE					17
1911	DRAW		442	542	435	56
1912	RESPECT	433	280	571	343	125
1913	PRESS					127
1914	DEBT		416	494	384	13
1915	FIR		442	407	461	2
1916	GILL					2
1917	TIE		568	559	551	23
1918	MANE		554	416	528	
1919	TORCH					2
1920	DREAM		386	553	485	64
1922	LAND	286	604	574	566	217
1923	ROUGH		452	557	491	41
1924	VEIN		553	496	546	25
1925	ARTERY					46
1926	OINTMENT					3
1928	CEASE					15
1929	STUDY					246
1930	RAVINE					1
1932	GUESS	292	247	585	330	56
1933	LOOSEN					3
1934	BEGGAR	364	533	435	593	2
1936	DEER	281	631	509	624	13
1937	THERE		216	603	283	2724
1938	FORTRESS					6
1939	SWEAR					10
1940	GUARD	344	517	504	530	48
1941	SOLDIER	275	578	517	578	39
1942	NEAR		337	582	408	198
1943	CROWN		586	531	602	19
1944	GOD		365	567	461	318
1945	IDOL					7
1947	BASTARD					12
1948	SAW	269	532	552	531	352
1950	BEECH		446	374	435	6
1951	PASS		385	535	479	89
1952	TORTURE	408	437	471	533	3
1953	ABUSE			450		18
1954	GENTLE		322	570	422	27
1958	UNRIPE					1
1959	RAW		399	509	470	43
1961	NECKLACE		633	536	606	3
1962	ROAST			536		10
1963	IMMEDIATELY					123
1964	ALONE		390	562	480	195
1966	BUNCH	317	452	503	486	17
1967	CALENDAR					28
1970	CANOE	394	623	441	602	7
1971	FAN		557	520	582	18
1972	KID		536	559	525	61
1973	DEMON		302	399	474	9
1975	CHECK					88
1976	MERRY		370	526	519	8
1977	DEW	331	578	427	559	3
1978	RECOVER					11
1979	CHISEL		597	469	567	4
1980	WANTON					3
1981	WIDOWER					1
1982	WHIRLPOOL					1
1986	DISEASE		504	580	487	53
1988	RIBES					2
1989	CALF		592	511	565	11
1990	BECOME			603	259	361
1992	MORE		284	612	264	2216
1993	SELF	328	459	604	466	40
1995	DEFECT					3
1997	PRESERVE					35
1998	COMMAND		377	526	366	72
1999	OVERCOME					26
2000	CLOVE	500	565	395	446	1
2001	PAINTING	258	615	527	602	59
2002	DITCH	292	555	511	558	10
2003	FLOW		311	518	417	67
2004	BEND			510	460	24
2005	MASK					9
2006	FILL		372	521	415	50
2007	BOLT	369	556	466	551	10
2008	RESCUE	367	373	532	456	15
2009	DOG	169	610	598	636	75
2010	INVESTIGATE					11
2011	COFFIN		595	531	606	7
2012	COLLAR		622	509	582	17
2013	BAIT					2
2016	JEALOUSY		250	500	475	4
2017	MIX					13
2018	GREEDY		360	509	427	5
2019	HAMMOCK					5
2020	PLAINTIFF					5
2021	GRASP					17
2022	ADMIT					37
2023	CROWD		546	523	548	53
2024	PLOT	422	379	515	420	37
2025	PEA		614	524	568	
2029	TUG					3
2030	DRAG					15
2033	DELIVER		393	529	388	18
2034	FROST	264	608	546	595	6
2035	POND	239	623	506	599	25
2036	JANUARY					53
2037	FEBRUARY					45
2038	DRAGON			425		1
2039	MAGPIE					1
2040	BUCKWHEAT					1
2042	WALNUT		642	538	590	11
2043	PEACH	292	617	536	613	3
2045	COLUMN	436	520	519	491	71
2046	APRON			516	565	7
2048	QUILT		613	490	554	
2050	ALCOHOL		618	578	598	13
2052	BUCKET		594	506	586	7
2057	DUNG					2
2058	STOOL	203	592	531	584	8
2060	STORY		427	578	491	153
2061	BUDDHA					8
2062	INTEREST	411	305	572	359	330
2063	CLOSE	283	391	587	420	234
2064	SCATTER					2
2065	STEP	267	508	578	483	131
2067	STEAM	308	552	545	591	17
2069	SOAK					7
2070	COMB					6
2071	LAY			566	426	139
2072	USE					589
2073	ROB			508	465	19
2074	CROW	308	590	490	578	2
2075	BROOD					9
2076	SPROUT					1
2077	DILIGENT			420	402	2
2080	BOWL	256	575	557	579	23
2081	CHICKEN	250	614	544	619	37
2082	KNIFE		612	573	633	76
2083	AXE	311	623	461	597	6
2084	ROPE	281	608	539	596	15
2085	STICK		604	528	517	39
2086	GRAIN					27
2087	DROP		320	577	417	59
2088	CLOTHING		570	614	588	20
2089	PAIR		377	544	480	50
2090	MY		253	612	298	1319
2091	YOUR		256	581	289	923
2093	AFTERWARDS					14
2095	FAT	236	540	609	574	60
2099	CHILD		581	585	619	213
2102	BURN	217	490	548	541	15
2110	WARM			613	441	67
2112	OLD		349	616	478	660
2113	OLD		349	616	478	660
2117	DESIRE			550	368	79
2124	SMELL		450	582	477	34
2134	RAISE		340	534	418	52
2137	MAGICIAN		560	528	569	4
2145	ROAST			536		10
2148	PICK		502	524	513	55
2149	CHOP	317	555	487	575	3
2150	MATTER	411	439	563	298	308
2151	COARSE		445	506	494	10
2155	CUT		430	581	460	192
2156	CUT		430	581	460	192
2158	EARTH	317	580	580	580	150
2159	GROUND	258	558	574	513	186
2163	MARRY		362	557	523	18
2164	MARRY		362	557	523	18
2166	PILLOW	217	613	602	624	8
2167	VEHICLE		558	534	593	35
2168	COW		621	529	632	29
2169	PIG	233	614	509	635	8
2181	LIGHT		550	575	542	333
2190	TASTE		464	580	425	59
2191	LOW		322	580	378	174
2192	REJOICE		329	529	432	1
2193	CARP		613	439	539	
2194	FRONT		424	570	427	221
2195	FRESH			576	453	82
2200	SNOUT					1
2201	LIGHT		550	575	542	333
2203	RABID					2
2204	LEDGE					6
2205	PEAK					16
2206	RABIES					1
2212	ARRIVE					24
2214	AFFAIR			531	361	33
2217	YOKE		542	441	514	3
2222	CONJURE					1
2224	BEND			510	460	24
2228	GLARING					7
2231	CORRECT					52
2233	LOVELY		318	523	491	44
2234	FALL		409	572	547	147
2235	CLEAN		392	610	454	70
2236	SHINE					5
2239	DENSE		353	524	461	9
2242	BEETLE		619	503	640	
2243	REPAIR	375	394	543	440	20
2244	METAL	308	582	559	541	61
2245	BELCH					2
2246	BELL		620	543	610	18
2247	CATERPILLAR		586	457	626	1
2248	KNOW		274	605	278	683
2249	THIN		392	570	502	92
2250	LEAF		593	556	608	12
2252	PATH		504	531	537	44
2253	DRIP					1
2256	MOTHER-IN-LAW					1
2257	MOTHER-IN-LAW					1
2259	FLESH	411	597	483	567	52
2260	FEMALE					50
2261	MALE	383	564	588	587	37
2262	FEMALE					50
2263	MALE	383	564	588	587	37
2266	SON-IN-LAW					4
2267	SON-IN-LAW					4
2270	SAGO					1
2271	THINK		346	612	384	433
2274	YOUR		256	581	289	923
2275	SHADOW	311	457	536	565	36
2276	IDENTICAL					31
2277	WHOLE	289	324	592	377	309
2278	PERHAPS			590	220	307
2283	SEMEN		550	429	494	
2284	CLEARING					16
2285	ECLIPSE					2
2287	HORIZON					27
2290	PUDDLE		604	521	562	1
2291	VOLCANO		591	461	627	2
2294	WRINKLE					2
2295	SUNSET		525	539	633	14
2296	SUNRISE					10
2297	DUSK	425	455	474	575	9
2298	VIRGIN					35
2299	STRAW	289	603	508	568	15
2301	ME		511	607	430	1181
2302	CIRCULAR		404	487	543	21
2303	SPHERICAL					8
2304	THEE					17
2305	THIN		392	570	502	92
2306	THIN		392	570	502	92
2307	THIN		392	570	502	92
2308	THIN		392	570	502	92
2309	LIVE		436	608	446	177
2310	US		397	618	428	672
2312	YOU		370	632	400	3286
2313	BRONZE		568	398	588	11
2314	BROTHER-IN-LAW					5
2315	COOK		502	568	504	47
2316	FREE		328	607	397	260
2317	SISTER-IN-LAW					2
2318	CHESTNUT		600	523	602	5
2319	LID					19
2323	BACK	225	540	587	483	967
2328	MISS		372	586	447	258
2329	LACK		311	532	302	110
2334	MELT		413	521	461	4
2335	CUNNING	426	265	417	380	5
2339	NEED		314	589	327	360
2340	SUNNY					13
2341	CLOUDY					2
2342	LANDSCAPE		542	503	608	20
2343	STEEL		586	553	534	45
2348	CRAB	292	626	433	589	
2349	SHRIMP		629	546	618	2
2350	EARTHWORM		606	508	569	1
2354	CRICKET					3
2359	LOTUS					2
2362	BRAN					1
2364	PEANUT					6
2365	RADISH			456		8
2366	ONION	286	632	550	617	15
2368	GARLIC		636	509	565	4
2373	SKIN		614	591	638	47
2374	DREAM		386	553	485	64
2375	VERTICAL		400	524	478	16
2376	HORIZONTAL		404	528	521	9
2377	FLASH	314	480	509	528	21
2378	THUNDER		547	547	554	14
2380	BROTHER-IN-LAW					5
2386	TURKEY					9
2393	JOURNEY					28
2394	CHIEF		503	482	545	119
2396	KNOCK					15
2397	LOBSTER		590	472	630	1
2400	THEIR		257	607	255	2670
2401	PICTURE	219	579	597	581	162
2402	ROBIN	233	637	487	615	2
2403	TOY	164	567	550	569	4
2405	CHRISTMAS		432	611	629	27
2406	HOME	233	539	626	599	547
2407	BIRTHDAY					18
2408	CAKE	214	624	594	624	13
2409	BROWN					176
2410	GOOD-LOOKING					4
2411	HURT	219	368	579	465	37
2412	THANK					36
2422	SOMEONE					94
2423	CHANNEL	411	527	482	508	16
2424	MEMBER	392	455	573	399	137
2425	PROBLEM	367	360	596	411	313
2426	CLIMATE					26
2427	FUTURE	414	311	612	413	227
2428	LIBRARY		564	580	587	62
2429	LOGIC	550	250	504	294	17
2430	OFFICE		569	566	518	255
2431	REVOLUTION	517	378	477	513	70
2432	MARRIAGE	383	398	559	556	95
2433	THEORY	557	287	534	317	129
2434	TRAGEDY		331	521	478	49
2435	UNIVERSITY	497	533	622	615	214
2440	PINEAPPLE		653	489	569	9
2447	WOODPECKER					1
2449	FAT	236	540	609	574	60
2452	PURPLE					13
2453	SEVENTEEN					24
2454	SIXTEEN					20
2459	GRINDSTONE					1
2460	DINGO					1
2465	DISGUST					1
2466	WEIGHT		462	578	521	91
2467	GAME	242	477	574	521	123
2468	BAG	217	603	634	570	42
2469	AGAINST			600	285	626
2470	DEAR		326	536	374	54
2471	LADY	231	564	573	571	80
2473	HIS		320	614	337	6997
2474	HER		419	569	464	3037
2482	TOGETHER			603	426	267
2483	COLD	183	457	626	531	171
2484	SMALL		402	616	447	542
2485	HIDE	256	451	515	430	22
2486	HIDE	256	451	515	430	22
2490	NOON					25
2492	BOIL		467	533	533	12
2493	BOIL		467	533	533	12
2498	OPIUM		552	436	487	16
2500	GINGER		522	455	430	2
