NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
1208	giant panda	giant panda	black and white mammal, Ailuropoda melanoleuca		N/a		
1209	gills	gills	breathing organ of fish		Body parts	1916	GILL
1210	gilt	gilt			N/a		
1211	giraffe	giraffe	ruminant, of the genus Giraffa, of the African savannah with long legs and highly elongated neck, which make it the tallest living animal; yellow fur patterned with dark spots		Animals	3089	GIRAFFE
1212	girl	girl	female child, adolescent, or a young woman		Human being	1646	GIRL
1213	girth	girth	band passed under the belly of an animal, which holds a saddle or a harness saddle in place		N/a		
1214	glad	glad			Non-physical	1495	HAPPY
1215	gladiolus	gladiolus	any of several flowering plants, of the genus Gladiolus, having sword-shaped leaves and showy flowers on spikes		N/a		
1216	glans penis	glans penis	conical vascularized body forming the extremity of the penis		N/a		
1217	glass (material)	glass (material)	solid, often transparent substance, usually made by melting silica sand with various additives		Artifacts	604	GLASS
1218	glasswort	glasswort	salt-tolerant plant Salicornia europaea, once burned to produce the ash used to make soda glass		N/a		
1219	glaucoma	glaucoma	eye disease or disorder that is defined as a characteristic optic neuropathy, or disease of the optic nerve, possibly, if untreated, leading to damage of the optic disc of the eye and resultant visual field loss due to lack of communication between the retina and the brain, which can lead to blindness		Physiology		
1220	globeflower	globeflower	Trollius europaeus, a plant with globe-shaped flowers		N/a		
1221	globus cruciger	globus cruciger	globe topped by a cross, used as a symbol of royal power		N/a		
1222	gloomy, depressed	gloomy, depressed	suffering from gloom; melancholy; dejected.		Evaluation	1552	GLOOMY
1223	glue	glue	sticky adhesive substance		N/a	1069	GLUE
1224	glutton	glutton	one who eats voraciously, obsessively, or to excess; a gormandizer		Human being	533	GLUTTON
1225	gnarl	gnarl	knot in wood; a large or hard knot, or a protuberance with twisted grain, on a tree		N/a		
1226	goad	goad	long, pointed stick used to prod animals		N/a		
1227	goal (sport result)	goal (sport result)	(sports) the act of placing the object into the goal; a point scored in a game as a result of placing the object into the goal		Abstract entities		
1228	goal frame (sport)	goal frame (sport)	in sports, the structure of the goal, generally consisting of two goalposts and a crossbar		Artifacts		
1229	goat	goat			Animals	1502	GOAT
1230	god	god			Abstract entities	1944	GOD
1231	goddess	goddess	female deity		N/a		
1232	godmother	godmother	woman present at the christening of a baby who promises to help raise the child in a Christian manner; a female godparent who sponsors the baptism of a child		N/a		
1233	gold	gold	heavy yellow elemental metal of great value, with atomic number 79 and symbol Au		Natural objects	1369	GOLD
1234	goldcrest	goldcrest			Animals		
1235	golden	golden			N/a		
1236	golden oriole	golden oriole	bird Oriolus oriolus		N/a		
1237	goldenrod	goldenrod	tall-stemmed plant principally from genus Solidago (also Oligoneuron), usually with clusters of small yellow flowers		N/a		
1238	goldfinch (Carduelis)	goldfinch (Carduelis)	small bird European goldfinch (Carduelis carduelis)		Animals		
1239	goldsmith	goldsmith	person who makes, repairs or sells things out of gold, especially jewelry		N/a		
1240	good	good			Evaluation	1035	GOOD
1241	good (about weather)	good (about weather)			N/a		
1242	good (ethically)	good (ethically)			N/a	1035	GOOD
1243	good manners	good manners			N/a		
1244	good weather	good weather			Abstract entities		
1245	goosander	goosander	bird Mergus merganser		N/a		
1246	goose	goose			N/a	1187	GOOSE
1247	gooseberry	gooseberry			Plants		
1248	gossiper	gossiper	someone who likes to talk about other people&#39;s private or personal business		N/a		
1249	grain, seed	grain, seed			Plants	605	GRAIN
1250	grandchild	grandchild			Human being	1617	GRANDCHILD
1251	granddaughter	granddaughter			N/a	1619	GRANDDAUGHTER
1252	grandfather	grandfather			Human being	1383	GRANDFATHER
1253	grandmother	grandmother			Body parts	1496	GRANDMOTHER
1254	grandparent	grandparent	parent of someone&#39;s parent		N/a	305	GRANDPARENTS
1255	grandson	grandson			N/a	1618	GRANDSON
1256	granule	granule			Natural objects		
1257	grape (plant)	grape (plant)	plant, a vine of genus Vitis, winetree		N/a		
1258	grape harvest	grape harvest			N/a		
1259	grass	grass			Natural objects	606	GRASS
1260	grass warbler	grass warbler	bird from genus Locustella		N/a		
1261	grasshopper (Tettigonioidea)	grasshopper (Tettigonioidea)			Animals	607	GRASSHOPPER
1262	gratuity	gratuity			Artifacts		
1263	grave	grave	burial place		N/a	1773	GRAVE
1264	greasy	greasy			Other physical	955	GREASY
1265	great	great			Evaluation		
1266	great bilberry (Vaccinium uliginosum)	great bilberry (Vaccinium uliginosum)			Plants	2809	BLUEBERRY
1267	great-grandmother	great-grandmother			N/a		
1268	greater celandine	greater celandine	plant Chelidonium majus		N/a		
1269	greediness	greediness			Abstract entities		
1270	greedy	greedy			Non-physical	2018	GREEDY
1271	green	green			Light and Colour	1425	GREEN
1272	grey	grey			Light and Colour	153	GREY
1273	grey hair	grey hair			N/a		
1274	grey-haired	grey-haired			N/a		
1275	grief, sorrow	grief, sorrow			N/a	1668	GRIEF
1276	grimace	grimace			Abstract entities		
1277	group of men	group of men			Human being		
1278	grown-up, adult	grown-up, adult			Human being	3635	ADULT
1279	guava	guava	tropical tree or shrub of the myrtle family, Psidium guajava, with yellowish tropical fruit		N/a		
1280	gubgeon	gubgeon	Gobio gobio		Artifacts		
1281	guest	guest			Human being	1782	GUEST
1282	guileful, crafty person	guileful, crafty person			Human being		
1283	guilt	guilt			Abstract entities		
1284	guilty	guilty			Non-physical	1682	GUILTY
1285	guinea fowl	guinea fowl	bird Numida meleagris		N/a	456	GUINEA FOWL
1286	guinea pig (Cavia porcellus)	guinea pig (Cavia porcellus)			N/a	3718	GUINEA PIG
1287	gulf	gulf			Natural objects	608	GULF
1288	gum, gingiva	gum, gingiva			Body parts	139	GUMS
1289	hat	&lt;hat&gt;			Artifacts	771	HAT
1290	headgear	&lt;headgear&gt;			N/a	2130	HEADGEAR
1291	high rank officail in the Catholic Church	&lt;high rank officail in the Catholic Church&gt;	pope, cardinal or bishop		Body parts		
1292	honorific title	&lt;honorific title&gt;			N/a		
1293	horned animal	&lt;horned animal&gt;			Animals		
1294	habit	habit			Abstract entities	1747	CUSTOM
1295	hail	hail			Natural objects	609	HAIL
1296	hair	hair			Body parts	1040	HAIR
1297	hair (of animals)	hair (of animals)			Body parts	580	FUR
1298	hajji	hajji	one who has participated in a hajj		N/a		
1299	half	half	one of two usually roughly equal parts into which anything may be divided, or considered as divided		N/a	816	HALF
1300	hammer	hammer			Artifacts	1481	HAMMER
1301	hammer bone, malleus	hammer bone, malleus	a bone in the ear		N/a		
1302	hand	hand			Body parts	1277	HAND
1303	hand (of a clock)	hand (of a clock)			Artifacts		
1304	hand grenade	hand grenade	small hand-held explosive device designed to be thrown at an enemy		N/a		
1305	hand/arm	hand/arm			Body parts	2121	ARM OR HAND
1306	handful	handful			Abstract entities		
1307	handle, gripe	handle, gripe			Artifacts	1254	HANDLE
1308	handwriting	handwriting			Abstract entities		
1309	happiness, luck	happiness, luck			Abstract entities	2941	HAPPINESS
1310	happy	happy			Non-physical	1495	HAPPY
1311	harbour	harbour			N/a		
1312	hard	hard			Other physical	1884	HARD
1313	hard, solid	hard, solid			Tactile quality	1884	HARD
1314	hard-working, laborious	hard-working, laborious	a person who works a lot and likes it.		N/a		
1315	hardship	hardship	difficulty or trouble; hard times		Physical effect		
1316	hare (Lepus)	hare (Lepus)			Animals	1190	HARE
1317	hare (Lepus)	hare (Lepus)			N/a	1190	HARE
1318	harm, damage	harm, damage			N/a	2947	DAMAGE (INJURY)
1319	harrow	harrow			N/a	2545	HARROW (TOOL)
1320	harvest	harvest			Natural objects	611	HARVEST
1321	harvest time	harvest time			N/a		
1322	hatched egg without embryo	hatched egg without embryo			N/a		
1323	having no milk	having no milk			Other physical		
1324	hawk (Accipiter)	hawk (Accipiter)			Animals	307	HAWK
1325	hawkweed (Hieracium)	hawkweed (Hieracium)			Plants		
1326	hawthorn	hawthorn			Plants	1168	HAWTHORN
1327	hay	hay	grass cut and dried for use as animal fodder		N/a	342	HAY
1328	haymaking (time)	haymaking (time)	season of haymaking		N/a		
1329	haystack	haystack			N/a		
1330	hazel grouse (Tetrastes bonasia)	hazel grouse (Tetrastes bonasia)			Animals		
1331	hazy, turbid, opaque	hazy, turbid, opaque			N/a		
1332	he	he	third-person singular, masculine pronoun		N/a	1211	HE
1333	head	head			Body parts	1256	HEAD
1334	heading, title	heading, title			Abstract entities		
1335	headlight (of a car)	headlight (of a car)			Artifacts		
1336	headscarf	headscarf	piece of material worn over the head, typically by women		N/a		
1337	headstream	headstream			Natural objects		
1338	healed	healed			N/a		
1339	health	health			Abstract entities		
1340	healthy	healthy			Other physical	1364	HEALTHY
1341	heap, pile	heap, pile			Natural objects	2984	HEAP
1342	hearing	hearing			Abstract entities	2518	HEARING (AURAL SENSE)
1343	heart	heart	organ that pumps blood through the body		Body parts	1223	HEART
1344	hearts (in cards)	hearts (in cards)			N/a		
1345	heat (n.)	heat (n.)			Natural objects	612	HEAT
1346	heathen, pagan	heathen, pagan			Human being		
1347	heather	heather	evergreen plant, Calluna vulgaris, with spiky leaves and small purple, pink, or white flowers		N/a		
1348	heavenly body	heavenly body			N/a		
1349	heavy (of weight)	heavy (of weight)			Evaluation	1210	HEAVY
1350	hedgehog (Еrinaceus)	hedgehog (Еrinaceus)			Animals	1797	HEDGEHOG
1351	heel (of a foot)	heel (of a foot)			Body parts	980	HEEL
1352	heel (of a shoe)	heel (of a shoe)			Artifacts		
1353	heel (of bread)	heel (of bread)	end-piece of a loaf of bread		N/a		
1354	height (of a person)	height (of a person)			Human being	2528	SIZE (OF PERSON)
1355	helicopter	helicopter	aircraft that is borne along by one or more sets of long rotating blades which allow it to hover, move in any direction including reverse, or land; and typically having a smaller set of blades on its tail that stabilize the aircraft		N/a	2580	HELICOPTER
1356	hell	hell			Space	878	HELL
1357	helmet	helmet	hard, protective head covering, typically part of armour		Artifacts	1680	HELMET
1358	help, aid (n.)	help, aid (n.)			Abstract entities	3467	HELP (ASSISTANCE)
1359	hem (of a skirt)	hem (of a skirt)			Natural objects		
1360	hemlock (plant)	hemlock (plant)			N/a		
1361	hemorrhoids	hemorrhoids			N/a		
1362	hen	hen			Animals	1514	HEN
1363	henbane	henbane			Plants		
1364	hepatitis	hepatitis			Physiology		
1365	her	her	belonging to that female		N/a	2474	HER (GENITIVE OF SHE)
1366	herald, messenger	herald, messenger			Human being		
1367	herbaceous plant	herbaceous plant			N/a		
1368	herd	herd			N/a		
1369	here	here			Space	136	HERE
1370	hermaphrodite	hermaphrodite			N/a		
1371	hermit	hermit			N/a		
1372	hernia (medical)	hernia (medical)			N/a		
1373	heron	heron			Animals	758	HERON
1374	herring	herring			N/a		
1375	Heterodon nasicus	Heterodon nasicus			N/a		
1376	heterosexual	heterosexual			N/a		
1377	hibiscus	hibiscus	genus of plants (Hibiscus)		N/a		
1378	high (location)	high (location)			Space	1265	HIGH
1379	high (size), tall	high (size), tall	tall		Size	711	TALL
1380	high-pitched	high-pitched			Other physical		
1381	hill	hill			Natural objects	614	HILL
1382	hind leg	hind leg	either of the two legs towards the rear of a four-legged animal		N/a		
1383	hinge	hinge	mechanical bearing that connects two solid objects, typically allowing only a limited angle of rotation between them		N/a		
1384	hip joint	hip joint			N/a		
1385	hippopotamus	hippopotamus	large, semi-aquatic, herbivorous African mammal (Hippopotamus amphibius)		Animals	3145	HIPPOPOTAMUS
1386	historical tale	historical tale			N/a		
1387	history	history	aggregate of past events and the branch of knowledge that studies the past		Abstract entities		
1388	hoar-frost	hoar-frost			Natural objects	2942	HOARFROST
1389	hoarse	hoarse			Sound		
1390	hoe	hoe	agricultural tool consisting of a long handle with a flat blade fixed perpendicular to it at the end, used for digging rows		N/a	284	HOE
1391	holiday	holiday	day on which a festival, religious event, or national celebration is traditionally observed		N/a		
1392	hollow tree	hollow tree	tree with one or more natural cavities in the trunk or branch		N/a		
1393	hollyhock	hollyhock	plant Alcea rosea		N/a		
1394	homosexual	homosexual			N/a		
1395	honest	honest			Non-physical	1120	HONEST
1396	honey	honey			Natural objects	942	HONEY
1397	honey	honey			Natural objects	942	HONEY
1398	honey badger	honey badger	Mellivora capensis, a badger-like mustelid native to Africa, the Middle East and the Indian subcontinent		N/a		
1399	honey mushroom (Armillaria mellea)	honey mushroom (Armillaria mellea)			N/a		
1400	honeycomb	honeycomb	structure of hexagonal cells made by bees primarily of wax, to hold their larvae and for storing the honey to feed the larvae and to feed themselves during winter		Natural objects	3947	HONEYCOMB
1401	honeysuckle	honeysuckle			Plants		
1402	honour	honour			Abstract entities		
1403	hood	hood	covering for the head attached to a larger garment such as a jacket or cloak		N/a		
1404	hood (of car)	hood (of car)	hinged cover over the engine of a motor vehicle		N/a		
1405	hoof	hoof	tip of a toe of an ungulate such as a horse, ox or deer, strengthened by a thick keratin covering		Body parts	152	HOOF
1406	hook	hook			Artifacts	1071	HOOK
1407	hooligan	hooligan			Human being		
1408	hoop	hoop			N/a		
1409	hoopoe	hoopoe	bird of genus Upupa, especially Upupa epops (Eurasian hoopoe), known for its distinctive plumage, fanlike crest, and slender bill		N/a		
1410	hope, expectation	hope, expectation			N/a	3211	HOPE (FAITH)
1411	horizon	horizon	visible horizontal line (in all directions) where the sky appears to meet the earth in the distance.		N/a	2287	HORIZON
1412	horn	horn			Natural objects	1393	HORN (ANATOMY)
1413	hornbeam	hornbeam	tree of the genus Carpinus, having a smooth gray bark and a ridged trunk, the wood being white and very hard		Plants		
1414	horned	horned	having horns		Other physical		
1415	hornet	hornet	large wasp, of the genus Vespa, having a brown-and-yellow-striped body and the ability to inflict a serious sting		N/a	3261	HORNET
1416	horse	horse	hoofed mammal, Equus ferus caballus, often used throughout history for riding and draft work		Animals	615	HORSE
1417	horse-bird	horse-bird			N/a		
1418	horse-fly (Tabanidae)	horse-fly (Tabanidae)			Animals	3262	HORSEFLY
1419	horsehair	horsehair	hair of a horse, especially from the mane and tail, used for upholstery		N/a		
1420	horsehair worm	horsehair worm	Gordius aquaticus		N/a		
1421	horseman, rider	horseman, rider	man who rides a horse		Human being		
1422	horseradish	horseradish	a perennial plant of the family Brassicaceae. It is a root vegetable, cultivated and used worldwide as a spice and as a condiment		N/a		
1423	horseshoe	horseshoe	U-shaped shoe of a horse		Physical effect		
1424	horsetail, equisetum	horsetail, equisetum	any of various simple vascular plants, of the order Equisetales, that have hollow stems and produce spores.		Plants		
1425	hose	hose			Artifacts		
1426	host	host			N/a	1545	HOST
1427	hostile	hostile			Non-physical		
1428	hot	hot			Tactile quality	1286	HOT
1429	hot-tempered	hot-tempered			Non-physical		
1430	hour	hour	time period of sixty minutes; one twenty-fourth of a day		Time	1353	HOUR
1431	house	house			Artifacts	1252	HOUSE
1432	house	house			Artifacts	1252	HOUSE
1433	house	house			Artifacts	1252	HOUSE
1434	house spirit	house spirit			N/a		
1435	how many?	how many?	what number		N/a	822	HOW MANY
1436	hull (of a ship)	hull (of a ship)	the watertight body of a ship, boat		N/a		
1437	human temper, character	human temper, character			Abstract entities	1024	CHARACTER
1438	human, person	human, person	None		Human being	683	PERSON
1439	hummel, hornless	hummel, hornless	without horns		Other physical		
1440	hummingbird	hummingbird			N/a	1589	HUMMINGBIRD
1441	humor	humor	quality of being amusing, comical, funny		N/a		
1442	hump (of a person or camel)	hump (of a person or camel)			Body parts	534	HUMP
1443	humpbacked	humpbacked			Other physical	99	HUNCHBACK
1444	hundred	hundred	numerical value equal to 100		N/a	1634	HUNDRED
1445	hungry	hungry			Non-physical	1533	BE HUNGRY
1446	hunt (n.), hunting	hunt (n.), hunting			Physical effect		
1447	hunt down	hunt down			N/a		
1448	hunter	hunter			Human being	1053	HUNTER
1449	husband	husband			Human being	1200	HUSBAND
1450	husband / wife	husband / wife	None		Human being	2514	SPOUSE
1451	husband's brother	husband&#39;s brother			N/a		
1452	husband's elder brother	husband&#39;s elder brother			N/a	2698	BROTHER-IN-LAW (HUSBAND'S OLDER BROTHER)
1453	husband's father	husband&#39;s father			Human being	2254	FATHER-IN-LAW (OF WOMAN)
1454	hybrid	hybrid	offspring resulting from cross-breeding different entities, e.g. two different species or two purebred parent strains		N/a		
1455	hyena	hyena			Animals	1799	HYENA
1456	hypocrite, dissembler	hypocrite, dissembler			Human being		
1457	hypotenuse	hypotenuse			N/a		
1458	insect	&lt;insect&gt;			Animals	620	INSECT
1459	I	I	first-person singular pronoun		Human being	1209	I
1460	ice	ice	water in frozen (solid) form		Natural objects	617	ICE
1461	ice	ice			Natural objects	617	ICE
1462	ice-crusted ground	ice-crusted ground			Natural objects		
1463	icicle	icicle	spear-shape of ice		N/a		
1464	icon (christianity)	icon (christianity)	a religious work of art, most commonly a painting, in the cultures of the Eastern Orthodox, Oriental Orthodox, and Catholic churches		N/a		
1465	ide (fish)	ide (fish)	freshwater fish Leuciscus idus		N/a		
1466	idle	idle			Non-physical	2756	IDLE
1467	idler, loafer	idler, loafer			Human being		
1468	if	if	supposing that, assuming that, in the circumstances that; used to introduce a condition or choice.		Grammatical markers	1459	IF
1469	ignorant	ignorant			Non-physical	2651	BE IGNORANT
1470	illegal	illegal			Evaluation		
1471	illiterate	illiterate	not knowing how to read and write		N/a		
1472	image	image			Abstract entities		
1473	immature fish	immature fish			N/a		
1474	immediately	immediately	in an immediate manner; instantly or without delay		N/a	1963	IMMEDIATELY
1475	implement for ramming	implement for ramming			N/a		
1476	impolite	impolite			Non-physical	1412	RUDE
1477	important	important			Non-physical	1285	IMPORTANT
1478	importunate	importunate			N/a		
1479	impossible	impossible			N/a		
1480	impudence	impudence			Abstract entities		
1481	impudent	impudent	not showing due respect; impertinent		N/a		
1482	impulsive	impulsive			N/a		
1483	in addition to	in addition to			N/a		
1484	in front of	in front of			N/a	1883	IN FRONT OF
1485	in the standing position	in the standing position			Space		
1486	in this way	in this way			N/a	3413	IN THIS WAY
1487	inaccessible	inaccessible			N/a		
1488	inattentive person	inattentive person			N/a		
1489	incantation, spell	incantation, spell	formula of words used in occult ceremonies, for the purpose of raising spirits, producing enchantment, or creating other magical results		Abstract entities		
1490	inclination to smth	inclination to smth			Abstract entities	918	INCLINATION
1491	inclined	inclined			N/a		
1492	incomplete	incomplete	not full, not complete		N/a		
1493	incomprehensible	incomprehensible			Non-physical		
1494	increase (n.)	increase (n.)			N/a		
1495	incus, anvil bone	incus, anvil bone	small anvil-shaped bone in the middle ear		N/a		
1496	index finger	index finger	forefinger, the first finger next to the thumb		N/a	577	FOREFINGER
1497	indifferent	indifferent			Non-physical		
1498	indulgent	indulgent			Interpersonal relations		
1499	industrious, diligent person	industrious, diligent person			Human being		
1500	inert, passive	inert, passive			N/a		
1501	inevitable	inevitable			N/a		
1502	inexperienced	inexperienced			Evaluation		
1503	infertile (soil)	infertile (soil)			Other physical		
1504	inflammation	inflammation			Physiology		
1505	inflated	inflated			Other physical	535	INFLATED
1506	influential person	influential person			N/a		
1507	informer	informer			Human being		
1508	inhabitant	inhabitant	someone or thing who lives in a place		Human being		
1509	inheritance	inheritance			N/a		
1510	ink	ink	pigment (or dye)-based fluid used for writing, printing etc.		N/a	2643	INK
1511	inkwell	inkwell	container for ink, designed and usually positioned so that a person may conveniently dip a pen into it whenever a refill is needed		N/a		
1512	inland	inland			N/a		
1513	inner side of hide	inner side of hide			Natural objects		
1514	innocent	innocent			Non-physical	90	INNOCENT
1515	insane	insane	exhibiting unsoundness or disorder of mind; not sane; mad		Non-physical	1899	MAD
1516	inscription	inscription			N/a		
1517	insect	insect	arthropod (in the Insecta class) characterized by six legs, up to four wings, and a chitinous exoskeleton		Animals	620	INSECT
1518	inside	inside			Space	1606	INSIDE
1519	insolent	insolent			Non-physical	91	INSOLENT
1520	instant, moment	instant, moment			Time		
1521	instead of	instead of			N/a	1652	INSTEAD
1522	instep	instep	arched part of the top of the foot between the toes and the ankle; a section of any footwear covering that part of the foot		N/a	3736	INSTEP
1523	institution	institution	department or other administrative unit of a government		N/a		
1524	instrument, tool	instrument, tool			Artifacts	1361	TOOL
1525	insulting	insulting			Evaluation		
1526	intact	intact			Other physical	220	INTACT
1527	intact	intact			Other physical	220	INTACT
1528	intellect	intellect	faculty of thinking, judging, abstract reasoning, and conceptual understanding; the cognitive faculty		N/a		
1529	intensive	intensive			Evaluation		
1530	interest	interest			Abstract entities	3847	INTEREST (FEELING)
1531	interest (finance)	interest (finance)	price paid for obtaining, or price received for providing, money or goods in a credit transaction, calculated as a fraction of the amount or value of what was borrowed		N/a	2062	INTEREST
1532	internal monologue	internal monologue			N/a		
1533	interval	interval			Time		
1534	intestinal worm	intestinal worm			Animals	3623	INTESTINAL WORM
1535	intrigue	intrigue			Abstract entities		
1536	iris (anatomy)	iris (anatomy)	contractile membrane perforated by the pupil, which adjusts to control the amount of light reaching the retina, and which forms the colored portion of the eye		N/a		
1537	iron	iron	chemical element having atomic number 26 and symbol Fe, metal, silvery grey when untarnished, that rusts, is attracted by magnets, and is used in making steel		Natural objects	621	IRON
1538	iron (for pressing clothes)	iron (for pressing clothes)	hand-held device with a heated flat metal base used to smooth out wrinkles in clothes		Artifacts		
1539	island	island	contiguous area of land, smaller than a continent, totally surrounded by water		Natural objects	622	ISLAND
1540	isthmus	isthmus	narrow strip of land, bordered on both sides by water, and connecting two larger landmasses		N/a		
1541	it's a pity	it&#39;s a pity			Mental acts and states		
1542	jack (playing card)	jack (playing card)	lowest court card in a deck of standard playing cards, ranking between the 10 and queen, with an image of a knave or pageboy on it		Artifacts	50	JACK
1543	jackal	jackal	any of certain wild canids of the genus Canis, native to the tropical Old World and smaller than a wolf		Animals	3313	JACKAL
1544	jackdaw	jackdaw	European bird (Coloeus monedula) of the crow family, often nesting in church towers and ruins		Animals		
1545	jackfruit	jackfruit	tree, Artocarpus heterophyllus, of the Moraceae family, which produces edible fruit, and the large fruit from this tree		N/a	2655	JACKFRUIT
1546	jamb (of a door, window)	jamb (of a door, window)	side-piece of an opening of a door, window		N/a		
1547	January	January	first month of the Gregorian calendar, following the December of the previous year and preceding February		N/a	2036	JANUARY
1548	Japanese	Japanese	person living in or coming from Japan, or of Japanese ancestry		Human being		
1549	jaw	jaw	one of the bones, usually bearing teeth, which form the framework of the mouth		Body parts	798	JAW
1550	jay	jay	bird Garrulus glandarius		N/a		
1551	jealous	jealous	troubled by possible rivalry in love or suspicious of the beloved person&#39;s fidelity		Mental acts and states	2821	JEALOUS
1552	jealousy	jealousy			N/a	2016	JEALOUSY
1553	jerboa	jerboa			Animals		
1554	Jerusalem artichoke	Jerusalem artichoke	Helianthus tuberosus, native to North America, having yellow flower heads and edible tubers		N/a		
1555	jester	jester			N/a		
1556	Jesuit	Jesuit			N/a		
1557	Jesus Christ	Jesus Christ	Jesus of Nazareth, a first-century Jewish religious preacher from Galilee whom Christians consider to be the son of God and call &#34;Jesus Christ&#34; in the belief that he is the Messiah, and whom Muslims believe to be a prophet		N/a		
1558	jewel, precious stone	jewel, precious stone			N/a	1029	JEWEL
1559	jewelry, precious thing	jewelry, precious thing			Artifacts		
1560	Jewish	Jewish			N/a		
1561	jingle bell	jingle bell			N/a		
1562	John the Baptist	John the Baptist	christian saint, The Nativity of John the Baptist is a high-ranking liturgical feast, kept in the Roman Catholic, Anglican, Eastern Orthodox and Lutheran churches. This feast is observed annually on 24 June.		N/a		
1563	joiner; cabinetmaker	joiner; cabinetmaker			Human being		
1564	joint, articulation	joint, articulation			Body parts	999	JOINT
1565	joke	joke			Abstract entities	3425	JOKE
1566	journal, magazine	journal, magazine			Artifacts		
1567	joy	joy			Abstract entities	2524	JOY
1568	juice	juice			Natural objects	1499	JUICE
1569	July	July	seventh month of the Gregorian calendar, following June and preceding August		N/a	2850	JULY
1570	jumper	jumper			N/a		
1571	June	June	sixth month of the Gregorian calendar, following May and preceding July		N/a	2849	JUNE
1572	jungle	jungle			N/a	3808	JUNGLE
1573	juniper	juniper	shrub or tree of the genus Juniperus of the cypress family, which is characterized by pointed, needle-like leaves and aromatic berry-like cone		Plants		
1574	Jupiter	Jupiter			Natural objects		
1575	just now	just now			N/a		
1576	keel	keel			N/a		
1577	keen (of senses, mind)	keen (of senses, mind)	None		Evaluation	2232	KEEN OR SUBTLE
1578	key (of a door)	key (of a door)			Artifacts	1472	KEY
1579	keystone	keystone			N/a		
1580	khash	khash	South Caucasian dish of boiled cow or sheep parts, which might include the head, feet, and stomach		N/a		
1581	kidney	kidney			Body parts	489	KIDNEY
1582	kilogram	kilogram			N/a		
1583	kind (n.)	kind (n.)			Abstract entities	844	KIND (THING)
1584	kind, good-hearted	kind, good-hearted			Non-physical	3299	KIND
1585	kindergarten	kindergarten			N/a		
1586	king (a playing card)	king (a playing card)			Artifacts		
1587	kinkajou	kinkajou	Potos flavus, a carnivorous mammal of Central America and South America with a long, prehensile tail, related to the raccoon		N/a		
1588	kinship	kinship			Abstract entities		
1589	kite	kite	bird of prey of the subfamily Milvinae, with long wings and weak legs, feeding mostly on carrion and spending long periods soaring		Abstract entities	307	HAWK
1590	kite (lightweight toy)	kite (lightweight toy)	lightweight toy or other device, traditionally flat and shaped like a triangle with a segment of a circle attached to its base or like a quadrilateral, carried on the wind and tethered and controlled from the ground by one or more lines		Artifacts		
1591	knee	knee			Body parts	1371	KNEE
1592	knee-cap	knee-cap	flat, roundish bone in the knee		Body parts		
1593	kneepit	kneepit	popliteal fossa, a shallow depression located at the back of the knee joint		N/a		
1594	knife	knife			N/a	1352	KNIFE
1595	knight (chess)	knight (chess)			N/a		
1596	knot	knot			Artifacts	760	KNOT
1597	knowledge	knowledge			N/a		
1598	koala	koala	tree-dwelling marsupial, Phascolarctos cinereus, that resembles a small bear with a broad head, large ears and sharp claws, mainly found in eastern Australia		N/a		
1599	kshatriya	kshatriya	member of the second-highest of the four castes or varnas in traditional Hindu society: the warrior or military caste		N/a		
1600	ladle	ladle	deep-bowled spoon with a long, usually curved, handle		N/a	2657	LADLE
1601	lady	lady			N/a	2471	LADY
1602	lady's slipper (Cypripedium)	lady&#39;s slipper (Cypripedium)	orchid of the subfamily Cypripedioideae, distinguished by their slipper-shaped pouches which trap insects to improve pollination rates		Plants		
1603	ladybird	ladybird	beetle of the Coccinellidae family, typically having a round shape and red or yellow spotted elytra		N/a	3139	LADYBUG
1604	lair	lair	place inhabited by a wild animal, often a cave or a hole in the ground		N/a	2949	LAIR
1605	lake	lake	large, landlocked stretch of water		Natural objects	624	LAKE
1606	lamb	lamb	young sheep		Physical effect	820	LAMB
1607	lame	lame			Other physical	320	LAME
1608	lamp	lamp			N/a	625	LAMP
1609	lamprey (Petromyzontidae)	lamprey (Petromyzontidae)			Animals		
1610	Lampropeltis triangulum	Lampropeltis triangulum			N/a		
1611	land (vs. sea)	land (vs. sea)			Natural objects	626	LAND
1612	language	language			Abstract entities	1307	LANGUAGE
1613	lap	lap			N/a	3263	LAP
1614	lap (of clothes)	lap (of clothes)	loose part of a coat; the lower part of a garment that plays loosely		Evaluation		
1615	lapwing (Vanellus)	lapwing (Vanellus)			Animals		
1616	larch	larch			Plants		
1617	large quantity	large quantity			Abstract entities		
1618	larva	larva			Animals	2640	LARVA
1619	larynx	larynx	hollow muscular organ of the neck of mammals situated just below where the tract of the pharynx splits into the trachea and the oesophagus		N/a	3714	LARYNX
1620	last	last			Non-physical		
1621	late	late			Time	477	LATE
1622	latitude	latitude	angular distance north or south from a planet&#39;s equator, measured along the meridian of that particular point		N/a		
1623	lattice, grid	lattice, grid	widely-spaced crossed thin strips		N/a		
1624	lavish, generous	lavish, generous	None		Non-physical	3632	GENEROUS
1625	laxative	laxative	having the effect of moving the bowels, or aiding digestion and preventing constipation		N/a		
1626	layer	layer			Space		
1627	laziness	laziness			Abstract entities		
1628	laziness	laziness			N/a		
1629	lazy	lazy			Evaluation	1564	LAZY
1630	lazy person	lazy person			Human being		
1631	lead, plumbum	lead, plumbum			Natural objects	627	LEAD (CHEMICAL ELEMENT)
