ID	NUMBER	ENGLISH	POS	LEXIBANK_GLOSS	SWAHILI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Nurse-1975-1038-322	322	water	n.	water	maji	948	WATER
Nurse-1975-1038-323	323	fingernail	n.	fingernail	ukucha	1258	FINGERNAIL
Nurse-1975-1038-324	324	outside	n.	outside	nje	762	OUTSIDE
Nurse-1975-1038-325	325	path	n.	path	njia	2252	PATH
Nurse-1975-1038-326	326	highway	n.	highway	barabara		
Nurse-1975-1038-327	327	vision	n.	vision	njozi		
Nurse-1975-1038-328	328	dream	n.	dream	ndoto	2374	DREAM
Nurse-1975-1038-329	329	elephant	n.	elephant//elephant (=tembo)	ndovu (=tembo)	1290	ELEPHANT
Nurse-1975-1038-330	330	voice	n.	voice	sauti	1363	VOICE
Nurse-1975-1038-331	331	sound, cry	n.	sound, cry	mlio		SOUND (OF INSTRUMENT OR VOICE)
Nurse-1975-1038-332	332	smallpox	n.	smallpox	ndui	1054	SMALLPOX
Nurse-1975-1038-333	333	sun	n.	sun	jua	1343	SUN
Nurse-1975-1038-334	334	charcoal	n.	charcoal	kaa	1188	CHARCOAL
Nurse-1975-1038-335	335	crab	n.	crab	kaa (ya pwani)	2348	CRAB
Nurse-1975-1038-336	336	embers	n.	embers	kaa la moto	67	EMBERS
Nurse-1975-1038-337	337	ashes	n.	ashes	jivu	646	ASH
Nurse-1975-1038-338	338	woman	n.	woman	mwanamke	962	WOMAN
Nurse-1975-1038-339	339	wife	n.	wife	mke	1199	WIFE
Nurse-1975-1038-340	340	protect by charm	v.	protect by charm	(ku)kaga		
Nurse-1975-1038-341	341	(older) brother	n.	(older) brother	kaka	1759	OLDER BROTHER
Nurse-1975-1038-342	342	palate	n.	palate	kaakaa	540	PALATE
Nurse-1975-1038-343	343	squeeze, milk	v.	squeeze, milk	(ku)kama	93	DRAW MILK
Nurse-1975-1038-344	344	wring	v.	wring//wring (nguo)	(ku)kamua (nguo)	1414	SQUEEZE
Nurse-1975-1038-345	345	dry up, become dry	v.	dry up, become dry	(ku)kauka	1786	DRY UP
Nurse-1975-1038-346	346	dry	n.	dry	-kavu	1398	DRY
Nurse-1975-1038-347	347	knead	v.	knead	(ku)kanda	274	KNEAD
Nurse-1975-1038-348	348	knee	n.	knee	goti	1371	KNEE
Nurse-1975-1038-349	349	fry	v.	fry	(ku)kaanga		
Nurse-1975-1038-350	350	roast	v.	roast//roast (kwa moto)	(ku)choma (kwa moto)	1962	ROAST (SOMETHING)
Nurse-1975-1038-351	351	guinea-fowl	n.	guinea-fowl	kanga	456	GUINEA FOWL
Nurse-1975-1038-352	352	head-pad	n.	head-pad	kata		
Nurse-1975-1038-353	353	inside	n.	inside	kati	1606	INSIDE
Nurse-1975-1038-353a	353a	in the middle of	n.	in the middle of	katikati		
Nurse-1975-1038-354	354	look at, examine	n.	look at, examine//in the middle of	(ku)tazama	1819	LOOK
Nurse-1975-1038-354a	354a	look round	v.	look round	(ku)tazama pote (=kutupa jicho huko na huko)		
Nurse-1975-1038-355	355	cut	v.	cut//look round	(ku)kata		
Nurse-1975-1038-356	356	head	n.	head	kichwa	1256	HEAD
Nurse-1975-1038-357	357	tobacco pipe	n.	tobacco pipe	kiko	1124	PIPE
Nurse-1975-1038-358	358	grunt, grumble	v.	grunt, grumble	(ku)guna		
Nurse-1975-1038-359	359	dawn, daybreak	n.	dawn, daybreak	mapambazuko	729	DAWN
Nurse-1975-1038-360	360	tail	n.	tail	mkia	1220	TAIL
Nurse-1975-1038-361	361	monkey (small, dark-coloured)	n.	monkey (small, dark-coloured)	kima	1350	MONKEY
Nurse-1975-1038-362	362	colobus monkey (with long black silk hair, white on the shoulders) 	n.	colobus monkey (w/ long black//colobus monkey (with long blac	mbega		
Nurse-1975-1038-363	363	(small lightish-coloured) monk	n.	(small lightish-coloured) monk	tumbili		
Nurse-1975-1038-364	364	baboon, ape	n.	baboon, ape	nyani	1197	BABOON
Nurse-1975-1038-365	365	dance (of men, to show courage	v.	dance (of men, to show courage	(ku)randa		
Nurse-1975-1038-366	366	do	v.	do	(ku)fanya	813	DO
Nurse-1975-1038-367	367	do, complete, finish	v.	do, complete, finish	(ku)maliza		FINISH
Nurse-1975-1038-368	368	Grant's gazelle	n.	Grant's gazelle	swala	5	GAZELLE
Nurse-1975-1038-369	369	pound (grain in a mortar to get husks off) 	v.	pound (grain in a mortar to ge	(ku)twanga	354	POUND
Nurse-1975-1038-370	370	crush by pounding, pulverise	v.	crush by pounding, pulverise//crush by pounding pulverize	(ku)ponda	1520	CRUSH
Nurse-1975-1038-371	371	grind (grain with a millstone)	v.	grind (grain with a millstone)	(ku)saga	1033	GRIND
Nurse-1975-1038-372	372	grind coarsely	v.	grind coarsely	(ku)paaza		
Nurse-1975-1038-373	373	gruel	n.	gruel	uji	1167	GRUEL
Nurse-1975-1038-374	374	porridge	n.	porridge	ugali		
Nurse-1975-1038-375	375	bread	n.	bread	mkate	1368	BREAD
Nurse-1975-1038-376	376	base of tree-trunk	n.	base of tree-trunk	shina		
Nurse-1975-1038-377	377	hardship, distress	n.	hardship, distress	shida		
Nurse-1975-1038-378	378	tramp of feet	n.	tramp of feet	mshindo (wa miguu)		
Nurse-1975-1038-379	379	neck	n.	neck	shingo	1333	NECK
Nurse-1975-1038-380	380	vein	n.	vein	mshipa (wa damu)	1924	VEIN
Nurse-1975-1038-381	381	brother-in-law, sister-in-law	n.	brother-in-law, sister-in-law	shemeji		
Nurse-1975-1038-382	382	father-in-law, mother-in-law	n.	father-in-law, mother-in-law	mkwe	306	PARENTS-IN-LAW
Nurse-1975-1038-383	383	cough	v.	cough	(ku)kohoa	879	COUGH
Nurse-1975-1038-384	384	be properly flavoured	v.	be properly flavoured	(ku)kolea		
Nurse-1975-1038-385	385	become cool; get well	v.	become cool; get well	(ku)poa		
Nurse-1975-1038-386	386	be sharp	v.	be sharp	(ku)koa	1396	SHARP
Nurse-1975-1038-387	387	snail, slug	n.	snail, slug	kaa	1543	SNAIL
Nurse-1975-1038-388	388	East African goshawk	n.	East African goshawk	kozi		
Nurse-1975-1038-389	389	get intoxicated	v.	get intoxicated	(ku)jilevya		
Nurse-1975-1038-390	390	stare, glare	v.	stare, glare	(ku)kodoa (macho)		
Nurse-1975-1038-391	391	heap up, ready, set on fire	v.	heap up, ready, set on fire//heap up, ready/set on fire	(ku)koka (moto)		
Nurse-1975-1038-392	392	sweep up, collect in a heap (rubbish) 	v.	sweep up, collect in a heap (r	(ku)kokoa (taka)	230	SWEEP
Nurse-1975-1038-393	393	crust	n.	crust	ukoko		
Nurse-1975-1038-394	394	come to an end	v.	come to an end	(ku)koma		
Nurse-1975-1038-395	395	strike, knock	v.	strike, knock	(ku)gonga	2396	KNOCK
Nurse-1975-1038-396	396	hit with a hammer	n.	hit with a hammer	(ku)piga nyundo		
Nurse-1975-1038-397	397	banana (fruit)	n.	banana (fruit)	ndizi	868	BANANA
Nurse-1975-1038-398	398	banana (plant)	n.	banana (plant)	mgomba		BANANA TREE
Nurse-1975-1038-399	399	banana for cooking	n.	banana for cooking `matoke'//banana for cooking	mzuzu (=matoke)		
Nurse-1975-1038-400	400	fist	n.	fist	konde	1473	FIST
Nurse-1975-1038-401	401	trunk (of elephant)	n.	trunk (of elephant)	mkonga		
Nurse-1975-1038-402	402	thin, curved, broad-bladed knife 	n.	thin, curved, broad-bladed kni	kotama		
Nurse-1975-1038-403	403	nape (of neck)	n.	nape (of neck)	ukosi	1347	NAPE (OF NECK)
Nurse-1975-1038-404	404	seize	v.	seize	(ku)kamata	855	SEIZE
Nurse-1975-1038-405	405	grow up, get large, become great 	v.	grow up, get large, become gre	(ku)kua		
Nurse-1975-1038-406	406	grate	v.	grate	(ku)kwaruza		
Nurse-1975-1038-407	407	stumble	v.	stumble	(ku)kwaa	2894	TUMBLE (FALL DOWN)
Nurse-1975-1038-408	408	get, obtain	v.	get, obtain//get obtain	(ku)pata	694	GET
Nurse-1975-1038-409	409	great, powerful	n.	great, powerful	-kuu	3001	POWERFUL
Nurse-1975-1038-410	410	old	n.	old	-kuukuu	1229	OLD
Nurse-1975-1038-411	411	old person	n.	old person	mzee	725	OLD PERSON
Nurse-1975-1038-412	412	ten	n.	ten	kumi	1515	TEN
Nurse-1975-1038-413	413	firewood	n.	firewood	kuni	10	FIREWOOD
Nurse-1975-1038-414	414	(kind of pigeon)	n.	kind of pigeon//(kind of pigeon)	kunda		
Nurse-1975-1038-415	415	(red-eyed) dove	n.	(red-eyed) dove	njiwa	1853	DOVE
Nurse-1975-1038-416	416	(kind of bean)	n.	(kind of bean)//kind of bean	(u)kunde		
Nurse-1975-1038-417	417	small bean	n.	small bean	maharag(w)e		
Nurse-1975-1038-418	418	hem, make a border	v.	hem, make a border	(ku)kunga		
Nurse-1975-1038-419	419	gather (flowers, fruit)	v.	gather (flowers, fruit)	(ku)chuma		
Nurse-1975-1038-420	420	(cattle or dog) tick	n.	(cattle or dog) tick	kupe	1527	TICK
Nurse-1975-1038-421	421	fig tree	n.	fig-tree//fig tree	mtini		
Nurse-1975-1038-422	422	fig mulberry tree	n.	fig mulberry tree//fig-mulberry tree	mkuyu		
Nurse-1975-1038-423	423	dead person	n.	dead person	mfu		
Nurse-1975-1038-424	424	death	n.	death	kifo	910	DEATH
Nurse-1975-1038-425	425	die	v.	die	(ku)fa	1494	DIE
Nurse-1975-1038-426	426	inheritance	n.	inheritance	urithi		
Nurse-1975-1038-427	427	kneel	v.	kneel	(ku)piga magoti	66	KNEEL
Nurse-1975-1038-428	428	give out smoke	v.	give out smoke	(ku)fukia		
Nurse-1975-1038-429	429	keep livestock	v.	leep livestock//keep livestock	(ku)fuga		
Nurse-1975-1038-430	430	shoulder	n.	shoulder	fuzi	1482	SHOULDER
Nurse-1975-1038-431	431	chief	n.	chief	mfumo	301	CHIEFTAIN
Nurse-1975-1038-431a	431a	chief, headman	n.	chief, headman	jumbe		
Nurse-1975-1038-432	432	grasp, hold in arm	n.	chief, headman//grasp, hold in arm	(ku)fumbata	1448	HOLD
Nurse-1975-1038-433	433	bone	n.	bone	mfupa	1394	BONE
Nurse-1975-1038-434	434	short	n.	short	-fupi	1645	SHORT
Nurse-1975-1038-435	435	oil	n.	oil	mafuta (laini)		
Nurse-1975-1038-436	436	mother	n.	mother	mama	1216	MOTHER
Nurse-1975-1038-437	437	dew	n.	dew	umande	1977	DEW
Nurse-1975-1038-438	438	swallow	v.	swallow	(ku)meza	897	SWALLOW
Nurse-1975-1038-439	439	left-hand	n.	left-hand	kushoto	244	LEFT
Nurse-1975-1038-440	440	one	n.	one//one (=moja)	mosi (=moja)	1493	ONE
Nurse-1975-1038-441	441	pour away	v.	pour away	(ku)mwaga		
Nurse-1975-1038-442	442	four	n.	four	nne	1500	FOUR
Nurse-1975-1038-443	443	eight	n.	eight	nane	1705	EIGHT
Nurse-1975-1038-444	444	thick, fat	n.	thick, fat	-nene	1244	THICK
Nurse-1975-1038-445	445	tomato	n.	tomato	nyanya	986	TOMATO
Nurse-1975-1038-446	446	urinate	v.	urinate	(ku)nya	592	PISS
Nurse-1975-1038-446a	446a	defecate	v.	defecate	(ku)nya mavi		
Nurse-1975-1038-447	447	finger	v.	finger//defecate	kidole (cha mkono)	1303	FINGER
Nurse-1975-1038-448	448	drink	v.	drink	(ku)nywa	1401	DRINK
Nurse-1975-1038-449	449	give	v.	give	(ku)pa	1447	GIVE
Nurse-1975-1038-450	450	separate, leave each other	v.	separate, leave each other	(ku)achana		
Nurse-1975-1038-451	451	separate, set apart	v.	separate, set apart	(ku)tenga	1359	SEPARATE
Nurse-1975-1038-452	452	twin	n.	twin	pacha	1005	TWINS
Nurse-1975-1038-453	453	scrape	v.	scrape	(ku)paa	1767	SCRAPE
Nurse-1975-1038-454	454	small gazelle	n.	small gazelle	paa		
Nurse-1975-1038-455	455	thatched roof	n.	thatched roof	paa		
Nurse-1975-1038-456	456	pack, flock, group	n.	pack, flock, group	kundi		
Nurse-1975-1038-457	457	pack, bale, bundle	n.	pack, bale, bundle	mtumba		
Nurse-1975-1038-458	458	fork, bifurcation	n.	fork, bifurcation	panda		
Nurse-1975-1038-459	459	palpitate	v.	palpitate	(ku)papa		
Nurse-1975-1038-460	460	become jammed	v.	become jammed	(ku)kwama		
Nurse-1975-1038-461	461	be fully grown	v.	be fully grown	(ku)pea, (ku)pevuka		
Nurse-1975-1038-462	462	fan, wave	v.	fan, wave	(ku)pepea	1971	FAN (OBJECT)
Nurse-1975-1038-463	463	blow away	v.	blow away	(ku)peperusha	176	BLOW (WITH MOUTH)
Nurse-1975-1038-464	464	(disembodied) spirit	n.	(disembodied) spirit	pepo	53	SPIRIT
Nurse-1975-1038-465	465	cold	n.	cold	baridi	102	COMMON COLD (DISEASE)
Nurse-1975-1038-466	466	diminish, grow less	v.	diminish, grow less	(ku)pungua	1184	DIMINISH
Nurse-1975-1038-467	467	light in weight	n.	light in weight	-epesi	1052	LIGHT (WEIGHT)
Nurse-1975-1038-468	468	bend	v.	bend	(ku)peta	2224	BEND (SOMETHING)
Nurse-1975-1038-469	469	which?	n.	which?	-pi?	727	WHICH
Nurse-1975-1038-470	470	slap	v.	slap	(ku)piga kofi		
Nurse-1975-1038-471	471	cook	v.	cook	(ku)pika	1100	COOK (SOMETHING)
Nurse-1975-1038-472	472	ripen	v.	ripen	(ku)iva	179	RIPEN
Nurse-1975-1038-473	473	ripe	n.	ripe	-bivu	178	RIPE
Nurse-1975-1038-474	474	fire	n.	fire	moto	221	FIRE
Nurse-1975-1038-475	475	puff-adder	n.	puff-adder	pili		
Nurse-1975-1038-476	476	handle, haft	n.	handle, haft	pini	1254	HANDLE
Nurse-1975-1038-477	477	kidney	n.	kidney	figo	489	KIDNEY
Nurse-1975-1038-478	478	arrive	v.	arrive	(ku)fika	1387	ARRIVE
Nurse-1975-1038-479	479	pinch, make narrow	v.	pinch, make narrow	(ku)finya	378	PINCH
Nurse-1975-1038-480	480	suck	v.	suck	(ku)fyonza	1421	SUCK
Nurse-1975-1038-481	481	darkness	n.	darkness	giza	11	DARKNESS
Nurse-1975-1038-482	482	blind person	n.	blind person	kipofu	457	BLIND PERSON
Nurse-1975-1038-483	483	twist	v.	twist	(ku)pota	430	TWIST
Nurse-1975-1038-484	484	nose	n.	nose	pua	1221	NOSE
Nurse-1975-1038-485	485	be quiet	v.	be quiet	(ku)tulia	1314	QUIET
Nurse-1975-1038-486	486	cease, finish	n.	cease, finish	(kw)isha	1928	CEASE
Nurse-1975-1038-487	487	strip off (e.g. grains of corn)	v.	strip off (e.g. grains of corn	(ku)pura		
Nurse-1975-1038-488	488	field rat	n.	field rat	puku		
Nurse-1975-1038-489	489	breath, breathing	n.	breath, breathing	pumzi	870	BREATH
Nurse-1975-1038-490	490	breathe, rest	v.	breathe, rest	(ku)pumua		
Nurse-1975-1038-491	491	eagle, bird of prey	n.	eagle, bird of prey	pungu	1905	EAGLE
Nurse-1975-1038-492	492	eagerness, zeal	n.	eagerness, zeal	pupa		
Nurse-1975-1038-493	493	flap the wings wildly, flutter	v.	flap the wings wildly, flutter	(ku)papatika		
Nurse-1975-1038-494	494	penetrate	v.	penetrate	(ku)penya		
Nurse-1975-1038-495	495	boil, abscess	n.	boil, abscess	jipu	793	BOIL (OF SKIN)
Nurse-1975-1038-496	496	blow on, blow up	v.	blow on, blow up	(ku)puliza		
Nurse-1975-1038-497	497	befit, suit	v.	befit, suit	(ku)agia	764	SUIT
Nurse-1975-1038-498	498	be fitting, behoove	v.	be fitting, behoove//be fitting, behove	(ku)juzu		
Nurse-1975-1038-499	499	resemble	v.	resemble	(ku)fanana na	1777	RESEMBLE
Nurse-1975-1038-500	500	revive	v.	revive	(ku)fufua		
Nurse-1975-1038-501	501	weave, knit	v.	weave, knit	(ku)fuma		
Nurse-1975-1038-502	502	foam	n.	foam	povu	1768	FOAM
Nurse-1975-1038-503	503	dig	v.	dig	(ku)chimba	1418	DIG
Nurse-1975-1038-504	504	dig up, dig out	v.	dig up, dig out	(ku)fukua		
Nurse-1975-1038-505	505	come on suddenly, take in the act 	v.	come on suddenly, take in the	(ku)fumania		
Nurse-1975-1038-506	506	go out, go away	v.	go out, go away	(ku)toka	1752	LEAVE
Nurse-1975-1038-507	507	war	n.	war	vita	935	WAR
Nurse-1975-1038-508	508	bow	n.	bow	uta	994	BOW
Nurse-1975-1038-509	509	branch	n.	branch	tawi	1531	BRANCH
Nurse-1975-1038-510	510	platform	n.	platform	jukwaa		
Nurse-1975-1038-511	511	lamp	n.	lamp	taa	625	LAMP
Nurse-1975-1038-512	512	divorce	n.	divorce	talaka	1134	DIVORCE
Nurse-1975-1038-513	513	iron ore	n.	iron ore	mawe yenye chuma		
Nurse-1975-1038-514	514	buttock	n.	buttock//buttocks	tako	834	BUTTOCKS
Nurse-1975-1038-515	515	cheek	n.	cheek	shavu (la uso)	1730	CHEEK
Nurse-1975-1038-516	516	final, decisive	n.	final, decisive	tama	1529	LAST (FINAL)
Nurse-1975-1038-517	517	sweet, pleasant	n.	sweet, pleasant	tamu	717	SWEET
Nurse-1975-1038-518	518	pronounce	v.	pronounce	(ku)tamka		
Nurse-1975-1038-519	519	strut proudly	v.	strut proudly	(ku)tamba		
Nurse-1975-1038-520	520	crawl, creep	v.	crawl, creep	(ku)tamboa	3456	CRAWL OR CREEP
Nurse-1975-1038-521	521	make offerings to the dead	v.	make offerings to the dead	(ku)tambika		
Nurse-1975-1038-522	522	sacrifice	n.	sacrifice	dhabibu	1103	SACRIFICE
Nurse-1975-1038-523	523	receive	v.	receive	(ku)pokea		
Nurse-1975-1038-524	524	take a walk	v.	take a walk	(ku)tembea	2890	WALK (TAKE A WALK)
Nurse-1975-1038-525	525	five	n.	five	tano	493	FIVE
Nurse-1975-1038-526	526	centipede	n.	centipede	tandu	1974	CENTIPEDE
Nurse-1975-1038-527	527	spread	v.	spread	(ku)tandika	38	SPREAD OUT
Nurse-1975-1038-528	528	shiver	v.	shiver	(ku)tapa	52	SHIVER
Nurse-1975-1038-529	529	draw (water from well)	v.	draw (water from well)	(ku)teka (maji)	1911	DRAW (WATER)
Nurse-1975-1038-530	530	tangle	v.	tangle	(ku)tata		
Nurse-1975-1038-531	531	father	n.	father	baba	1217	FATHER
Nurse-1975-1038-531a	531a	my father	n.	my father	babaangu		
Nurse-1975-1038-532	532	three	n.	my father//three	tatu	492	THREE
Nurse-1975-1038-533	533	spittle	n.	spittle	mate	1503	SALIVA
Nurse-1975-1038-534	534	set a trap	v.	set a trap	(ku)tega		
Nurse-1975-1038-535	535	be leaning	v.	be leaning	(ku)egama		
Nurse-1975-1038-536	536	lean on, rely on	v.	lean on, rely on	(ku)tegemea		
Nurse-1975-1038-537	537	reed	n.	reed	tete	659	REED
Nurse-1975-1038-538	538	tremble, shake	v.	tremble, shake	(ku)tetemeka		
Nurse-1975-1038-539	539	namely	n.	namely	yaani		
Nurse-1975-1038-540	540	tree	n.	tree	mti	906	TREE
Nurse-1975-1038-541	541	stick	n.	stick	fimbo	1295	STICK
Nurse-1975-1038-542	542	inside	n.	inside	ndani	1606	INSIDE
Nurse-1975-1038-543	543	heart	n.	heart	moyo	1223	HEART
Nurse-1975-1038-544	544	leave (off)	v.	leave(off)//leave (off)	(ku)acha		
Nurse-1975-1038-545	545	remain, stay behind	v.	remain, stay behind	(ku)baki		
Nurse-1975-1038-546	546	leave, permission	n.	leave, permission	ruhusa		
Nurse-1975-1038-547	547	leave, go away	v.	leave, go away	(ku)ondoka	1752	LEAVE
Nurse-1975-1038-548	548	push	v.	push	(ku)sukuma	1452	PUSH
Nurse-1975-1038-549	549	fall short	v.	fall short	(ku)tindika		
Nurse-1975-1038-550	550	clod, lump	n.	clod, lump	bumba		
Nurse-1975-1038-551	551	unripe, half grown	n.	unripe, half grown	tindi	1958	UNRIPE
Nurse-1975-1038-552	552	pit, hole	n.	pit, hole	shimo	1667	HOLE
Nurse-1975-1038-553	553	press out (oil seed, sugar cane)	v.	press out (oil seed, sugar can	(ku)sindika	1913	PRESS
Nurse-1975-1038-554	554	stem of maize, millet	n.	stem of maize, millet, etc.//stem of maize, millet	bua		
Nurse-1975-1038-555	555	bush	n.	bush	msitu	1683	BUSH
Nurse-1975-1038-556	556	forest	n.	forest	mwitu	420	FOREST
Nurse-1975-1038-557	557	cook in water or fat	v.	cook in water or fat	(ku)tokosa		
Nurse-1975-1038-558	558	person	n.	person	mtu	683	PERSON
Nurse-1975-1038-559	559	thing	n.	thing	kitu	738	THING
Nurse-1975-1038-560	560	carry	v.	carry	(ku)chukua	700	CARRY
Nurse-1975-1038-561	561	heap	n.	heap	chungu	2984	HEAP
Nurse-1975-1038-562	562	stack, pile up	v.	stack, pile up	(ku)panganya	1576	PILE UP
Nurse-1975-1038-563	563	ear	n.	ear	sikio	1247	EAR
Nurse-1975-1038-564	564	bore a hole	v.	bore a hole	(ku)toboa	1501	BORE
Nurse-1975-1038-565	565	take, carry	v.	take, carry	(ku)twaa		
Nurse-1975-1038-566	566	trickle away	v.	trickle away	(ku)churuzika		
Nurse-1975-1038-567	567	take up a heavy load	v.	take up a heavy load	(ku)twika		
Nurse-1975-1038-568	568	giraffe	n.	giraffe	twiga	3089	GIRAFFE
Nurse-1975-1038-569	569	use	v.	use	(ku)tumia	2072	USE (VERB)
Nurse-1975-1038-570	570	send	v.	send	(ku)tuma	1127	SEND
Nurse-1975-1038-571	571	abuse	v.	abuse	(ku)tukana		
Nurse-1975-1038-572	572	hump (of hunchback)	n.	hump (of hunchback)	kigongo	534	HUMP
Nurse-1975-1038-573	573	hump (of cow)	n.	hump (of cow)	nundu		
Nurse-1975-1038-574	574	fruit	n.	fruit	tunda	1507	FRUIT
Nurse-1975-1038-575	575	hole, nest	n.	hole, nest	tundu		
Nurse-1975-1038-576	576	basket of open wicker-work	n.	basket of open wicker-work (na//basket of open wicker-work	tundu (=namna ya kikapu)	1539	BASKET
Nurse-1975-1038-577	577	plaited basket	n.	plaited basket	kikapu		
Nurse-1975-1038-578	578	carry	v.	carry	(ku)tuta	700	CARRY
Nurse-1975-1038-579	579	pile up, pile loads on head	v.	pile up, pile loads on head	(ku)tutika		
Nurse-1975-1038-580	580	ramble	v.	ramble	(ku)tutuma		
Nurse-1975-1038-581	581	boil up	v.	boil up	(ku)tutuma		
Nurse-1975-1038-582	582	spit	v.	spit	(ku)tema mate	1440	SPIT
Nurse-1975-1038-583	583	filter, strain	v.	filter, strain	(ku)chuja	940	STRAIN
Nurse-1975-1038-584	584	forge	v.	forge	(ku)fua (chuma)	288	FORGE
Nurse-1975-1038-585	585	chest	n.	chest	kifua	1592	CHEST
Nurse-1975-1038-586	586	anvil	n.	anvil	fuawe	1648	ANVIL
Nurse-1975-1038-587	587	face downwards	n.	face downwards	fudifudi		
Nurse-1975-1038-588	588	shoulder	n.	shoulder	bega	1482	SHOULDER
Nurse-1975-1038-589	589	sew	v.	sew	(ku)shona	1457	SEW
Nurse-1975-1038-590	590	open the mouth wide	v.	open the mouth wide	(ku)achama	3437	OPEN (MOUTH)
Nurse-1975-1038-591	591	spread, scatter	v.	spread, scatter	(ku)tawanyika	3705	SCATTER
Nurse-1975-1038-592	592	spread, smear on	v.	spread, smear on	(ku)paka	364	SMEAR
Nurse-1975-1038-593	593	year	n.	year	mwaka	1226	YEAR
Nurse-1975-1038-594	594	suck (the breast)	v.	suck (the breast)	(ku)amwa	1421	SUCK
Nurse-1975-1038-595	595	animal	n.	animal	nyama	619	ANIMAL
Nurse-1975-1038-596	596	meat	n.	meat	nyama	634	MEAT
Nurse-1975-1038-597	597	child	n.	child	mwana	2099	CHILD
Nurse-1975-1038-598	598	set out to dry	v.	set out to dry	(ku)anika	3364	DRY IN SUN
Nurse-1975-1038-599	599	prepare	v.	prepare	(ku)anda(li)a	2909	PREPARE
Nurse-1975-1038-600	600	pay attention, take care	v.	pay attention, take care	(ku)angalia		
Nurse-1975-1038-601	601	split, crack	v.	split, crack	(ku)atua	3080	SPLIT OPEN
Nurse-1975-1038-602	602	canoe	n.	canoe	mtumbwi	1970	CANOE
Nurse-1975-1038-603	603	she, he	n.	she, he	yeye	2642	HE OR SHE
Nurse-1975-1038-604	604	try	v.	try	(ku)jaribu	1812	TRY
Nurse-1975-1038-605	605	tsetse fly	n.	tsetse-fly//tsetse fly	mbung'o		
Nurse-1975-1038-606	606	judge	v.	judge	(ku)hukumu	1818	ADJUDICATE
Nurse-1975-1038-607	607	knife	n.	knife	kisu	1352	KNIFE
Nurse-1975-1038-608	608	short sword	n.	short sword	sime		
Nurse-1975-1038-609	609	moonlight	n.	moonlight	mbalamwezi		
Nurse-1975-1038-610	610	white	n.	white	-eupe	1335	WHITE
Nurse-1975-1038-611	611	self	n.	self	-enyewe	1993	SELF
Nurse-1975-1038-612	612	cricket	n.	cricket//cricket (nyenze)	nyenje / nyenze	2354	CRICKET
Nurse-1975-1038-613	613	learn	v.	learn	(ku)jifunza	504	LEARN
Nurse-1975-1038-614	614	upright	n.	upright	wima		
Nurse-1975-1038-615	615	sing	v.	sing	(ku)imba	1261	SING
Nurse-1975-1038-616	616	song	n.	song	nyimbo	1096	SONG
Nurse-1975-1038-617	617	answer a call	v.	answer a call	(ku)itika		
Nurse-1975-1038-618	618	steal	v.	steal	(ku)iba	713	STEAL
Nurse-1975-1038-619	619	thief	n.	thief	mwivi	1160	THIEF
Nurse-1975-1038-620	620	eye	n.	eye	jicho	1248	EYE
Nurse-1975-1038-621	621	tears	n.	tears	machozi	1651	TEAR (OF EYE)
Nurse-1975-1038-622	622	dark, black	n.	dark, black	-eusi	2633	BLACK OR DARK
Nurse-1975-1038-623	623	hear	v.	hear	(ku)sikia	1408	HEAR
Nurse-1975-1038-624	624	come	v.	come	(ku)ja	1446	COME
Nurse-1975-1038-625	625	become full	v.	become full	(ku)jaa		
Nurse-1975-1038-626	626	know	v.	know	(ku)jua	3626	KNOW
Nurse-1975-1038-627	627	sit	v.	sit//sit (e.g. kukaa kitako)	(ku)kaa (e.g. kitako)	1416	SIT
Nurse-1975-1038-628	628	dwell	v.	dwell	(ku)kaa	363	DWELL (LIVE, RESIDE)
Nurse-1975-1038-629	629	smoke	n.	smoke	moshi	778	SMOKE (EXHAUST)
Nurse-1975-1038-630	630	have enough to eat or drink, be satiated 	v.	have enough to eat or drink, b	(ku)shiba		
Nurse-1975-1038-631	631	denial	n.	denial	mkano		
Nurse-1975-1038-632	632	refuse, say no	v.	refuse, say no	(ku)kataa		
Nurse-1975-1038-633	633	reject, refuse	v.	reject, refuse	(ku)iza	49	REFUSE
Nurse-1975-1038-634	634	at the back of	n.	at the back of	nyuma	1686	BEHIND
Nurse-1975-1038-635	635	dip	v.	dip	(ku)chovya	3697	DIP
Nurse-1975-1038-636	636	be pregnant	v.	be pregnant	(ku)wa na mimba	1123	PREGNANT
Nurse-1975-1038-637	637	your(s) (pl.)	n.	your(s) (Pl. 2nd person)//your(s) (pl.)	-enu	2274	YOUR (PLURAL)
Nurse-1975-1038-638	638	pestle	n.	pestle	mchi (kwa kutwangia)	225	PESTLE
Nurse-1975-1038-639	639	go in, come in	v.	go in, come in	(ku)ingia	749	ENTER
Nurse-1975-1038-640	640	our(s)	n.	our(s) Pl. 1st person)//our(s)	-etu	780	OUR
Nurse-1975-1038-641	641	pour	v.	pour	(ku)mimina	1487	POUR
Nurse-1975-1038-642	642	mushroom	n.	mushroom	kiyoga	641	MUSHROOM
Nurse-1975-1038-643	643	bathe	v.	bathe	(ku)oga	138	BATHE
Nurse-1975-1038-644	644	roast	v.	roast	(ku)oka (motoni)	1962	ROAST (SOMETHING)
Nurse-1975-1038-645	645	burn	v.	burn	(ku)waka	2102	BURN
Nurse-1975-1038-646	646	potter's kiln	n.	potter's kiln	joko		
