ID	NUMBER	ENGLISH	ENGLISH_GLOSS	FRENCH_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gravina-2014-1611-314	314	burn	burn	brûler // brûler plusieurs fois // calciner // se brûler	2102	BURN
Gravina-2014-1611-315	315	burn (intr)	burn (intr)	brûler (intransitif)	1428	BURNING
Gravina-2014-1611-316	316	burn (n)	burn (n)	brûlure	3622	BURN (INJURY)
Gravina-2014-1611-317	317	burst	burst	exploser // s'éclater ; crever ; se fendre // s'éclorer // éclater	3976	EXPLODE
Gravina-2014-1611-318	318	bury	bury	enterrer // enterrer, ensevelir	1719	BURY
Gravina-2014-1611-319	319	bush	bush	(arbre) // (arbuste) // (buisson) // arbuste, buisson // brousse // brousse non-cultivée // buisson	1683	BUSH
Gravina-2014-1611-320	320	bush country, rural area	bush country, rural area	brousse, campagne // brousse, campagne, terre		
Gravina-2014-1611-321	321	bush dweller	bush dweller	habitant de la brousse, campagnard // habitant de la brousse, compagnard		
Gravina-2014-1611-322	322	butcher (n)	butcher (n)	boucher	2569	BUTCHER
Gravina-2014-1611-323	323	butterfly	butterfly	papillon	1791	BUTTERFLY
Gravina-2014-1611-324	324	buttock	buttock	fesse	834	BUTTOCKS
Gravina-2014-1611-325	325	buy	buy	acheter	1869	BUY
Gravina-2014-1611-326	326	cackle (as of chicken)	cackle (as of chicken)	caqueter (p.ex. poule)	3683	CACKLE
Gravina-2014-1611-327	327	calabash	calabash	calabasse // calebasse // calebasse, louche; calebasse à manche longue, comme une cuillère // flacon	3918	CALABASH
Gravina-2014-1611-328	328	calf	calf	mollet // veau	1989	CALF
Gravina-2014-1611-329	329	calf of leg	calf of leg	mollet	498	CALF OF LEG
Gravina-2014-1611-330	330	call	call	appel // appeler	1084	CALL
Gravina-2014-1611-331	331	calm (oneself)	calm (oneself)	se calmer		
Gravina-2014-1611-332	332	camel	camel	chameau	1871	CAMEL
Gravina-2014-1611-333	333	camp, encampment	camp, encampment	campement	1105	CAMP
Gravina-2014-1611-334	334	cane rat, cutting grass, grass cutter	cane rat, cutting grass, grass cutter	hérisson		
Gravina-2014-1611-335	335	cane, walking stick	cane, walking stick	canne	1296	WALKING STICK
Gravina-2014-1611-336	336	canoe	canoe	pirogue // pirogue, canoë	1970	CANOE
Gravina-2014-1611-337	337	capsize	capsize	chavirer // se renverser, chavirer		
Gravina-2014-1611-338	338	carry (child) on back	carry (child) on back	porter (enfant) sur le dos	465	CARRY ON BACK
Gravina-2014-1611-339	339	carry on head	carry on head	porter // porter sur la tête	414	CARRY ON HEAD
Gravina-2014-1611-340	340	carve	carve	tailler // tailler à l'herminette	228	CARVE
Gravina-2014-1611-341	341	cassava	cassava	manioc	925	CASSAVA
Gravina-2014-1611-342	342	castrate	castrate	castrer // châtrer	29	GELD
Gravina-2014-1611-343	343	cat	cat	chat	1208	CAT
Gravina-2014-1611-344	344	catch (fish) (v)	catch (fish) (v)	prendre (un poisson)		
Gravina-2014-1611-345	345	catch (object in air)	catch (object in air)	attraper (un objet dans l'air) // attraper (un objet dans l`air)	702	CATCH
Gravina-2014-1611-346	346	caterpillar	caterpillar	chenille // chenille (sorte de)	2247	CATERPILLAR
Gravina-2014-1611-347	347	catfish	catfish	poisson // poisson-chat, silure // silure	3777	CATFISH
Gravina-2014-1611-348	348	cattle egret	cattle egret	aigrette // garde-bœuf // pic-boeuf		
Gravina-2014-1611-349	349	cattle pen	cattle pen	clôture, enclos (de bétail) // enclos (de bétail) // enclos de boeufs		
Gravina-2014-1611-350	350	cave	cave	caverne // grotte	1155	CAVE
Gravina-2014-1611-351	351	cease, stop	cease, stop	cesser // cesser, s'arrêter // cesser, s`arrêter	1928	CEASE
Gravina-2014-1611-352	352	cemetery	cemetery	cimetière	3284	GRAVEYARD
Gravina-2014-1611-353	353	centipede	centipede	iule ; mille-pattes // mille-pattes // scolopendre	1974	CENTIPEDE
Gravina-2014-1611-354	354	chaff	chaff	balle // déchets de mil battu // résidus végétaux ; menue paille	2363	CHAFF (HUSK)
Gravina-2014-1611-355	355	chair	 // chair	chair // chaise	1476	CHAIR
Gravina-2014-1611-356	356	chameleon	chameleon	caméléon // chaméléon	1555	CHAMELEON
Gravina-2014-1611-357	357	charcoal	charcoal	charbon // charbon de bois	1188	CHARCOAL
Gravina-2014-1611-358	358	chase (v)	chase (v)	poursuivre, faire la chasse	1047	PURSUE
Gravina-2014-1611-359	359	chat (v)	chat (v)	causer	2903	CHAT (WITH SOMEBODY)
Gravina-2014-1611-360	360	cheek	cheek	joue // la joue	1730	CHEEK
Gravina-2014-1611-361	361	chest	chest	caisse // coffre // poitrine // thorax	1592	CHEST
Gravina-2014-1611-362	362	chew	chew	mâcher // mâcher la viande // ruminer; mâcher	321	CHEW
Gravina-2014-1611-363	363	chick	chick	poussin	2512	CHICK
Gravina-2014-1611-364	364	chicken	chicken	poulet // poussin	1318	CHICKEN
Gravina-2014-1611-365	365	chief	chief	chef	301	CHIEFTAIN
Gravina-2014-1611-366	366	chief, headman	chief, headman	chef	301	CHIEFTAIN
Gravina-2014-1611-367	367	child	child	enfant // petit	2099	CHILD
Gravina-2014-1611-368	368	chin	chin	menton	1510	CHIN
Gravina-2014-1611-369	369	choke	choke	s'étrangler // étouffer	129	CHOKE
Gravina-2014-1611-370	370	chop into pieces	chop into pieces	fendre, couper en morceaux	2149	CHOP (INTO PIECES)
Gravina-2014-1611-371	371	circumcision (male)	circumcision (male)	circoncision (hommes)	393	CIRCUMCISION
Gravina-2014-1611-372	372	civet cat	civet cat	civette	3018	NATIVE CAT
Gravina-2014-1611-373	373	clan	 // clan	clan // clan,descendant // parenté	302	CLAN
Gravina-2014-1611-374	374	clap (hands)	clap (hands)	se battre les mains	3110	CLAP
Gravina-2014-1611-375	375	claw	claw	ergot // griffe // griffe,ongle // pince // talon	72	CLAW
Gravina-2014-1611-376	376	clay	clay	argile // potopoto ; argile	1399	CLAY
Gravina-2014-1611-377	377	clear (land for planting)	clear (land for planting)	défricher (la terre pour planter)		
Gravina-2014-1611-378	378	climb, ascend	climb, ascend	monter, grimper	705	GO UP (ASCEND)
Gravina-2014-1611-379	379	clitoris	 // clitoris	clitoris	3257	CLITORIS
Gravina-2014-1611-380	380	close	close	(d') à côté // fermer // fermer (un carton)	1046	SHUT
Gravina-2014-1611-381	381	cloth	cloth	pagne; vêtements // tissu // tissu qu'on met sous un fardeau pour le porter	1616	CLOTH
Gravina-2014-1611-382	382	cloth worn by woman	cloth worn by woman	pagne (de femme)		
Gravina-2014-1611-383	383	clothes	clothes	habit // vêtement // vêtements // vêtements, habits	1895	CLOTHES
Gravina-2014-1611-384	384	cloud	cloud	nuage	1489	CLOUD
Gravina-2014-1611-385	385	coagulate, clot	coagulate, clot	coaguler	2395	CONGEAL (BLOOD)
Gravina-2014-1611-386	386	cockroach	cockroach	cafard // cafard(esp.) // cancrelat	1575	COCKROACH
Gravina-2014-1611-387	387	cocoyam, taro	cocoyam, taro	taro	351	TARO
Gravina-2014-1611-388	388	coffee	coffee	café	1299	COFFEE
Gravina-2014-1611-389	389	cohabit (unmarried man and woman)	cohabit (unmarried man and woman)	cohabiter		
Gravina-2014-1611-390	390	coil (rope) (v)	coil (rope) (v)	enrouler		
Gravina-2014-1611-391	391	cola nut	cola nut	cola // noix de kola		
Gravina-2014-1611-392	392	cold	cold	froid // refroidi // rhume	1287	COLD
Gravina-2014-1611-393	393	cold weather	cold weather	temps froid	3694	COLD WEATHER
Gravina-2014-1611-394	394	colour	colour	couleur	1613	COLOR
Gravina-2014-1611-395	395	come	come	venir	1446	COME
Gravina-2014-1611-396	396	come (or go) out, exit (v)	come (or go) out, exit (v)	sortir	1107	GO OUT
Gravina-2014-1611-397	397	command (n)	command (n)	commande		
Gravina-2014-1611-398	398	compound	compound	concession	483	COMPOUND
Gravina-2014-1611-399	399	conceive	conceive	concevoir	1087	CONCEIVE
Gravina-2014-1611-400	400	condole, comfort (v)	condole, comfort (v)	offrir les condoléances, consoler		
Gravina-2014-1611-401	401	congratulate	congratulate	fèliciter // féliciter		
Gravina-2014-1611-402	402	conquer, defeat	conquer, defeat	vaincre	782	DEFEAT
Gravina-2014-1611-403	403	contradict	contradict	contredire		
Gravina-2014-1611-404	404	cook	cook	(faire) cuire, cuisiner // cuire // faire cuire // préparer	1100	COOK (SOMETHING)
Gravina-2014-1611-405	405	cook (v)	cook (v)	(faire) cuire, cuisiner	1100	COOK (SOMETHING)
Gravina-2014-1611-406	406	cooking pot (earthenware)	cooking pot (earthenware)	marmite (en terre)	3653	COOKING POT
Gravina-2014-1611-407	407	cooking stone	cooking stone	pierre à cuire // pierre à cuire***		
Gravina-2014-1611-408	408	copper	copper	cuivre	1825	COPPER
Gravina-2014-1611-409	409	copulate, have sexual intercourse	copulate, have sexual intercourse	faire l'amour	549	COPULATE
Gravina-2014-1611-410	410	corn beer	corn beer	bière de maïs		
Gravina-2014-1611-411	411	corn cob	corn cob	epi (de maïs) // épi (de maïs)		
Gravina-2014-1611-412	412	corpse	corpse	cadavre	767	CORPSE
Gravina-2014-1611-413	413	cotton	cotton	coton	1850	COTTON
Gravina-2014-1611-414	414	cough (v)	cough (v)	tousser	879	COUGH
Gravina-2014-1611-415	415	count (v)	count (v)	compter	1420	COUNT
Gravina-2014-1611-416	416	country, ethnic area	country, ethnic area	pays	1300	COUNTRY
Gravina-2014-1611-417	417	courtyard	courtyard	cour // cour_intérieure_de_la_concession	4	COURTYARD
Gravina-2014-1611-418	418	cousin	cousin	cousin	1643	COUSIN
Gravina-2014-1611-419	419	cover	cover	couverture // couvrir // couvrir légèrement // couvrir; tôler; lisser // se couvrir	761	COVER
Gravina-2014-1611-420	420	cover (v)	cover (v)	couvrir	761	COVER
Gravina-2014-1611-421	421	cow	cow	boeuf // bovin, vache // vache // vache; boeuf	1007	COW
Gravina-2014-1611-422	422	coward	coward	lâche // lâche, poltron	1319	COWARD
Gravina-2014-1611-423	423	cowrie shell	cowrie shell	cauri // cauris	3663	COWRIE SHELL
Gravina-2014-1611-424	424	crab	crab	crabe	2348	CRAB
Gravina-2014-1611-425	425	crawl	crawl	marcher à quatre pattes // ramper // ramper (enfant) // ramper, marcher  quatre pattes // ramper, marcher à quatre pattes	96	CRAWL
Gravina-2014-1611-426	426	crawl (lizard)	crawl (lizard)	ramper (lézard)	96	CRAWL
Gravina-2014-1611-427	427	create	create	creàer // crèer // créer		
Gravina-2014-1611-428	428	crevice	crevice	fissure, fente		
Gravina-2014-1611-429	429	cricket	cricket	criquet // criquet migrateur // grillon	2354	CRICKET
Gravina-2014-1611-430	430	cripple (n)	cripple (n)	estropié	3621	DISABLED PERSON
Gravina-2014-1611-431	431	crocodile	 // crocodile	cayman crocodile // crocodile	1857	CROCODILE
Gravina-2014-1611-432	432	crop (of bird)	crop (of bird)	jabot		
Gravina-2014-1611-433	433	cross (v)	cross (v)	traverser	574	TRANSIT
Gravina-2014-1611-434	434	crossroads, intersection	crossroads, intersection	carrefour		
Gravina-2014-1611-435	435	crow	crow	corbeau // corbeau(esp.)	913	CROW
Gravina-2014-1611-436	436	crow (as a rooster) (v)	crow (as a rooster) (v)	chanter (p.ex. coq)	2074	CROW (VERB)
Gravina-2014-1611-437	437	crowd	crowd	foule	2023	CROWD
Gravina-2014-1611-438	438	crown (of head)	crown (of head)	sommet de la tête	1943	CROWN (OF HEAD)
Gravina-2014-1611-439	439	crunch	crunch	croquer		
Gravina-2014-1611-440	440	crush (tr)	crush (tr)	écraser	1520	CRUSH
Gravina-2014-1611-441	441	cry, weep	cry, weep	pleurer	1839	CRY
Gravina-2014-1611-442	442	cultivate	cultivate	cultiver	1541	CULTIVATE
Gravina-2014-1611-443	443	cup	cup	gobelet // gobelet, coupe, tasse // tasse // type de calebasse // verre	476	CUP
Gravina-2014-1611-444	444	curdled milk, cottage cheese	curdled milk, cottage cheese	lait caillé		
Gravina-2014-1611-445	445	current (river, stream)	current (river, stream)	courant	2935	CURRENT (STREAM)
Gravina-2014-1611-446	446	curse	curse	malédiction // malédiction; recevoir un affront // maudire	8	CURSE
Gravina-2014-1611-447	447	curse (n)	curse (n)	malédiction		
Gravina-2014-1611-448	448	curse (v)	curse (v)	maudire	8	CURSE
Gravina-2014-1611-449	449	curve, bend (v) (tr)	curve, bend (v) (tr)	courber	2224	BEND (SOMETHING)
Gravina-2014-1611-450	450	cut	cut	couper // couper; abattre // coupé // diviser; couper // fendre une fois ; taper pour couper avec une lame // plaie // tailler; calomnier	1432	CUT
Gravina-2014-1611-451	451	cut (hair)	cut (hair)	couper (cheveux) // se couper les cheveux, se coiffer // se faire couper les cheveux, se coiffer	2155	CUT (WITH SCISSORS)
Gravina-2014-1611-452	452	cut (tr)	cut (tr)	couper	1432	CUT
Gravina-2014-1611-453	453	cut down (tree)	cut down (tree)	abattre (un arbre)	355	CUT DOWN
Gravina-2014-1611-454	454	cut open	cut open	fendre, ouvrir avec un couteau	3080	SPLIT OPEN
Gravina-2014-1611-455	455	dance	dance	danse // danser	1879	DANCE
Gravina-2014-1611-456	456	dance (n)	dance (n)	danse (n)	3472	DANCE (MOVEMENT)
Gravina-2014-1611-457	457	dance (v)	dance (v)	danser	1879	DANCE
Gravina-2014-1611-458	458	darkness	darkness	obscurité	11	DARKNESS
Gravina-2014-1611-459	459	date	date	datte	3801	DATE (FRUIT)
Gravina-2014-1611-460	460	date palm	date palm	dattier		
Gravina-2014-1611-461	461	daughter	daughter	fille	1357	DAUGHTER
Gravina-2014-1611-462	462	daughter-in-law	daughter-in-law	belle-fille	1057	DAUGHTER-IN-LAW
Gravina-2014-1611-463	463	dawn	dawn	aube // l’aube	729	DAWN
Gravina-2014-1611-464	464	day	day	jour // jour; moment // journée	1225	DAY (NOT NIGHT)
Gravina-2014-1611-465	465	day after tomorrow	day after tomorrow	après-demain // après-demain ; surlendemain; aprés-demain	1179	DAY AFTER TOMORROW
Gravina-2014-1611-466	466	day before yesterday	day before yesterday	avant hier, il y a quelque temps ; l´autre jour // avant-hier	1180	DAY BEFORE YESTERDAY
Gravina-2014-1611-467	467	deaf mute	deaf mute	sourd-muet	458	DEAF PERSON
Gravina-2014-1611-468	468	deaf person	deaf person	(un) sourd // une personne sourde	458	DEAF PERSON
Gravina-2014-1611-469	469	death	death	(la) mort // la mort // mort	910	DEATH
Gravina-2014-1611-470	470	debt	debt	dette	1914	DEBT
Gravina-2014-1611-471	471	deceive	deceive	a) flatter avec l´intention de persuader la personne de te donner qqch. b) tromper // induire // tromper	3230	DECEIVE
Gravina-2014-1611-472	472	decide	decide	décider // décider; Ils décident de faire qqch.	685	DECIDE
Gravina-2014-1611-473	473	decorate	decorate	décorer	1739	DECORATE
Gravina-2014-1611-474	474	decrease (intr)	decrease (intr)	diminuer (intr)	2864	DECREASE
Gravina-2014-1611-475	475	deepen	deepen	approfondir // profondir		
Gravina-2014-1611-476	476	defecate	defecate	déféquer // déféquer, chier	676	SHIT (DEFECATE)
Gravina-2014-1611-477	477	demon, evil spirit	demon, evil spirit	démon, esprit mauvais	1973	DEMON
Gravina-2014-1611-478	478	deny	deny	nier	755	DENY
Gravina-2014-1611-479	479	descend, go down	descend, go down	descendre	2014	GO DOWN (DESCEND)
Gravina-2014-1611-480	480	descendant	descendant	descendant	490	DESCENDANTS
Gravina-2014-1611-481	481	desert	 // desert	desert // désert // terrain désertique	3687	DESERT
Gravina-2014-1611-482	482	destroy, spoil	destroy, spoil	détruire, gâter	681	DESTROY
Gravina-2014-1611-483	483	dew	dew	rosée	1977	DEW
Gravina-2014-1611-484	484	diarrhea	diarrhea	diarrhée	1177	DIARRHEA
Gravina-2014-1611-485	485	die	die	mourir	1494	DIE
Gravina-2014-1611-486	486	difficult	difficult	difficile	584	DIFFICULT
Gravina-2014-1611-487	487	dig	dig	creuser // creuser, enterrement // piocher	1418	DIG
Gravina-2014-1611-488	488	diminish	diminish	diminuer, réduire	1184	DIMINISH
Gravina-2014-1611-489	489	dip	dip	plonger, tremper // plonger, tremper (dans l'eau) // plonger, tremper (dans l`eau) // prendre_de_la_sauce // tremper qch	3697	DIP
Gravina-2014-1611-490	490	dirt, soil	dirt, soil	sol // terre // terre, plancher, sol // terre, sol	1228	EARTH (SOIL)
Gravina-2014-1611-491	491	disappear	disappear	disparaître	485	DISAPPEAR
Gravina-2014-1611-492	492	ditch	ditch	fosse // fosse de l'argile // fossé, rigole	2002	DITCH
Gravina-2014-1611-493	493	dive	dive	plonger	119	DIVE
Gravina-2014-1611-494	494	divide, separate (tr)	divide, separate (tr)	diviser // diviser, séparer	1119	DIVIDE
Gravina-2014-1611-495	495	diviner, fortune-teller	diviner, fortune-teller	devin // devin, diseur		
Gravina-2014-1611-496	496	divorce (v)	divorce (v)	divorcer	3672	DIVORCE (SEPARATE)
Gravina-2014-1611-497	497	dog	dog	chien	2009	DOG
Gravina-2014-1611-498	498	domesticate, tame	domesticate, tame	domestiquer, apprivoiser	3901	TAMING
Gravina-2014-1611-499	499	donkey	donkey	ane // âne	1862	DONKEY
Gravina-2014-1611-500	500	donner		donner	1447	GIVE
Gravina-2014-1611-501	501	door	door	porte // porte; seuil	1567	DOOR
Gravina-2014-1611-502	502	doorway	doorway	entrée, seuil // entrée; porte	1567	DOOR
Gravina-2014-1611-503	503	dove	dove	colombe // tourterelle	1853	DOVE
Gravina-2014-1611-504	504	down	down	en bas	1326	DOWN
Gravina-2014-1611-505	505	drag	drag	tirer // trainer // traîner	2030	DRAG
Gravina-2014-1611-506	506	dragonfly	dragonfly	libellule // libéllule	2352	DRAGONFLY
Gravina-2014-1611-507	507	draw water	draw water	puiser (l'eau) // puiser de l'eau	1911	DRAW (WATER)
Gravina-2014-1611-508	508	dream (n)	dream (n)	rêve	2374	DREAM
Gravina-2014-1611-509	509	dress (v)	dress (v)	s'habiller, se vêtir	814	DRESS UP
Gravina-2014-1611-510	510	drink	drink	boire // boire sans avaler // boire une boisson // boisson // boisson; boisson non-alcoolisée // boisson; non-fermentée	1401	DRINK
Gravina-2014-1611-511	511	drip	drip	dégoutter, égoutter // goutter // tomber // tomber en gouttes // égoutter // égoutter, pleurer un peu	808	DRIP (FALL IN GLOBULES)
Gravina-2014-1611-512	512	drive away	drive away	chasser // chasser ; écarter	30	DISPEL
Gravina-2014-1611-513	513	drizzle	drizzle	pleuvoir en goutelettes // pluie fine, bruine // tomber en petites gouttes	1016	DRIZZLE
Gravina-2014-1611-514	514	drought, famine	drought, famine	sécheresse, famine, disette	199	FAMINE
Gravina-2014-1611-515	515	dry	dry	saison sèche, comme à la // se sécher // sec // secher // sécher	1398	DRY
Gravina-2014-1611-516	516	dry (intr)	dry (intr)	sécher	1786	DRY UP
Gravina-2014-1611-517	517	dry season	dry season	saison sèche // saison_sèche	452	DRY SEASON
Gravina-2014-1611-518	518	dry up, evaporate	dry up, evaporate	tarir, évaporer	1786	DRY UP
Gravina-2014-1611-519	519	duck	duck	canard	1360	DUCK
Gravina-2014-1611-520	520	dung beetle	dung beetle	bousier // espace de scarabée		
Gravina-2014-1611-521	521	dust	dust	poussière // poussière nuageuse // poussière par terre // terre poussiéreuse	2	DUST
Gravina-2014-1611-522	522	dwarf	dwarf	nain		
Gravina-2014-1611-523	523	dwell, inhabit	dwell, inhabit	habiter	363	DWELL (LIVE, RESIDE)
Gravina-2014-1611-524	524	eagle	eagle	aigle	1905	EAGLE
Gravina-2014-1611-525	525	ear	ear	oreille	1247	EAR
Gravina-2014-1611-526	526	earache	earache	mal à l'oreille		
Gravina-2014-1611-527	527	early	early	de_bon_matin // tôt // tôt, de bonne heure	672	EARLY
Gravina-2014-1611-528	528	earring	earring	boucle d'oreille	770	EARRING
Gravina-2014-1611-529	529	earthworm	earthworm	ver de terre	2350	EARTHWORM
Gravina-2014-1611-530	530	earwax	earwax	cérumen	32	EARWAX
Gravina-2014-1611-531	531	east	east	Est // est	1877	EAST
Gravina-2014-1611-532	532	eat	eat	croquer // croquer ; manger la viande ou qqch de dure // mangeant (poudre) // manger // manger (de liquide) // manger la boule sans sauce // manger, ronger, user; manger sans croquer	1336	EAT
Gravina-2014-1611-533	533	eclipse (moon)	eclipse (moon)	éclipse (de lune)	2285	ECLIPSE
Gravina-2014-1611-534	534	edge (n)	edge (n)	bord, marge	863	EDGE
Gravina-2014-1611-535	535	egg	egg	oeuf // œuf	744	EGG
Gravina-2014-1611-536	536	egg-plant	egg-plant	aubergine	1146	AUBERGINE
Gravina-2014-1611-537	537	eggshell	eggshell	coquille d'oeuf // coquille d'œuf	3857	EGGSHELL
Gravina-2014-1611-538	538	eight	eight	huit	1705	EIGHT
Gravina-2014-1611-539	539	eight (8)	eight (8)	huit (8)	1705	EIGHT
Gravina-2014-1611-540	540	eighteen (18)	eighteen (18)	dix-huit (18)	1713	EIGHTEEN
Gravina-2014-1611-541	541	eighty (80)	eighty (80)	quatre-vingts (80)	1722	EIGHTY
Gravina-2014-1611-542	542	elbow	elbow	coude	981	ELBOW
Gravina-2014-1611-543	543	elder	elder	ancien	2112	OLD (AGED)
Gravina-2014-1611-544	544	elder brother	elder brother	frère aîné	1759	OLDER BROTHER
Gravina-2014-1611-545	545	elder sister	elder sister	sœur aînée	1758	OLDER SISTER
Gravina-2014-1611-546	546	elephant	elephant	éléphant	1290	ELEPHANT
Gravina-2014-1611-547	547	elephant's trunk	elephant's trunk	trompe (d'éléphant)	3678	ELEPHANT TRUNK
Gravina-2014-1611-548	548	eleven (11)	eleven (11)	onze (11)	1706	ELEVEN
Gravina-2014-1611-549	549	embers	embers	braise // braises	67	EMBERS
Gravina-2014-1611-550	550	end (n)	end (n)	fin	743	END (OF TIME)
Gravina-2014-1611-551	551	enemy	enemy	enemie // ennemi // rival	1358	ENEMY
Gravina-2014-1611-552	552	enlarge	enlarge	agrandir // élargir		
Gravina-2014-1611-553	553	enough	enough	assez // assez, suffisamment // suffisament // suffisant	1881	ENOUGH
Gravina-2014-1611-554	554	enter, go in	enter, go in	entrer	749	ENTER
Gravina-2014-1611-555	555	entrance hut	entrance hut	case d'entrée		
Gravina-2014-1611-556	556	escape	escape	s'echapper // s’échapper; s'esquiver de // échapper, prendre la clé des champs // échapper, s'évader	1615	ESCAPE
Gravina-2014-1611-557	557	evade	evade	esquiver, éviter	3639	AVOID
Gravina-2014-1611-558	558	even	even	même		
Gravina-2014-1611-559	559	evening	evening	soir	1629	EVENING
Gravina-2014-1611-560	560	evening meal	evening meal	repas du soir	1833	DINNER (SUPPER)
Gravina-2014-1611-561	561	everybody	everybody	tout le monde		
Gravina-2014-1611-562	562	everything	everything	tout, toutes choses	98	ALL
Gravina-2014-1611-563	563	everywhere	 // everywhere	coulant partout // everywhere // n'importe où // partout // un peu partout	2999	EVERYWHERE
Gravina-2014-1611-564	564	evil, badness	evil, badness	mal	45	EVIL
Gravina-2014-1611-565	565	ewe	ewe	brebis	1345	EWE
Gravina-2014-1611-566	566	exchange (of goods)	exchange (of goods)	échange (de marchandises)	370	BARTER
Gravina-2014-1611-567	567	excrement	excrement	excrément // selles	675	FAECES (EXCREMENT)
Gravina-2014-1611-568	568	explain	explain	expliquer	1626	EXPLAIN
Gravina-2014-1611-569	569	eye	eye	oeil // oeil; oeil ; vision // quelque chose qui sorte avec pression // œil	1248	EYE
Gravina-2014-1611-570	570	eyebrow	eyebrow	sourcil // surcil	1173	EYEBROW
Gravina-2014-1611-571	571	eyelash	eyelash	cil	1540	EYELASH
Gravina-2014-1611-572	572	eyelid	eyelid	paupière // sourcil	17	EYELID
Gravina-2014-1611-573	573	face	face	visage	1560	FACE
Gravina-2014-1611-574	574	fade	 // fade	fade // faner // perdre l'éclat, se faner // perdre l`éclat, se faner // se délaver (tissu)	2704	FADE (LOOSE COLOR)
Gravina-2014-1611-575	575	fail	fail	échouer	3861	FAIL
Gravina-2014-1611-576	576	faint	faint	s'évanouir	3616	FAINT (PASS OUT)
Gravina-2014-1611-577	577	fall	fall	tomber	1280	FALL
Gravina-2014-1611-578	578	fall (intr)	fall (intr)	tomber	1280	FALL
Gravina-2014-1611-579	579	family	family	famille // famille (foyer)	194	FAMILY
Gravina-2014-1611-580	580	fan (n)	fan (n)	éventail	1971	FAN (OBJECT)
Gravina-2014-1611-581	581	fan (v)	fan (v)	éventer	360	FAN (ACTION)
Gravina-2014-1611-582	582	far	far	loin // loin, éloigné // éloigné	1406	FAR
Gravina-2014-1611-583	583	farmer	farmer	cultivateur	979	FARMER
Gravina-2014-1611-584	584	fasten, bind (load)	fasten, bind (load)	attacher, lier (un fardeau)	1094	FASTEN
Gravina-2014-1611-585	585	fat	fat	ganglion // graisse // gras // gras ; gros // gros	323	FAT (ORGANIC SUBSTANCE)
Gravina-2014-1611-586	586	father	father	papa // père	1217	FATHER
Gravina-2014-1611-587	587	father's sister (aunt)	father's sister (aunt)	tante paternelle	2691	PATERNAL AUNT (FATHER'S SISTER)
Gravina-2014-1611-588	588	father-in-law	father-in-law	beau-père	1055	FATHER-IN-LAW
Gravina-2014-1611-589	589	fear	fear	avoir peur // craindre // crainte // peur	1419	FEAR (BE AFRAID)
Gravina-2014-1611-590	590	fear (n)	fear (n)	craindre // crainte	781	FEAR (FRIGHT)
Gravina-2014-1611-591	591	feast	feast	festin // fête	131	FESTIVAL
Gravina-2014-1611-592	592	feather	feather	plume	1201	FEATHER
Gravina-2014-1611-593	593	feel (active)	feel (active)	palper, tâter	2559	FEEL (TACTUALLY)
Gravina-2014-1611-594	594	feel (passive)	feel (passive)	sentir	1079	FEEL
Gravina-2014-1611-595	595	fellow-wife	fellow-wife	co-épouse	3636	CO-WIFE
Gravina-2014-1611-596	596	female (sex)	female (sex)	femelle // femelle (sexe)	1551	FEMALE
Gravina-2014-1611-597	597	fence (n)	fence (n)	clôture	1690	FENCE
Gravina-2014-1611-598	598	fence in (v)	fence in (v)	clôturer		
Gravina-2014-1611-599	599	ferment (alcohol) (v)	ferment (alcohol) (v)	fermenter	3652	FERMENT
Gravina-2014-1611-600	600	fertile soil	fertile soil	sol fertile		
Gravina-2014-1611-601	601	fetch (firewood)	fetch (firewood)	chercher des fagot // chercher des fagot**** // chercher des fagots		
Gravina-2014-1611-602	602	fetish priest	fetish priest	féticheur	394	SHAMAN (FOLK HEALER)
Gravina-2014-1611-603	603	fetus	fetus	fœtus		
Gravina-2014-1611-604	604	few	few	peu // peu (de) // peu; en petite quantité	1242	FEW
Gravina-2014-1611-605	605	field	field	champ // champ, petit	212	FIELD
Gravina-2014-1611-606	606	fields	fields	champs		
Gravina-2014-1611-607	607	fifteen (15)	fifteen (15)	quinze (15)	1709	FIFTEEN
Gravina-2014-1611-608	608	fifty (50)	fifty (50)	cinquante (50)	1717	FIFTY
Gravina-2014-1611-609	609	fig tree	fig tree	arbre_figuier // figuier		
Gravina-2014-1611-610	610	fight	fight	combattre // lutter // se battre, combattre	1423	FIGHT
Gravina-2014-1611-611	611	fill	fill	remplir // se rassasier; remplir	2006	FILL
Gravina-2014-1611-612	612	find	find	trouver	719	FIND
Gravina-2014-1611-613	613	finger	finger	doigt	1303	FINGER
Gravina-2014-1611-614	614	fingernail	fingernail	ongle	1258	FINGERNAIL
Gravina-2014-1611-615	615	finish	finish	achever // finir // finir, accomplir // terminer; finir	1766	FINISH
Gravina-2014-1611-616	616	finish (v)	finish (v)	finir	1766	FINISH
Gravina-2014-1611-617	617	fire	fire	feu // feu; courant électrique // incendie	221	FIRE
Gravina-2014-1611-618	618	fireplace	fireplace	foyer	185	FIREPLACE
Gravina-2014-1611-619	619	firewood	firewood	bois  brûler // bois de chauffage // bois à brûler // bois   brûler	10	FIREWOOD
Gravina-2014-1611-620	620	first	first	avant // d'abord // d’abord // premier	728	FIRST
Gravina-2014-1611-621	621	firstborn	firstborn	aîné // premier né // premier-né // premier_né		
