ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	WORD_TYPE	SUBJECTIVE_FREQ_MEAN	NUMBER_LETTERS	FREQ_LOG_LEXESP	FAMILIARITY_LEXESP
Desrochers-2010-330-306	306	pisar	step on	TREAD	575	Verb	6.17647058823529	5	41	6.63
Desrochers-2010-330-307	307	portar	retrieve			Verb	3.30392156862745	6	7	
Desrochers-2010-330-308	308	posar	pose			Verb	4.77450980392157	5	13	
Desrochers-2010-330-309	309	pulir	polish	POLISH (SOMETHING)	3659	Verb	3.90196078431373	5	5	
Desrochers-2010-330-310	310	quebrantar	violate			Verb	3.52941176470588	10	7	
Desrochers-2010-330-311	311	quitar	remove			Verb	6.26470588235294	6	76	5.28
Desrochers-2010-330-312	312	rajar	crack	SPLIT OPEN	3080	Verb	4.80392156862745	5	1	
Desrochers-2010-330-313	313	rascar	scratch	SCRATCH	1436	Verb	5.53921568627451	6	9	
Desrochers-2010-330-314	314	romper	break	BREAK (DESTROY OR GET DESTROYED)	680	Verb	6.26470588235294	6	199	6.39
Desrochers-2010-330-315	315	sacar	take out	TAKE OUT	3654	Verb	6.32352941176471	5	325	6.44
Desrochers-2010-330-316	316	salvar	save	RESCUE	2008	Verb	5.81372549019608	6	148	5.57
Desrochers-2010-330-317	317	seducir	seduce			Verb	5.45098039215686	7	28	
Desrochers-2010-330-318	318	sitiar	site			Verb	3.07843137254902	6		
Desrochers-2010-330-319	319	surcar	plough	PLOUGH	1921	Verb	3.31372549019608	6	4	
Desrochers-2010-330-320	320	tamizar	sieve	SIEVE	86	Verb	2.40196078431373	7	2	
Desrochers-2010-330-321	321	tirar	throw away	THROW AWAY	3696	Verb	6.32352941176471	5	93	6.64
Desrochers-2010-330-322	322	tocar	touch	TOUCH	1892	Verb	6.5	5	188	5.56
Desrochers-2010-330-323	323	trabar	lock			Verb	3.5	6	4	
Desrochers-2010-330-324	324	tragar	swallow	SWALLOW	897	Verb	5.88235294117647	6	39	4.91
Desrochers-2010-330-325	325	trotar	jogging			Verb	4.1078431372549	6	6	
Desrochers-2010-330-326	326	urdir	plotting			Verb	2.46078431372549	5	16	
Desrochers-2010-330-327	327	virar	turn	TURN	1588	Verb	2.7156862745098	5		
Desrochers-2010-330-328	328	zampar	tuck away			Verb	4.83333333333333	6	2	
Desrochers-2010-330-329	329	zanjar	settle			Verb	4.04901960784314	6	11	
Desrochers-2010-330-330	330	zurcir	darning			Verb	3.29411764705882	6	2	
