ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	JAPANESE	JAPANESE_ROMANIZED	NAME_AGREEMENT	AoA_JAPANESE	FAMILIARITY	MORA
Nishimoto-2005-359-253	253	Hammock	2019	HAMMOCK	ハンモック	HANMOKKU	87.5	5.9	2.7	5
Nishimoto-2005-359-254	254	Peanut	595	GROUNDNUT (PEANUT)	ピーナッツ	PÎNATTSU	65.0	4.2	5.2	5
Nishimoto-2005-359-255	255	Beaver	1194	BEAVER	ビーバー	BÎBÂ	7.5	6.0	2.2	4
Nishimoto-2005-359-256	256	Pepper	1385	PEPPER	ピーマン	PÎMAN	72.5	2.6	5.8	4
Nishimoto-2005-359-257	257	Clown	4020	CLOWN	ピエロ	PIERO	97.5	4.6	3.8	3
Nishimoto-2005-359-258	258	Airplane	1597	AIRPLANE	ヒコウキ	HIKOUKI	97.5	3.3	4.2	4
Nishimoto-2005-359-259	259	Gun	1566	GUN	ピストル	PISUTORU	75.0	4.5	2.7	4
Nishimoto-2005-359-260	260	Sheep	1331	SHEEP	ヒツジ	HITSUJI	72.5	3.7	4.6	3
Nishimoto-2005-359-261	261	Finger	1303	FINGER	ヒトサシユビ	HITOSASHI-YUBI	97.5	4.2	6.3	6
Nishimoto-2005-359-262	262	Sunflower	1956	SUNFLOWER	ヒマワリ	HIMAWARI	100.0	3.1	5.1	4
Nishimoto-2005-359-263	263	Leopard	1139	LEOPARD	ヒョウ	HYOU	60.0	4.4	4.1	2
Nishimoto-2005-359-264	264	Pyramid	2600	PYRAMID	ピラミッド	PIRAMIDDO	100.0	5.9	3.1	5
Nishimoto-2005-359-265	265	Bottle	1321	BOTTLE	ビン	BIN	85.0	3.4	5.1	2
Nishimoto-2005-359-266	266	Windmill	3841	WINDMILL	フウシャ	FUUSHA	90.0	5.6	3.7	3
Nishimoto-2005-359-267	267	Balloon	3083	BALLOON	フウセン	FUUSEN	95.0	2.7	4.2	4
Nishimoto-2005-359-268	268	Boot	585	BOOT	ブーツ	BÛTSU	52.5	6.4	5.3	3
Nishimoto-2005-359-269	269	Envelope	3088	ENVELOPE	フウトウ	FUUTOU	42.5	4.6	5.9	4
Nishimoto-2005-359-270	270	Swimming pool			プール	PÛRU	100.0	3.2	4.5	3
Nishimoto-2005-359-271	271	Whistle	3107	WHISTLE (INSTRUMENT)	フエ	FUE	95.0	3.5	4.1	2
Nishimoto-2005-359-272	272	Fork	1302	FORK	フォーク	FÔKU	97.5	3.1	6.5	3
Nishimoto-2005-359-273	273	Owl	735	OWL	フクロウ	FUKUROU	97.5	4.4	3.0	4
Nishimoto-2005-359-274	274	Pig	1337	PIG	ブタ	BUTA	90.0	2.5	4.3	2
Nishimoto-2005-359-275	275	Paintbrush	3094	PAINTBRUSH	フデ	FUDE	77.5	4.5	4.8	2
Nishimoto-2005-359-276	276	Grapes	920	GRAPE	ブドウ	BUDOU	97.5	2.9	4.8	3
Nishimoto-2005-359-277	277	Frying pan	31	PAN	フライパン	FURAIPAN	92.5	3.6	6.0	5
Nishimoto-2005-359-278	278	Blouse	4018	BLOUSE	ブラウス	BURAUSU	32.5	5.4	6.3	4
Nishimoto-2005-359-279	279	Brush	1821	BRUSH	ブラシ	BURASHI	92.5	4.1	4.8	3
Nishimoto-2005-359-280	280	Swing	3101	SWING	ブランコ	BURANKO	92.5	2.1	5.2	4
Nishimoto-2005-359-281	281	Flute	777	FLUTE	フルート	FURÛTO	70.0	6.4	5.7	4
Nishimoto-2005-359-282	282	Record player	4004	RECORD PLAYER	プレーヤー	PURÊYÂ	27.5	5.8	5.0	5
Nishimoto-2005-359-283	283	Block	2762	BLOCK (THE WAY)	ブロック	BUROKKU	60.0	4.7	4.1	4
Nishimoto-2005-359-284	284	Vest	3140	VEST	ベスト	BESUTO	57.5	5.8	4.5	3
Nishimoto-2005-359-285	285	Bed	1663	BED	ベッド	BEDDO	97.5	4.0	5.6	3
Nishimoto-2005-359-286	286	Snake	730	SNAKE	ヘビ	HEBI	100.0	3.0	3.7	2
Nishimoto-2005-359-287	287	Pelican	472	PELICAN	ペリカン	PERIKAN	75.0	5.0	3.7	4
Nishimoto-2005-359-288	288	Helicopter	2580	HELICOPTER	ヘリコプター	HERIKOPUTÂ	97.5	4.1	3.0	6
Nishimoto-2005-359-289	289	Bell	2246	BELL	ベル	BERU	50.0	4.2	3.8	2
Nishimoto-2005-359-290	290	Belt	772	BELT	ベルト	BERUTO	92.5	5.0	6.2	3
Nishimoto-2005-359-291	291	Football helmet	1680	HELMET	ヘルメット	HERUMETTO	57.5	5.3	3.9	5
Nishimoto-2005-359-292	292	Motorcycle helmet			ヘルメット	HERUMETTO	95.0	5.4	3.5	5
Nishimoto-2005-359-293	293	Penguin	2831	PENGUIN	ペンギン	PENGIN	92.5	3.5	4.5	4
Nishimoto-2005-359-294	294	Bench	2584	BENCH	ベンチ	BENCHI	75.0	4.5	4.9	3
Nishimoto-2005-359-295	295	Pliers	4003	PLIERS	ペンチ	PENCHI	82.5	5.8	3.6	3
Nishimoto-2005-359-296	296	Broom	245	BROOM	ホウキ	HOUKI	95.0	4.0	5.4	3
Nishimoto-2005-359-297	297	Cap	1288	CAP	ボウシ	BOUSHI	95.0	2.7	5.1	3
Nishimoto-2005-359-298	298	Hat	771	HAT	ボウシ	BOUSHI	92.5	2.3	5.5	3
Nishimoto-2005-359-299	299	Kitchen knife	2772	KITCHEN KNIFE	ホウチョウ	HOUCHOU	90.0	4.0	6.3	4
Nishimoto-2005-359-300	300	Bowl	1530	BOWL	ボール	BÔRU	27.5	5.2	4.9	3
Nishimoto-2005-359-301	301	Pen	794	PEN	ボールペン	BÔRU-PEN	90.0	4.8	6.5	5
Nishimoto-2005-359-302	302	Star	1430	STAR	ホシ	HOSHI	95.0	3.0	6.2	2
Nishimoto-2005-359-303	303	Button	757	BUTTON	ボタン	BOTAN	97.5	3.1	5.6	3
Nishimoto-2005-359-304	304	Bone	1394	BONE	ホネ	HONE	100.0	3.9	3.6	2
Nishimoto-2005-359-305	305	Garbage can	4036	GARBAGE CAN	ポリバケツ	PORI-BAKETSU	72.5	5.4	4.4	5
Nishimoto-2005-359-306	306	French horn	939	HORN (INSTRUMENT)	ホルン	HORUN	37.5	7.4	2.6	3
Nishimoto-2005-359-307	307	Book	963	BOOK	ホン	HON	87.5	2.1	6.3	2
Nishimoto-2005-359-308	308	Bookshelf			ホンダナ	HON-DANA	87.5	4.5	5.9	4
Nishimoto-2005-359-309	309	Japanese pine			マツ	MATSU	85.0	5.0	4.0	2
Nishimoto-2005-359-310	310	Window	1375	WINDOW	マド	MADO	90.0	2.3	6.3	2
Nishimoto-2005-359-311	311	Eyebrow	1173	EYEBROW	マユゲ	MAYU-GE	57.5	3.7	6.6	3
Nishimoto-2005-359-312	312	Fountain pen			マンネンヒツ	MANNENHITSU	57.5	6.7	3.4	6
Nishimoto-2005-359-313	313	Moon	1313	MOON	ミカヅキ	MIKA-DUKI	97.5	5.1	5.3	4
Nishimoto-2005-359-314	314	Orange	2627	ORANGE (FRUIT)	ミカン	MIKAN	62.5	2.8	6.5	3
Nishimoto-2005-359-315	315	Sewing machine	3097	SEWING MACHINE	ミシン	MISHIN	100.0	4.9	3.9	3
Nishimoto-2005-359-316	316	Pitcher	270	JUG	ミズサシ	MIZUSASHI	10.0	7.2	3.2	4
Nishimoto-2005-359-317	317	Ear	1247	EAR	ミミ	MIMI	97.5	2.5	6.8	2
Nishimoto-2005-359-318	318	Eye	1248	EYE	メ	ME	97.5	2.5	6.5	1
Nishimoto-2005-359-319	319	Glasses	1898	SPECTACLES	メガネ	MEGANE	95.0	3.0	5.9	3
Nishimoto-2005-359-320	320	Melon	507	MELON	メロン	MERON	97.5	3.3	6.0	3
Nishimoto-2005-359-321	321	Rolling pin	4002	ROLLING PIN	メンボウ	MENBOU	22.5	6.6	3.7	4
Nishimoto-2005-359-322	322	Ruler	3405	RULER	モノサシ	MONOSASHI	15.0	4.8	5.4	4
Nishimoto-2005-359-323	323	Monorail			モノレール	MONORÊRU	40.0	5.3	4.6	5
Nishimoto-2005-359-324	324	Peach	2043	PEACH	モモ	MOMO	60.0	3.2	5.0	2
Nishimoto-2005-359-325	325	Kettle	854	KETTLE	ヤカン	YAKAN	100.0	3.5	5.8	3
Nishimoto-2005-359-326	326	Goat	1502	GOAT	ヤギ	YAGI	90.0	3.6	4.2	2
Nishimoto-2005-359-327	327	Arrow	977	ARROW	ヤジルシ	YAJIRUSHI	97.5	4.7	5.0	4
Nishimoto-2005-359-328	328	Nail file			ヤスリ	YASURI	45.0	6.7	3.3	3
Nishimoto-2005-359-329	329	Mountain	639	MOUNTAIN	ヤマ	YAMA	90.0	2.8	6.3	2
Nishimoto-2005-359-330	330	Mail box			ユウビンウケ	YUUBIN-UKE	12.5	5.1	5.2	6
Nishimoto-2005-359-331	331	Snowman	3098	SNOWMAN	ユキダルマ	YUKI-DARUMA	97.5	2.7	4.9	5
Nishimoto-2005-359-332	332	Thimble			ユビヌキ	YUBINUKI	17.5	6.9	3.3	4
Nishimoto-2005-359-333	333	Ring	1374	RING	ユビワ	YUBIWA	90.0	4.0	4.3	3
Nishimoto-2005-359-334	334	Lily			ユリ	YURI	80.0	5.2	4.5	2
Nishimoto-2005-359-335	335	Pear	922	PEAR	ヨウナシ	YOU-NASHI	87.5	5.5	5.0	4
Nishimoto-2005-359-336	336	Yo-yo			ヨーヨー	YÔYÔ	80.0	4.0	3.4	4
Nishimoto-2005-359-337	337	Sailboat	4026	SAILBOAT	ヨット	YOTTO	85.0	4.1	2.9	3
Nishimoto-2005-359-338	338	Yacht			ヨット	YOTTO	97.5	4.3	3.8	3
Nishimoto-2005-359-339	339	Lion	1386	LION	ライオン	RAION	100.0	3.1	3.2	4
Nishimoto-2005-359-340	340	Camel	1871	CAMEL	ラクダ	RAKUDA	97.5	4.1	2.9	3
Nishimoto-2005-359-341	341	Football	1845	BALL	ラグビーボール	RAGUBÎ BÔRU	90.0	6.7	3.3	7
Nishimoto-2005-359-342	342	Tennis racket	3096	RACKET	ラケット	RAKETTO	90.0	5.4	4.3	4
Nishimoto-2005-359-343	343	Radio	1315	RADIO	ラジオ	RAJIO	95.0	4.9	4.9	3
Nishimoto-2005-359-344	344	Squirrel	1628	SQUIRREL	リス	RISU	92.5	3.3	5.7	2
Nishimoto-2005-359-345	345	Squirrel	1628	SQUIRREL	リス	RISU	50.0	3.3	3.1	2
Nishimoto-2005-359-346	346	Bow	994	BOW	リボン	RIBON	95.0	2.6	5.0	3
Nishimoto-2005-359-347	347	Apple	1320	APPLE	リンゴ	RINGO	95.0	2.5	6.4	3
Nishimoto-2005-359-348	348	Refrigerator	3952	REFRIGERATOR	レイゾウコ	REIZOUKO	92.5	3.3	6.4	5
Nishimoto-2005-359-349	349	Lemon	3091	LEMON	レモン	REMON	97.5	3.1	5.7	3
Nishimoto-2005-359-350	350	Candle	1273	CANDLE	ロウソク	ROUSOKU	100.0	4.0	4.8	4
Nishimoto-2005-359-351	351	Aerial cableway			ロープウェイ	RÔPUUEI	45.0	5.9	3.0	5
Nishimoto-2005-359-352	352	Roller skate			ローラースケート	RÔRÂ-SUKÊTO	55.0	5.1	3.4	8
Nishimoto-2005-359-353	353	Rocket			ロケット	ROKETTO	90.0	4.2	3.5	4
Nishimoto-2005-359-354	354	Rocking chair	3999	ROCKING CHAIR	ロッキングチェアー	ROKKINGU CHIEÂ	20.0	7.2	2.0	8
Nishimoto-2005-359-355	355	Donkey	1862	DONKEY	ロバ	ROBA	37.5	4.0	2.9	2
Nishimoto-2005-359-356	356	Shirt	1622	SHIRT	ワイシャツ	WAI-SHATSU	72.5	5.7	5.9	4
Nishimoto-2005-359-357	357	Eagle	1905	EAGLE	ワシ	WASHI	70.0	4.7	2.7	2
Nishimoto-2005-359-358	358	Eagle	1905	EAGLE	ワシ	WASHI	32.5	5.3	2.7	2
Nishimoto-2005-359-359	359	Alligator	1581	ALLIGATOR	ワニ	WANI	97.5	3.5	4.1	2
