ID	NUMBER	ENGLISH	RUSSIAN	ENGLISH_CONTEXT	RUSSIAN_CONTEXT	ENGLISH_DESCRIPTION	RUSSIAN_DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kassian-2010-116-89	87	this	этот	1. I am well acquainted with this tale, but do not remember that one.<br>2. I know this man, but I do not know that one.	1. Я хорошо знаю это предание/сказ-ку и совсем плохо помню то предание/сказку.<br>2. Я знаком с этим человеком и не знаком с тем.	See No.86 ‘that’.	См. №86 ‘тот’.	1214	THIS
Kassian-2010-116-90	88	tongue	язык	1. He showed him his tongue.<br>2. He bit his tongue while falling, and now it hurts.	1. Он показал ему язык.<br>2. Когда он упал, он прикусил язык. Ему больно.		Часть тела, не ‘речь’.	1205	TONGUE
Kassian-2010-116-91	89	tooth	зуб	1. The grown-up person has a lot of teeth, the newborn baby has no teeth.<br>2. Old men usually have few teeth left.<br>3. You can break a tooth while eating hard food.	1. У взрослого человека много зубов, а у новорожденных зубов нету.<br>2. У стариков обычно остается мало зубов.<br>3. О твердую пищу можно сломать зуб.	Generic term; to be strictly separated from specific kinds of teeth (molars, cuspids, wis-dom teeth etc.). If no single term can be determined (e.g., in Basque, which lexically separates ‘back tooth, molar’ from ‘front tooth, incisor’ and uses the compound of both to denote ‘teeth’ in general), two roots can be taken as synonyms.	Общий термин; строго отличать от наименований конкретных групп зубов (клыки, коренные зубы, зубы мудрости и т. п.). Если общий термин неопределим (ср. ситуацию в баскском, где ‘задний (коренной) зуб’ лексически противопоставлен ‘переднему зубу, резцу’, а для выражения идеи ‘зубов’ вообще используется композит из этих двух корней), разрешается брать два синонима.	1380	TOOTH
Kassian-2010-116-92	90	tree	дерево	1. All trees have roots.<br>2. The tree has a thick trunk, the bush has a thin one.<br>3. There is a tall tree growing over there.<br>4. He cut down the tree.	1. Все деревья имеют корни.<br>2. У дерева толстый ствол, а у кустарника тонкий.<br>3. Вон растет высокое дерево.<br>4. Он срубил дерево.	Not to be confused with designations of particular tree species, as well as the collective ‘forest’ or ‘wood (material)’.	Не путать с наименованиями конкретных видов деревьев; отличать также от собирательного ‘лес’ и ‘дерево как материала (= древесина)’.	906	TREE
Kassian-2010-116-93	91	two	два	1. There are two leaves on the ground, but many leaves on the tree.<br>2. Here is one stone, here are two stones, here are three stones.	1. На земле лежат два листа, а на дереве висит много листьев.<br>2. Вот один камень, вот два камня, вот три камня.	Cardinal numeral. It is recommendable to keep this apart from the respective element of the numeric row one, two, three, four… used in counting. Same contexts as in No.65 ‘one’.	Количественное числительное. Желательно отличать от соответствующего элемента при счете один (раз), два, три, четыре… Контексты те же, что и при №65 ‘один’.	1498	TWO
Kassian-2010-116-94	92	warm	теплый	1. The water is warm, not too hot and not too cold.<br>2. The stone is warm under the sun.<br>3. A warm wind is blowing.	1. Эта вода не горячая и не холодная, она теплая.<br>2. Теплый на солнце камень.<br>3. Дует теплый ветер.	‘Warm’ can be understood as ‘having a temperature slightly above the norm’, with a generally positive connotation. This is a dubious and often hard to elicit item on the Swadesh list; while it should be strictly distinguished from ‘hot’, it may be useful to add ‘hot’ as a synonym (92b?) or, in the future, even to replace ‘warm’ with ‘hot’ com-pletely.	‘Теплый’ следует понимать как ‘температура слегка выше нормы’, с позитивными коннотациями. Несколько сомнительный элемент списка, для которого не всегда удается подобрать адекватный эквивалент; следует строго отличать от ‘горячего’, но, возможно, имеет смысл добавить и ‘горячий’ в качестве синонима (92b?), а в будущем — вообще заменить ‘теплый’ на ‘горячий’.	1232	WARM
Kassian-2010-116-95	93	water	вода	1. People cannot live without water.<br>2. He is drinking water.<br>3. She dipped some water in her jug.	1. Человек не может жить без воды.<br>2. Он пьет воду.<br>3. Она набрала в сосуд воды.	Sweet water, good for drinking. Should be kept apart from more specialized terms: ‘salt water’ (= ‘sea (water)’), ‘foul water’, ‘running / flowing water’ (= ‘stream’, ‘river’), etc.	Пресная вода, пригодная для питья. Отличать от специализированных терминов: ‘морская вода’, ‘загнившая вода’, ‘текущая вода’ (= струя, родник, ручей) и т. п.	948	WATER
Kassian-2010-116-96	94a	we (incl.)	мы (incl.)	1. We are friends (with you), but he is not our friend.	1. Мы (с тобой) друзья, а он — не наш друг.	Stylistically neutral 1st pl. person; various honorific forms must be excluded. Dual forms, if different, should not be taken into account (for simplicity reasons, since special dual stems for non-singular pronouns are not very widespread). Direct stem.	Стилистически нейтральное личное местоимение 1 л. мн. ч. Различные формы вежливости должны быть исключены. Формы двойственного числа, если таковые существуют, не учитываются в целях экономии (специальные двойственные основы местоимений в языках мира встречаются не очень часто). Прямая основа.	1131	WE (INCLUSIVE)
Kassian-2010-116-97	94b	we (incl.)	мы (incl.)			Indirect stem of the same pronoun (for languages which distinguish between the two on a paradigmatic level)	Это же, но косвенная основа (для языков, которые имеют соответствующее различие на парадигматическом уровне).	1131	WE (INCLUSIVE)
Kassian-2010-116-98	94c–d	we (excl.)				If the languages in question make a systematic differentiation between exclusive and inclusive forms, both should be taken into account as synonyms. Direct and indirect stems.	Если языки систематически проводят различие между эксклюзивом и инклюзивом, к сравнению в качестве синонимов привлекаются обе формы. Прямая и косвенная основы.	1130	WE (EXCLUSIVE)
Kassian-2010-116-99	95	what	что	1. Who came and what did he bring?<br>2. What are you making out of this piece of wood?	1. Кто пришел и что он принес?<br>2. Что ты изготавливаешь из этой деревяшки?	Interrogative (not relative) pronoun, referring to an inanimate object; syntactically should be able to occupy the position of direct object.	Вопросительное (не относительное) местоимение, относящееся к неодушевленному объекту; в синтаксическом отношении должно встречаться в позиции прямого дополнения.	1236	WHAT
Kassian-2010-116-100	96	white	белый	[As on the RGB 255:255:255 card. The natural color of snow, paper, babies’ teeth etc.]	[Карточка RGB 255:255:255. Естественный цвет снега, бумаги, зубов у маленьких детей и т. п.].			1335	WHITE
Kassian-2010-116-101	97	who	кто	1. Who came and what did he bring?<br>2. Who killed this dog?	1. Кто пришел и что он принес?<br>2. Кто убил эту собаку?	Interrogative (not relative) pronoun, referring to an animate subject/object.	Вопросительное (не относительное) местоимение, относящееся к одушевленному субъекту/объекту.	1235	WHO
Kassian-2010-116-102	98	woman	женщина	1. Men are doing [X], women are mak-ing [Y].<br>2. Women bear children, men do not.	1. Мужчины делают [X], а женщины делают [Y]<br>2. Женщины рожают детей, а мужчины — нет.	Adult human being of the female sex, antonymous to ‘man’. Should be kept apart from ‘female’ (of any species) if the latter is distinct from ‘woman’ (female human). Context No. 1 is culturally conditioned, in that X and Y should be understood as designations of typical male / female occupations for the given society (e.g., ‘hunting’, ‘cooking’, etc.). If, instead of a general term for ‘woman’, one finds differentiation by age groups, the respective lexemes for the age of ca. 20–45 must be treated as synonymous. If, instead of a general term for ‘woman’, there is an opposition by marital status (‘unmarried’ ~ ‘married’ ~ ‘widowed’), it is advisable to use the word for ‘married woman’ as the most prototypical concept. Contexts are the same as in No.51 ‘man (male)’.	Взрослый человек женского пола. Отличать от понятия ‘самка’ (‘female’), если для последнего существует отдельное слово. Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘женщины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Если в языке нет общего слова ‘женщина’, а имеется противопоставление по семейному положению (незамужняя ~ замужняя ~ овдовевшая), рекомендуется выбирать слово ‘замужняя женщина’ как наиболее прототипическое понятие Те же контексты, что и для №51 ‘мужчина’.	962	WOMAN
Kassian-2010-116-103	99	yellow	желтый	[As on the RGB 255:255:0 card and similar ones. The natural color of egg yolk.]	[Естественный цвет желтка в яйце. Карточка RGB 255:255:0 и несколько оттенков.]			1424	YELLOW
Kassian-2010-116-104	100a	you (thou)	ты			Stylistically neutral 2nd sg. person; various honorific forms must be excluded. Direct stem.	Стилистически нейтральное личное местоимение 2 л. ед. ч. Различные формы вежливости должны быть исключены. Прямая основа.	1215	THOU
Kassian-2010-116-105	100b	you (thou)	тебя			Indirect stem of the same pronoun (for languages which distinguish between the two on a paradigmatic level).	Это же, но косвенная основа (для языков, которые имеют соответствующее различие на парадигматическом уровне).	2304	THEE (OBLIQUE CASE OF YOU)
Kassian-2010-116-106	101	far +	далеко +	1. That tree is far away, I cannot see it; this one is quite near, I can see it clearly.	1. Это дерево далеко, я его плохо вижу, а это дерево близко, я его хорошо вижу.	For languages which distinguish between adjectives and adverbs, adverbial use of the word is preferred. Cf. No.103 ‘near’.	Имеется в виду именно адвербиальное употребления, а не адъективное (для языков, различающих эти части речи). Ср. №103 ‘близко’.	1406	FAR
Kassian-2010-116-107	102	heavy +	тяжелый +	1. He is carrying a heavy load, but my load is light.<br>2. This stone is too heavy.	1. Он несет тяжелый груз, а у меня легкий груз.<br>2. Этот камень слишком тяжелый.	Said of an object with a large mass.	О предмете, обладающем большим весом.	1210	HEAVY
Kassian-2010-116-108	103	near +	близко +	1. That tree is far away, I cannot see it; this one is quite near, I can see it clearly.	1. Это дерево далеко, я его плохо вижу, а это дерево близко, я его хорошо вижу.	For languages which distinguish between adjectives and adverbs, adverbial use of the word is preferred. Cf. No.101 ‘far’.	Имеется в виду именно адвербиальное употребления, а не адъективное (для языков, различающих эти части речи). Ср. №101 ‘далеко’.	1942	NEAR
Kassian-2010-116-109	104	salt +	соль +	1. People have to eat salt.<br>2. This kid wants some salt.<br>3. Here is some white salt.	1. Людям нужно есть соль.<br>2. Этот ребенок хочет соли.<br>3. Вот белая соль.	Salt as natural product. Should be distinguished from specific designation of ‘packaged salt’, bought in stores; also from ‘saltlick’, ‘saltpan’, etc.	Натуральный продукт. Следует отличать от покупной соли, а также от названий мест, содержащих соль (‘соляное озеро’, ‘лизунец’ и т. п.).	1274	SALT
Kassian-2010-116-110	105	short +	короткий +	1. Here is a long stick, here is a short one.<br>2. This rope is long, I need a short one.	1. Вот длинная палка, а вот короткая.<br>2. Эта веревка длинная, мне нужна короткая.	Of physical objects. Not to be confused with ‘low’, ‘short (of stature)’ (vertical, not hori-zontal) in languages that distinguish between the two. Antonymous to No.49 ‘long’.	О физических объектах. Не смешивать с ‘низкий’ (вертикальное положение) в тех языках, которые различают эти два слова. Антоним — №49 ‘длинный’.	1645	SHORT
Kassian-2010-116-111	106	snake +	змея +	1. A snake has eyes, a worm has no eyes.<br>2. Birds fly in the sky, snakes crawl on the ground.<br>3. The snake is basking in the sun.	1. У змеи есть глаза, а у червя нету.<br>2. Птицы летают в небе, а змеи ползают по земле.<br>3. Змея греется на солнце.	Generic term for ‘snake’ or ‘small snake’ (see context 2). Should be kept apart from No.109 ‘worm’ (context 1).	Общий термин для ‘змеи’ или ‘маленькой змеи’ (см. контекст 2). Следует отличать от №109 ‘червь’ (см. контекст 1).	730	SNAKE
Kassian-2010-116-112	107a	thin (2D) +	тонкий +	1. This is a thin skin.<br>2. This is a thin leaf.	1. Вот тонкая шкура.<br>2. Вот тонкий лист.	2D thin, i. e. of flat objects.	2D тонкий, т. е. о плоских объектах.	2305	THIN (OF HAIR AND THREAD)
Kassian-2010-116-113	107b	thin (1D) +	тонкий +	1. This is a thin rope/sinew.<br>2. This is a thin branch.	1. Вот тонкая веревка/жила.<br>2. Вот тонкая ветка.	1D thin, i. e. of elongated objects.	1D тонкий, т. е. о вытянутых объектах.	2306	THIN (OF LEAF AND CLOTH)
Kassian-2010-116-114	108	wind +	ветер +	1. Clouds are driven by the wind.<br>2. He wet his finger to learn from where the wind was blowing.<br>3. What (kind of) wind blows in sum-mer/winter?	1. Облака гонит ветер.<br>2. Он намочил палец, чтобы узнать, откуда ветер.<br>3. Какой ветер обычно бывает летом/зимой?	Generic term for ‘wind’ as movement of air; should be separated from more narrow designations of particular winds (characterized, e.g., by a certain direction or a certain level of intensity), as well as special adverbial forms such as ‘alee’, etc.	Общий термин: ‘ветер’ как движение воздуха. Следует отличать от конкретных наименований ветров (различающихся, напр., по сторонам света или по степени силы). Также отличать от наречий ‘с подветренной стороны’ и ‘с заветренной стороны’.	960	WIND
Kassian-2010-116-115	109	worm +	червь +	1. A snake has eyes, a worm has no eyes.<br>2. A worm has crawled out of the ground over there.	1. У змеи есть глаза, а у червя нету.<br>2. Вон червь выполз из земли.	Earthworm. Not to be confused with No.106 ‘snake’ or with ‘intestinal worm’ (e.g., ‘tapeworm’) and ‘larvae’ (incl. ‘caterpillars’).	Земляной червь. Отличать от №106 ‘змея’, а также от ‘глиста’ и ‘личинок’ (вкл. ‘гусениц’).	1219	WORM
Kassian-2010-116-116	110	year +	год +	1. The first month of the year is called [X].<br>2. How many months are there in a year?	1. Первый месяц в году называется [X].<br>2. Сколько месяцев в году?	Should be distinguished from adverbial forms (‘annually’, ‘all the year round’, etc.); from specific nominal or adverbial designations of particular time periods (‘this year’, ‘past year’, etc.); from special terms for half-years or seasons; from ‘year’ as an age marker (‘he is five years old’, etc.). If the language has no common term for ‘year’ whatsoever, the slot should remain empty.	Отличать от наречных образований ‘ежегодно’, ‘круглогодично’ и т. п.; от именных/наречных обозначений конкретных временных отрезков (‘этот год’, ‘прошлый год’ и т. п.); от названий отдельных полугодий; от года как единицы возраста (‘ему пять лет’ и т. п.). Если общий термин ‘год’ в языке отсутствует, строка не заполняется.	1226	YEAR
