ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_DEFINITION	EXAMPLE_CONTEXT	DESCRIPTION_MD
Heggarty-2019-170-57	73	heart	1223	HEART	A muscular organ that pumps blood through the body.	His heart was beating fast.	#### Illustrative Context\n_Your **heart** beats fast when you are in love._\n\n#### Target Sense\nMost generic term for the muscular organ of human beings that pumps blood around the body. Avoid specifically medical terminology, where different. Avoid metaphorical extensions, e.g. for life or courage. Heart exclusive of the general complex including liver, kidneys, etc.\n\n#### justification:
Heggarty-2019-170-58	74	heavy	1210	HEAVY	Of a physical object, having great weight.	The rock was very heavy.	#### Illustrative Context\n_The rock was **heavy**._\n\n#### Target Sense\n* The most generic adjective expressing the considerable weight of a physical object.\n* The default opposite of 'light':  avoid intensive terms meaning _especially_ heavy.  \n* Use the basic term for the literal sense, referring to the weight of an object.  Avoid terms restricted to figurative senses, such as ‘difficult’, ‘serious’, ‘taxing’, ‘uncomfortable’.  \n* In some languages the adjectival form may be morphologically complex, often derived from a basic verbal root for weigh, be heavy’, e.g. Spanish _pesado_ and Italian _pesante_.  Provided that such a derivation has become the default adjectival form for 'heavy' in a given language, then that is the appropriate lexeme to select for that language.  Otherwise, avoid derivations such as English _weighty_, if not the default adjective.\n
Heggarty-2019-170-59	76	hit	1433	HIT	To give one blow or more with a swift movement.	He hit the ball with the stick.	#### Illustrative Context\n_He **hit** the chair with the stick._\n\n#### Target Sense\n* Most generic and neutral transitive verb for a human agent hitting one object with another object.  \n\n* Beware the polysemy of English 'hit'.  The target sense is *not* that of success in hitting a target, i.e. the target sense is *not* the opposite of 'miss'.  So in German, for example, the form is 'schlagen' and not 'treffen'.\n\n* "Most generic and neutral" means that you should avoid close synonyms that are not neutral, and instead have more specific extra connotations, including any of the following:\n  - Avoid verbs that connote hitting with special force or resulting in breaking, e.g. 'whack', 'smash'.\n  - Avoid verbs with specific connotations of hitting for punishment, e.g. 'beat'.\n  - Avoid verbs specifically for repeated 'beating'; select a basic neutral verb that also works for a single hit.\n  - Avoid verbs specific to hitting directly with a particular part of the body, especially the fist, e.g. 'punch', 'thump'.\n  - Avoid verbs specific to hitting with given types of instrument:  e.g. 'club'.\n\nIn general this meaning is rather problematic, see:  https://github.com/lingdb/IELex2-CognaC/issues/19
Heggarty-2019-170-60	78	horn	1393	HORN (ANATOMY)	A hard growth of keratin that protrudes from the top of the head of certain animals.	Some animals have horns. Humans do not.	##### Illustrative Context\n_Some animals have **horns**.  People do not._\n\n##### Target Sense\n* The most generic noun for a horn as a part of the body of various animals, specifically a growth from the top of the head.\n* The lexeme entered must be the default lexeme in the basic vocabulary that would be used in the prototypical case of a curly, pointed, keratin horn of an animal like a bull, goat or (horned) sheep. \n* Follow common usage and basic vocabulary.  Strict technical and biological classification criteria are not necessarily relevant — on this, see also the definitions for the separate IE-CoR meanings wing, snake and ant.  So although lexeme entered must be the basic lexeme in the prototypical case as defined above, the exact range of application of the basic lexeme does not necessarily matter.  Some languages, for example, extend the same basic term also to somewhat analogous bone structures such as _antlers_.  This is not in itself a concern, so long as this is also the default lexeme for the prototypical horn.  Do not, however, enter any additional lexeme that is specific to any such narrower use and not to true horns, e.g. English _antler_.\n* The lexeme selected must be able to refer to a single horn, or pair of horns, on a living animal.  Do not enter any additional lexeme used to refer exclusively or predominantly to a horn already removed from an animal’s head.  That is:\n    - Avoid any separate (non-count) lexemes for horn as a general material, e.g. to make objects from, such as combs. \n    - Avoid any lexemes specific to possible uses of horns, e.g. as a musical instrument (e.g. French _cor_ rather than target _corne_ Spanish _corno_ rather than target _cuerno_), drinking cup, etc.. \n* The target sense is the literal body part of an animal.  Do not enter any additional lexemes that predominantly refer to figurative and cultural senses, e.g. horns as symbolic of a cuckold, the devil, a dilemma, etc..\n\n\n
Heggarty-2019-170-61	80	hunt	1435	HUNT	To chase down prey and (usually) kill it.	He’s hunting animals in the forest.	##### Illustrative Context\n_He is **hunting** animals in the forest._\n\n##### Target Sense\n* The most generic transitive verb for hunt, in the prototypical sense of a human tracking or chasing an animal, with the intention of catching (and usually killing) it, often to eat its meat.\n* The lexeme entered should be applicable to hunting in which the hunter must cover some ground, in order to find, track and catch (or shoot) the prey animal, usually one fairly large animal at a time.  It should be the generic term for this whole sequence of activities, but towards the single goal that defines ‘hunting’.  Do not select narrower lexemes for just one or other activity that constitutes just one stage of the overall ’hunt’ meaning.  That is, avoid lexemes for _track_, _catch_, _shoot_, etc..\n* The target sense is for hunting by people, although in many languages the preferred generic word may, as with English _hunt_, be applicable also to predator animals ‘hunting’ other animals.  This is not a concern, provided that the lexeme entered is nonetheless also the default word for humans hunting. Avoid any lexeme specific to hunting by predator animals, however.\n* The lexeme entered should be applicable to a prototypical hunted land animal such as a deer, although as a generic term it will typically extend more widely to hunting birds and large aquatic animals (e.g. seals), as with English _hunt_.  Some languages may extend the same root further still, to fish (whereas English typically distinguishes this with the verb _fish_), and to more indiscriminate catching of large numbers of animals like fish, rather than the prototypical sense of _hunting_ one larger animal at a time. Do not, however, enter any additional lexeme specific to fishing or to any other particular animal type as the quarry. \n* The target sense is the literal one as in the illustrative context, with an animal as the quarry hunted.  Do not enter additional lexemes that are figurative extensions of the English lexeme _hunt_, e.g, terms for ‘hunting’ success, a prize or a hidden object or person;  police ‘hunting’ criminals or escapees, etc..\n* The target sense is also the activity of hunting prototypically for sustenance, e.g. in the sense of ‘hunter-gatherers’.  Do not enter any additional lexemes specific to hunting seen instead as recreation (e.g. big game ‘hunting’).\n\n\n\n
Heggarty-2019-170-62	83	ice	617	ICE	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.	The ice is melting in the sun.	#### Illustrative Context\n_**Ice** is frozen water._\n\n#### Target Sense\n* The most basic and generic noun for frozen (i.e. solid) water.  \n* This should be applicable to a tangible lump of ice or a layer on top of water.  In most languages, the default term will be the prototypical one applied to the frozen surface of a pond, for example. \n* Avoid more specific terms for ice in various particular forms and weather conditions:  i.e. do *not* enter terms specific to _hail_, _snow_, _frost_, _glacier_, _icicle_, and so on.  \n* Avoid terms specific to particular uses of ice, e.g. French _glaçon_ (_ice-cube_ or _block_) for cooling, _ice(-cream)_ for eating, etc..\n* Avoid figurative terms, for ice as symbolic of coldness, unfriendliness, white/blue colour, and so on.
Heggarty-2019-170-63	86	kill	1417	KILL	To put to death; to end a life.	They started fighting. He killed him.	##### Illustrative Context\n_They started fighting.  He **killed** him._\n\n##### Target Sense\n* Most generic and neutral transitive verb for killing in the literal sense of ending the life of a living being. \n* The lexeme selected must be applicable to killing humans (as in the illustrative context), but preferably not exclusively so.  In most languages (as in English) the most basic, default term is also applicable to killing animals or even also plants.  \n* Do not, however, select a term specific (or predominantly applied) to killing only humans, e.g. _murder_, unless the language has no basic ‘kill’ lexeme that is wider and more generic.  \n* Do not select a term specific (or predominantly applied) to killing only animals, e.g. _slaughter_, or plants.\n* Select the most neutral, basic term, i.e. avoid all terms that are narrower in that they bear additional and more specific meanings or overtones, including emotionally charged or judgmental ones, e.g.:\n    - Avoid intensive terms stressing the violence, brutality or number of people killed, e.g. _massacre_. \n    - Avoid euphemistic terms, e.g. _euthanise_. \n    - Avoid terms that are predominantly figurative, e.g. for ‘killing’ pain, a plan, hopes, etc..\n* Avoid terms that are specific to or predominantly used in a non-default register, e.g. literary _slay_, slang _do in_, or legal terms implying premeditation, intention or sentencing, e.g. _murder_, _execute_.\n* The basic term in a language may have originated in some such register, but since lost those connotations and become simply the normal default term for kill.  If so, then it is indeed now the lexeme in the IE-CoR target sense, and should be selected. \n* Avoid narrower terms specific to particular ways of killing, e.g. _slay_, _shoot (dead)_, German _erschießen_. \n* Avoid narrower terms that specifically denote or imply that the agent is non-animate, e.g. diseases ‘killing’ people. \n* Some languages use a causative construction of the type _make die_, and may thus share the same root as used in the separate IE-CoR meaning die.  This is not necessarily an issue, so long as this lexeme is the basic, most generic and neutral verb for kill in the language, and therefore should indeed be the entry for this meaning.  Certainly, do not provide an alternative lexeme simply out of a preference for a morphologically simplex stem, if that lexeme is less basic or generic than the causative construction.   \n* See also the target specification for the separate IE-CoR meaning die.
Heggarty-2019-170-64	87	knee	1371	KNEE	In man, the joint in the middle part of the leg.	He put his hand on his knee.	##### Illustrative Context\n_He put his hand on his **knee**._\n\n##### Target Sense\n* The most generic term for the knee as a part of the human body.\n* The term entered should be generic in referring to the articulation (as a whole) between the upper (thigh) and lower (shin/calf) parts of the leg, in the sense of the leg _bending at the knee_.  \n* Avoid narrower terms that refer to only more specific parts of the knee joint, e.g. English _kneecap_.\n* In most languages, and as in the illustrative context, the basic term for knee also has a prototypical application to the ‘front’ of the knee, upon which one might kneel, or rest one’s hand.  Do not enter terms such as the little-known English word _hough_, that refer instead to the ‘hollow’ _behind_ the knee. \n* In many languages the root used for this noun meaning also forms part of the corresponding verbal expression for _kneel_, as in English, in French _s’a**genou**iller_ or Spanish _ar**rodilla**rse_.  This is normal, but given that the target meaning here is the noun, provide only that form, not the verb form.\n* Give the form applicable to one knee, as in the illustrative context.  Usually this will of course be the singular form;  avoid any special dual/plural formations.  A dual/plural form should only be given if it is the basic, default form in a given language, which would require additional singulative morphology to refer to just one of the two knees.\n* Avoid technical, medical terms, where different.\n\n\n
Heggarty-2019-170-65	88	know	1410	KNOW (SOMETHING)	To be certain or sure about something.	They know that we’re coming.	#### Illustrative Context\n_“They’re coming tomorrow.” — “Yes, I **know**.”_\n\n#### Target Sense\n* The most generic verb for knowing **a fact**, having information about something. \n* Beware of the polysemy/broad applicability of the English lexeme _know_ .\n    - Do not confuse with ‘knowing’ in the sense of being acquainted with _people_ (or places).  If your language uses a different lexeme for this sense, e.g. Italian _conoscere_, German _kennen_, then do **not** provide this lexeme, but only the lexeme for the IE-CoR target sense of knowing a _fact_.  So the correct entry for Italian is only _sapere_ (not _conoscere_), for German it is _wissen_ (not _kennen_), for French _savoir_ (not _connaître_), and so on.\n    - Do not confuse with ‘knowing’ in the sense of being able to, having learnt or ‘knowing’ _how to_ do something, often related to the ‘can’ verb (e.g. German _können_) in contexts such as _I know how to swim_, _I know (how to speak) German_.  So again, the correct entry in German is _wissen_, not _können_.\n* The lexeme selected should be applicable to knowing an individual fact, as in the illustrative context.  Do not enter other lexemes with the specific and more abstract meaning of just being generally wise, intelligent, ‘knowing many things’.\n* The default term should be neutral.  Do not enter terms with specific judgement values of wisdom, ‘(all)-knowingness’, holy or sacred knowledge, etc..  \n\n\n
Heggarty-2019-170-66	89	lake	624	LAKE	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.	Her house is beside the lake.	##### Illustrative Context\n_Her house is beside the **lake**._\n\n##### Target Sense\n* The most generic noun for a naturally occurring body of still (and normally, fresh) water in the landscape, of the prototypical intermediate scale of English _lake_, in contrast to both a (smaller) _pond_ and to a larger _sea_.  \n* As a guideline, the lexeme selected **must** be applicable to a prototypical lake large enough that swimming right across it would be an intimidating challenge to most people, but not so large that it is not possible to see across to the land at the other sides of the lake.  \n* In many languages the default term may also be applicable more widely, but avoid other terms _specific_ to larger bodies of water, especially if seen as unbounded (e.g. _sea_, _ocean_, French _mer_), or that specifically denote relatively small scale (e.g. _pond_, French _mare_). \n* Compare with the similar approach to considerations of size in the separate IE-CoR meanings river, forest, bird and leaf.)
Heggarty-2019-170-67	90	laugh	1355	LAUGH	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.	When I saw him, he was laughing.	#### Illustrative Context\n_When I saw him, he was **laughing**._\n\n#### Target Sense\n* The most basic and generic intransitive verb for laughing.  \n* Avoid terms for merely _smiling_, _grinning_ or _smirking_, that do not involve audible laughter.\n* Provide the most generic, non-specific term, and avoid narrower terms in any sense.  \n    - Avoid terms stressing some specific form of laughter, e.g. particularly loud, surprised, prolonged, hysterical, etc..\n    - Avoid terms that are specifically intensifying, e.g. _roar (with laughter)_.\n    - Avoid terms specific to disrespectful, suppressed or quiet laughter, e.g. _giggle_, _snigger_.\n
Heggarty-2019-170-68	91	leaf	628	LEAF	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.	He picked a leaf from the tree.	#### Illustrative Context\n_He picked a **leaf** from the tree._\n\n#### Target Sense\n* The lexeme selected for the meaning ‘leaf’ in IE-CoR must be applicable (as in the illustrative context) to the prototypical sense of a leaf of a tree-like plant, predominantly thin and flat in shape, and of a prototypical size of the order of the leaf of a beech tree or oak.  \n* The default lexeme will of course in most languages be a broad term also widely applicable to leaves of many different shapes and sizes, including those of plants smaller than trees, but within that variety the term selected must also cover this prototypical case.  (Compare with the similar approach to considerations of prototypical form and size in the separate IE-CoR meanings bird, lake and forest.)\n* The prototypical colour – at least in the growing season – is green (given that the leaf is usually the main organ of photosynthesis), although the prototypical sense of leaf also includes that it is potentially deciduous, and thus may well change in colour before falling.\n* Do **not** focus on strict biological definitions.  IE-CoR policy is to favour basic, default terms, rather than technical, scientific ones.  So although technically, in biological classification, ‘leaves’ may encompass very distinctive physical forms, including the _pine needles_ of conifers, what matters to IE-CoR is popular usage, and how a language segments the semantic space, which typically does not strictly follow scientific criteria.  In the case of ‘leaf’, most languages focus on shape and size.  Select the most basic, default term, without strict attention to technical biological characteristics such as photosynthesis or deciduousness.  (Compare with the similar considerations in the definition of the IE-CoR meaning ant.)\n* If the most basic lexeme in your language is a collective, then this can be entered provided that it is significantly more basic and default than alternative lexemes that could denote a single leaf.  In particular, if the term for a single leaf is a singulative, formed by adding additional morphology to the same basic root that is by default a collective, then that basic collective term can be entered, along with a note mentioning the singulative form.  (Since the root remains the same, this does not affect cognacy at the level of the root, as followed in IE-CoR.)  \n* Avoid, however, terms specific to the sense of _foliage_ where the language also has a basic term that can be applied to a single leaf as in the illustrative context.  The term in German is therefore _Blatt_, not _Laub_ (irrespective of the fact that _Laub_ is cognate with English _leaf_)., and in French _feuille_ not _feuillage_.\n* The term selected should refer to the literal leaf of a tree.  In many languages the same basic term may have other figurative senses too, but avoid other lexemes specific to non-literal senses of a leaf, e.g. a _sheet_ or _page_ of paper.  \n\n
Heggarty-2019-170-69	92	left	244	LEFT	Something that is on the left side relative to another object.	He is blind in his left eye.	#### Illustrative Context\n_He is blind in his **left** eye._\n\n#### Target Sense\n* The opposite of right — see also the target meaning definition for that IE-CoR reference meaning.\n* Enter the adjective form, rather than the adverb.\n* Avoid forms specifically for the left hand, or that include a lexeme for _hand_, i.e. unless the original _hand_ element has become so semantically bleached that it is now just part of the basic default word for left, and could be applied as such also in cases such as the illustrative context, referring to the left eye.\n\n
Heggarty-2019-170-70	93	leg	1297	LEG	The limb of an animal (including humans) that extends from the groin to the ankle.	He fell and broke his leg.	##### Illustrative Context\n_He fell and broke his **leg**._\n\n##### Target Sense\n* The most generic noun for the leg as a part of the human body.  \n* In many languages the same basic term is also applicable to the legs of animals, or even more widely in a figurative sense, e.g. _a table leg_.  Avoid terms specific to any such senses, however, and which are not the default word for the human leg.\n* Where a language uses the same basic lexeme for _foot_ as well as _leg_ (e.g. Russian _нога_), with no basic term specific to _leg_ in contrast with _foot_, then that lexeme may be selected here, as well as for the separate IE-CoR meaning foot.  Indicate this in the notes field.    See also the target senses for the IE-CoR meanings hand and arm.
Heggarty-2019-170-71	95	live	2309	LIVE	To be alive; to have a life.	How many years can people live for?	#### Illustrative Context\n_How many years can people **live** for?_\n\n#### Target Sense\n* The most basic and generic verb for the state of being alive.  \n* In most languages this term will be perceived as contrasting directly with the lexeme for the IE-CoR meaning die, in collocations such as English _live or die_. \n* Avoid terms specific to living _in_ a place, e.g. _reside_, _dwell_, rather than simply being alive.  So in German, the lexeme for this IE-CoR meaning is not _wohnen_ but _leben_. \n* Avoid terms denoting existence (including of objects) rather than life, e.g. _exist_.\n* Avoid terms that inherently bear more specific and additional senses beyond just being alive, including emotive or value judgement senses, e.g. ‘living’ well, happily or (‘living on’) in suffering.  \n* Avoid terms specific to starting or continuing to live, e.g. _be born_, _survive_, _live on_.\n\n\n
Heggarty-2019-170-72	96	liver	1224	LIVER	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	When he died they found that his liver was very swollen.	##### Illustrative Context\n_When he died they found that his **liver** was very swollen._\n\n##### Target Sense\n* The basic term for the liver as a part of the human body.  \n* If your language uses a different lexeme for the _animal_ body part (and potentially also as a food), then do not enter this, enter only the basic term used to refer to the human liver.\n* The target sense is the literal one of the liver as a physical body part.  Avoid any other terms for liver that predominantly refer to figurative extensions, e.g. cultural perceptions of the liver as the source of various moods, emotions or characters:  bile, anger, wrath, courage (or cowardice), etc..\n\n
Heggarty-2019-170-73	97	long	1203	LONG	Having much distance from one terminating point on an object or an area to another terminating point.	This is a long rope; that is a short rope.	#### Illustrative Context\n_This is a **long** rope; that is a short rope._\n\n#### Target Sense\n* The lexeme selected should be the basic term that contrasts with 'short' in your language.  Indeed it should be the basic opposite to the term you enter for the IE-CoR comparison meaning short -- see the precise definition for that comparison meaning, too.\n* The lexeme selected should be the most generic adjective for a relatively big distance between two points, prototypically the two ends of an object (on its longest dimension, usually perceived of horizontally rather than vertically).  \n* The target sense is **not** that of a long duration in time.  (That may also fall under the scope of the chosen lexeme, as it does in English, but do not choose a lexeme like 'lengthy' or 'prolonged' that refers most basically to time rather than size.) \n* The target sense is also **not** that of tall in stature.  I.e., do not give the opposite of ‘short’ in stature, but the opposite of ‘short’ in actual length.\n* Some languages may have different lexemes depending on the type or form of referent:  rope, clothing, hair, snake/worm, and so on.  In such cases, the prototypical referent to consider is a long and thin object like a piece of rope or string.  As per standard policy, however, please give not a specific lexeme exclusive to that sense, but the lexeme with most basic, broadest range that also includes that prototypical context.\n\n
Heggarty-2019-170-74	98	louse	1392	LOUSE	A small wingless parasitic insect of the order Phthiraptera that lives on humans, other mammals and birds.	I picked a louse from his hair.	##### Illustrative Context\n_I picked a **louse** out of his hair._\n\n##### Target Sense\n* The most generic term for a louse as a parasitic insect, in the prototypical sense of one that lives in the hair on a human’s head.\n* The lexeme entered should be the default term to refer to a single full grown louse, as one could individually pick off the head, as in the illustrative context.  \n* The lexeme entered will thus normally be a count noun in the singular.  Only if the clear default term in a language is non-count, and referring to a single louse would require additional singulative morphology, should this non-count form be entered, as the most basic in that language.\n* Avoid narrower terms specific to particular types, forms or stages of the life cycle of lice, such as the eggs, e.g. English _nits_.  \n* The most basic, generic term in many languages (like English _louse_) may not distinguish head lice and body lice, and may be applicable to both.  This is not in itself a concern, provided that the lexeme entered is the default word for the target sense here, i.e. head lice.  Avoid any different, narrower terms specific to body lice and which are not the default word applied to head lice.  Indeed, also avoid narrower terms specific to head lice, where a more basic term exists that naturally covers both.\n* In some languages, as generally with English _louse_, the same generic term is also applicable to lice that live in the fur, hair or skin of animals.  Avoid terms specific to analogous species on animals, however, and which are not the default word for lice in the hair on a human’s head.\n* Follow common usage and basic vocabulary.  Strict technical and biological classification criteria are not necessarily relevant — on this, see also the definitions for the separate IE-CoR meanings horn, wing, snake and ant.  \n* Target the default register lexeme.  Avoid technical and biological terms, colloquial terms, and so on.\n* The target sense is the literal one of the small insect.  Do not enter additional, different lexemes in any figurative extension of the English lexeme _louse_, in the sense of something else unpleasant or parasitic.\n
Heggarty-2019-170-75	99	man	1554	MAN	An adult human member of the sex that begets young by fertilizing ova.	I saw a man and a woman.	#### Illustrative Context\n_I saw a **man** and a woman._\n\n#### Target Sense\n* The most generic term for an adult human male.  \n* In most languages this will be the term that is directly paired with the term for the IE-CoR meaning woman, in basic phrases such as _man or woman_, _man and woman_.\n* Avoid hypernym terms for people, of either sex, e.g. the German lexeme for this meaning is _Mann_, not _Mensch_ (‘person’).\n* The lexeme selected must be applicable to a particular adult human male, as in the illustrative context.  In some languages the same basic word can also be used to refer generically to the human species, humans as distinct from animals, as in the (now declining) usage of English _man_ without an article.  This is not an issue provided that the term is the basic lexeme to refer to an adult human male, but do not provide a lexeme specific to this generic ‘species’ sense.\n* Avoid terms that inherently carry more specific senses of any type.\n    - Avoid terms specific to the place of a man in a relationship, marriage or kinship.  In many languages, the most basic and generic term is _also_ used as a translation equivalent to English _husband_, e.g. German _Mann_.  This is not an issue; but do not enter terms specific to the sense of _husband_, e.g. French _mari_ or _époux_.\n    - Avoid specific terms for younger or older men.\n    - Avoid weighted terms that inherently carry honorific or judgmental value:  e.g. _gentleman_, French _monsieur_.\n    - Avoid terms that specifically highlight perceived masculinity or virility.\n    - Avoid terms that are used to focus more narrowly as explicitly _male_, rather than more equally both male and adult, e.g. the Spanish lexeme here is _hombre_, not _varón_.\n* The neutral-register term:  avoid literary or poetic words (particularly in the sense of _hero_), and slang or colloquial terms, e.g. _bloke_, _guy_, _chap_, _fellow_.\n* See also the IE-CoR meaning woman.
Heggarty-2019-170-76	101	meat	634	MEAT	The edible flesh of animals, especially that of mammals.	What animal does this meat come from?	##### Illustrative Context\n_What animal does this **meat** come from?_\n\n##### Target Sense\n* The most generic term for meat as the edible flesh of animals, prototypically: the ‘red’ meat of mid-sized land-mammals such as sheep, already cut from the animal’s body.  \n* The lexeme selected must normally be applicable to the meat of mammals (except in languages from cultures and regions where the default meat and the most basic term applies to a different type of animal).\n* In many languages, as in English, the same basic lexeme will cover a wide range of contexts and types of ‘meat’.  Where a language has no broad cover term, but only distinct, mutually exclusive lexemes for different contexts/types, in the following or any other cases, then always fall back on the most generic lexeme that includes within its scope the prototypical case as defined above.\n    - If a language has only distinct, mutually exclusive lexemes for the _flesh_ of a living animal vs. the _meat_ of one already killed, then select the latter.\n    - If a language has only distinct, mutually exclusive lexemes for the meat still on the animal’s body vs. already cut off it (in preparation for cooking or storage), then select the latter.\n    - If a language has only distinct, mutually exclusive lexemes for raw meat not yet cooked vs. already cooked meat, then select the former.\n    - If a language has only distinct, mutually exclusive lexemes for meat of different forms or colours , e.g. for the ‘red meat’ of most large mammals vs. the ‘white’ meat of poultry, then select the term for the ‘red meat’ type.\n    - If a language has only distinct, mutually exclusive lexemes for the meats of mid-sized land animals, of birds, of fish or acquatic animals, and/or of insects, then select the term for the meat of mid-sized land animals.\n    - If a language has only distinct, mutually exclusive lexemes for the meats of reared domesticates vs. hunted wild animals (‘game’), then select the term for whichever is the more basic among speakers of the language:  typically this will be reared meat among farming communities, hunted meat among foragers.\n* The target meaning is the literal one of meat as the physical flesh of animals.  Do not select lexemes that refer to food more broadly (the oldest sense of the lexeme _meat_ in English, as still in _mincemeat_).  Also, do not select lexemes that refer predominantly to figurative extensions, e.g. ‘meat’ in the sense of _sustenance_ or the core (‘meat’) of an issue.\n\n
Heggarty-2019-170-77	102	moon	1313	MOON	A natural satellite of a planet.	I saw the moon in the sky.	#### Illustrative Context\n_I saw the **moon** and the sun in the sky._\n\n#### Target Sense\n* The term selected should be the basic, default word for the (earth’s) moon.  \n* In most languages this will be the term that is directly paired with the term for the IE-CoR meaning sun, in basic phrases such as _sun and moon_, as in the illustrative context.\n* In many languages the basic term may also be applied to the satellites of other planets, but do not select technical or astronomical cover-terms that do not by default, when not further qualified, refer specifically to the earth’s moon, e.g. _satellite_.  E.g. in Russian the target lexeme is Луна (luna), not спутник (sputnik).\n* Enter the literal term for the celestial body.  Avoid loaded terms that inherently carry more specific senses of any sort, e.g. personifications of the moon, the moon seen in religious or mystical senses, the moon as a source of light at night, etc..\n* Avoid narrower terms for specific stages or appearances of the moon, e.g. _crescent_, Russian месяц (mesyats), _full moon_, _blood moon_.\n* Some languages use the same basic word also in the time meaning _month_.  Avoid, however, terms that refer _primarily_ to the moon in the sense of the period of its orbit as the time-unit of a _month_, e.g. in Russian the target lexeme is Луна (luna), not месяц (mesyats). \n* See also the IE-CoR meaning sun.\n
Heggarty-2019-170-78	104	mountain	639	MOUNTAIN	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.	He started to climb the mountain.	##### Illustrative Context\n_He started to climb the **mountain**._\n\n##### Target Sense\n* The most generic term for a prototypically high mountain, as distinct from a mere _hill_.  \n* As a generic term within the basic vocabulary, the lexeme selected will typically be applicable to mountains of a wide range of sizes and scales.  Nonetheless, its range of application must normally include reference to the highest mountains in the world.  \n* Certainly, avoid terms such as English _hill_ that denote specifically something _not_ as high as the prototypical _mountain_.  Similarly, the French term is not _colline_, but _montagne_;  in German not _Hügel_, but _Berg_.\n* If a language has no one generic term, but mutually exclusive lexemes for different heights/scales/sizes of ‘mountain’, then select whichever basic term is applicable to mountains of the greatest scale.\n* The lexeme selected should be applicable to a single, standalone high mountain, prototypically with steep slopes.  \n* Avoid terms for highland regions in general, or for chains of mountains or highland plateaux, e.g. Spanish _sierra_, _cordillera_.  The lexeme selected will therefore usually be a singular form, not a collective or mass noun for _highland(s)_.  \n* Must be a generic term:  avoid terms specific to particular types of mountain, e.g. _volcano_, _fell(s)_, Spanish _nevado_ (i.e. specifically a snowcapped mountain), etc..  \n* Avoid terms for smaller-scale parts of mountains, e.g. peak, crag.\n* Avoid lexemes that are only or predominantly figurative, to refer to large quantities of or ‘heaps’ of things.  \n
Heggarty-2019-170-79	105	mouth	674	MOUTH	Opening in the lower half of a human face which is used for food ingestion and articulation.	He put his fingers in his mouth.	##### Illustrative Context\n_He put his fingers in his **mouth**._\n\n##### Target Sense\nBasic term for the complex of lips and oral cavity in humans, avoiding more technical medical terminology if different.\nAvoid terms specifically for "lips" or inner or outer parts. Where a language distinguishes the inner and outer mouth the term for the outer mouth .\n\n##### Target Sense\n* The most basic, default term for the mouth as a part of the human body.\n* The target sense is the prototypical one of the mouth seen as a whole, for which most languages have a generic term that can apply not just to the oral cavity, but can also take in the tongue, teeth and the lips as parts of this overall sense of mouth.  \n* Avoid terms specific to just individual parts of the mouth (e.g. _lips_) or for shapes of mouth.  \n* Follow common usage and basic vocabulary.  Strict anatomical or medical definitions are not relevant.  Avoid any technical, medical terminology.  \n* The term entered must be the default term for the human mouth.  As the most basic term, it may also be extendable to the ‘mouth’ or even ‘snout’ of other animals;  but do not enter any other terms applied only or predominantly to animals.\n* The target sense is the literal one for the physical body part, not any functional senses of speech, taste, eating, breathing, smiling, etc..\n* Avoid lexemes that are predominantly used only for figurative extensions, e.g. for the ‘mouth’ of a river (e.g. French _embouchure_), or for the sense of taste, the power of speech, etc..\n* Enter only the default, neutral register term.  Most languages have additional slang or jocular words (e.g. English _gob_, French _geule_), often derived from terms for the mouths of animals:  do **not** enter any such terms.\n\n
Heggarty-2019-170-80	106	name	1405	NAME	Any word or phrase which designates a particular person, place, class or thing.	What is your name?	#### Illustrative Context\n_What **name** have you chosen for your baby?_\n\n#### Target Sense\n* The most generic noun for the name of a person.  Prototypically this should be the basic term that would be used in the illustrative context, where it can be expected that the family name is already known, and is not the focus of the question.  \n* Avoid narrower terms specific to a particular type of name (or even title), e.g. _surname_, _forename_, _nickname_, _sobriquet_.   \n* If (and only if) your language has no generic, umbrella term that can be applied variously to a family name, an individual identifying name, or a combined full name, then select the term that would be most normal in the illustrative context,assuming that the family name is already known.\n* In some languages, the most generic base noun (when not further qualified) may be ambiguous between the generic sense targeted here and one particular sub-sense, e.g. _Name_ in German can also be taken as specifically referring to the family name in a context where it is in explicit contrast with _Vorname_.  Irrespective of any such potential ambiguities and disambiguation techniques where necessary, however, enter the generic base noun as would be used in contexts where further specification is not needed.  So in German, the default, generic lexeme, as in the illustrative context above, is simple _Name_, not narrower _Vorname_.\n* Many languages use the noun less than English uses its noun _name_, and translation equivalents will often use instead a verb that more literally means _call (oneself)_, e.g. German _heißen_, French _s’appeler_.  Nonetheless, such languages do also tend to have a noun for _name_, e.g. in official contexts where identity is to be established.  Enter the noun form for this IE-CoR meaning, not a verb.\n\n
