ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RUSSIAN	RUSSIAN_DOMINANT	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_M	CONCEPTUAL_FAMILIARITY_M	RUSSIAN_AOA_M	IMAGEABILITY_M
Tsaparina-2011-260-248	248	violin	4023	VIOLIN	скрипка	скрипка	96	4.68	2.89	2.48	4.15
Tsaparina-2011-260-249	249	wagon	122	CART	тележка 	тележка	65	3.53	3.92	2.29	4.26
Tsaparina-2011-260-250	250	watch	3349	WRISTWATCH	Часы  наручные 	Часы 	57	4.12	4.75	1.52	4.76
Tsaparina-2011-260-251	251	watering can			лейка	лейка	100	4.47	3.83	1.74	4.65
Tsaparina-2011-260-252	252	watermelon	2766	WATERMELON	арбуз	арбуз	67	3.85	4.25	1.61	4.85
Tsaparina-2011-260-253	253	well	954	WELL	колодец 	колодец 	96	4.53	3.42	2.03	4.35
Tsaparina-2011-260-254	254	wheel	710	WHEEL	колесо	колесо	85	4.59	4.08	1.61	4.71
Tsaparina-2011-260-255	255	whistle	3107	WHISTLE (INSTRUMENT)	свисток 	свисток 	93	4.62	3.11	2.19	4.53
Tsaparina-2011-260-256	256	windmill	3841	WINDMILL	мельница 	мельница 	76	4.29	2.64	2.06	3.56
Tsaparina-2011-260-257	257	window	1375	WINDOW	окно	окно	100	3.65	4.69	1.35	4.82
Tsaparina-2011-260-258	258	wine glass			бокал 	бокал 	54	4.56	4.14	2.77	4.79
Tsaparina-2011-260-259	259	wrench			гаечный ключ 	гаечный ключ 	72	4.50	3.28	2.71	4.06
Tsaparina-2011-260-260	260	zebra	3675	ZEBRA	зебра	зебра	100	4.79	2.89	1.97	3.97
