ID	NUMBER	ENGLISH	VIETNAMESE	IDS_KEY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tjuka-2024-1310-361	361	root	rễ	8-540	670	ROOT
Tjuka-2024-1310-362	362	plant (vb)	trồng, gieo	8-531	1486	PLANT (SOMETHING)
Tjuka-2024-1310-363	363	hay	cỏ khô	8-520	342	HAY
Tjuka-2024-1310-364	364	plant (noun)	thực vật	8-530	653	PLANT (VEGETATION)
Tjuka-2024-1310-365	365	grass	cỏ	8-510	606	GRASS
Tjuka-2024-1310-366	366	rice	cơm	8-480	926	RICE
Tjuka-2024-1310-367	367	maize, corn	ngô	8-470	506	MAIZE
Tjuka-2024-1310-368	368	oats	yến mạch	8-460	60	OAT
Tjuka-2024-1310-369	369	rye	lúa mạch đen	8-450	23	RYE
Tjuka-2024-1310-370	370	wheat	lúa mì	8-430	1077	WHEAT
Tjuka-2024-1310-371	371	barley	đại mạch	8-440	932	BARLEY
Tjuka-2024-1310-372	372	grain (barley, oats etc)	hạt	8-420	605	GRAIN
Tjuka-2024-1310-373	373	crop, harvest	thu hoạch, gặt hái	8-410	611	HARVEST
Tjuka-2024-1310-374	374	threshing-floor	sân đập lúa	8-350	223	THRESHING-FLOOR
Tjuka-2024-1310-375	375	thresh	đập lúa	8-340	285	THRESH
Tjuka-2024-1310-376	376	sickle, scythe	cái liềm	8-330	2132	SICKLE OR SCYTHE
Tjuka-2024-1310-377	377	mow, reap	cắt	8-320	190	MOW
Tjuka-2024-1310-378	378	seed	hạt giống	8-311	714	SEED
Tjuka-2024-1310-379	379	sow	gieo	8-310	748	SOW SEEDS
Tjuka-2024-1310-380	380	rake	cái cào	8-270	338	RAKE
Tjuka-2024-1310-381	381	fork	cái nĩa	8-260	337	PITCHFORK
Tjuka-2024-1310-382	382	hoe	cái cuốc	8-250	284	HOE
Tjuka-2024-1310-383	383	shovel	cái xẻng	8-240	1901	SHOVEL
Tjuka-2024-1310-384	384	spade	cái mai, cái thuổng	8-230	1176	SPADE
Tjuka-2024-1310-385	385	furrow	luống cày	8-212	1794	FURROW
Tjuka-2024-1310-386	386	dig	đào, bới	8-220	1418	DIG
Tjuka-2024-1310-387	387	plow	cày	8-210	1921	PLOUGH
Tjuka-2024-1310-388	388	ditch	hào, mương	8-170	2002	DITCH
Tjuka-2024-1310-389	389	fence	rào	8-160	1690	FENCE
Tjuka-2024-1310-390	390	cultivate, till	trồng	8-150	1541	CULTIVATE
Tjuka-2024-1310-391	391	garden	vườn	8-130	586	GARDEN
Tjuka-2024-1310-392	392	field (for cultivation)	cánh đồng	8-120	212	FIELD
Tjuka-2024-1310-393	393	farmer	nông dân	8-110	979	FARMER
Tjuka-2024-1310-394	394	adobe	gạch	7-640	901	ADOBE
Tjuka-2024-1310-395	395	mortar	vữa	7-630	1731	MORTAR BINDER
Tjuka-2024-1310-396	396	brick	gạch nung	7-620	1006	BRICK
Tjuka-2024-1310-397	397	arch	vòm	7-580	876	ARCH
Tjuka-2024-1310-398	398	mason	thợ hồ, thợ nề	7-610	877	MASON
Tjuka-2024-1310-399	399	board	tấm ván	7-570	1227	BOARD
Tjuka-2024-1310-400	400	post, pole	cột	7-560	281	POST
Tjuka-2024-1310-401	401	beam	xà nhà	7-550	1132	BEAM
Tjuka-2024-1310-402	402	rafter	xà nhà, rui	7-540	829	RAFTER
Tjuka-2024-1310-403	403	ridgepole	mái úp nóc	7-530	280	RIDGEPOLE
Tjuka-2024-1310-404	404	thatch	mái tranh, mái lá	7-520	279	THATCH
Tjuka-2024-1310-405	405	roof	mái nhà	7-510	769	ROOF
Tjuka-2024-1310-406	406	trough	máng	7-480	205	TROUGH
Tjuka-2024-1310-407	407	shelf	cái kệ	7-470	745	SHELF
Tjuka-2024-1310-408	408	candle	nến	7-460	1273	CANDLE
Tjuka-2024-1310-409	409	lamp, torch	đèn	7-450	2131	TORCH OR LAMP
Tjuka-2024-1310-410	410	table	bàn	7-440	1775	TABLE
Tjuka-2024-1310-411	411	chair	cái ghế	7-430	1476	CHAIR
Tjuka-2024-1310-412	412	blanket	cái chăn	7-422	806	BLANKET
Tjuka-2024-1310-413	413	pillow	cái gối	7-421	1044	PILLOW
Tjuka-2024-1310-414	414	bed	giường	7-420	1663	BED
Tjuka-2024-1310-415	415	ladder	cái thang	7-370	1464	LADDER
Tjuka-2024-1310-416	416	chimney	ống khói	7-330	1305	CHIMNEY
Tjuka-2024-1310-417	417	stove	cái lò	7-320	859	STOVE
Tjuka-2024-1310-418	418	fireplace	lò sưởi	7-310	185	FIREPLACE
Tjuka-2024-1310-419	419	wall	(bức) tường	7-270	933	WALL (OF HOUSE)
Tjuka-2024-1310-420	420	floor	sàn nhà	7-260	1632	FLOOR
Tjuka-2024-1310-421	421	window	cửa sổ	7-250	1375	WINDOW
Tjuka-2024-1310-422	422	key	chìa khóa	7-240	1472	KEY
Tjuka-2024-1310-423	423	latch, door-bolt	chốt cửa, tay nắm cửa	7-231	1012	LATCH
Tjuka-2024-1310-424	424	lock (noun)	khóa	7-230	1596	LOCK
Tjuka-2024-1310-425	425	doorpost, jamb	cột cửa	7-221	80	DOORPOST
Tjuka-2024-1310-426	426	room	phòng	7-210	1450	ROOM
Tjuka-2024-1310-427	427	door, gate	cửa	7-220	1567	DOOR
Tjuka-2024-1310-428	428	meeting house	nhà họp	7-180	335	MEETING HOUSE
Tjuka-2024-1310-429	429	cookhouse	nhà nấu ăn	7-170	334	COOKHOUSE
Tjuka-2024-1310-430	430	men's house	nhà đàn ông	7-160	408	MEN'S HOUSE
Tjuka-2024-1310-431	431	yard, court	sân	7-150	736	YARD
Tjuka-2024-1310-432	432	tent	lều	7-140	1316	TENT
Tjuka-2024-1310-433	433	garden-house	nhà vườn	7-131	403	GARDEN-HOUSE
Tjuka-2024-1310-434	434	hut	túp lều	7-130	1678	HUT
Tjuka-2024-1310-435	435	house	nhà	7-120	1252	HOUSE
Tjuka-2024-1310-436	436	dwell, live	ở, sống	7-110	363	DWELL (LIVE, RESIDE)
Tjuka-2024-1310-437	437	mirror	gương	6-960	1171	MIRROR
Tjuka-2024-1310-438	438	soap	xà phòng, xà bông	6-950	788	SOAP
Tjuka-2024-1310-439	439	ointment	thuốc mỡ	6-940	1926	OINTMENT
Tjuka-2024-1310-440	440	razor	dao cạo	6-930	151	RAZOR
Tjuka-2024-1310-441	441	braid	bím	6-921	1043	BRAID
Tjuka-2024-1310-442	442	brush	chải	6-920	1821	BRUSH
Tjuka-2024-1310-443	443	comb	cái lược	6-910	1475	COMB
Tjuka-2024-1310-444	444	towel	cái khăn lau	6-820	1021	TOWEL
Tjuka-2024-1310-445	445	handkerchief, rag	khăn tay	6-810	332	RAG
Tjuka-2024-1310-446	446	tattoo	xăm hình	6-790	68	TATTOO
Tjuka-2024-1310-447	447	headband, headdress	băng đô	6-780	3457	HEADBAND OR HEADDRESS
Tjuka-2024-1310-448	448	earring	bông tai	6-770	770	EARRING
Tjuka-2024-1310-449	449	bead	ngọc trai	6-760	1860	BEAD
Tjuka-2024-1310-450	450	necklace	vòng cổ	6-750	1961	NECKLACE
Tjuka-2024-1310-451	451	bracelet	vòng tay	6-740	1754	BRACELET
Tjuka-2024-1310-452	452	ring (for finger)	nhẫn	6-730	1374	RING
Tjuka-2024-1310-453	453	jewel	ngọc	6-720	1029	JEWEL
Tjuka-2024-1310-454	454	ornament, adornment	trang hoàng, trang trí	6-710	917	ORNAMENT
Tjuka-2024-1310-455	455	pin	đinh ghim	6-630	64	PIN
Tjuka-2024-1310-456	456	button	cái khuy	6-620	757	BUTTON
Tjuka-2024-1310-457	457	pocket	túi	6-610	1851	POCKET
Tjuka-2024-1310-458	458	veil	mạng che mặt	6-590	1151	VEIL
Tjuka-2024-1310-459	459	glove	găng tay	6-580	867	GLOVE
Tjuka-2024-1310-460	460	belt, girdle	thắt lưng	6-570	772	BELT
Tjuka-2024-1310-461	461	hat, cap	cái mũ	6-550	2130	HEADGEAR
Tjuka-2024-1310-462	462	shoemaker, cobbler	thợ đóng giày	6-540	875	SHOEMAKER
Tjuka-2024-1310-463	463	shoe	giày	6-510	1381	SHOE
Tjuka-2024-1310-464	464	boot	thuyền	6-520	585	BOOT
Tjuka-2024-1310-465	465	stocking, sock	tất, vớ	6-490	329	STOCKING
Tjuka-2024-1310-466	466	trousers	quần dài	6-480	809	TROUSERS
Tjuka-2024-1310-467	467	grass-skirt	váy cỏ	6-461	328	GRASS-SKIRT
Tjuka-2024-1310-468	468	skirt	váy	6-460	1600	SKIRT
Tjuka-2024-1310-469	469	collar	cổ áo	6-450	2012	COLLAR
Tjuka-2024-1310-470	470	shirt	áo	6-440	1622	SHIRT
Tjuka-2024-1310-471	471	coat	áo choàng	6-430	603	COAT
Tjuka-2024-1310-472	472	woman's dress	váy	6-420	474	DRESS
Tjuka-2024-1310-473	473	poncho	áo poncho	6-411	327	PONCHO
Tjuka-2024-1310-474	474	dye	nhuộm	6-390	157	DYE
Tjuka-2024-1310-475	475	cloak	áo choàng	6-410	326	CLOAK
Tjuka-2024-1310-476	476	thread	chỉ, sợi	6-380	1161	THREAD
Tjuka-2024-1310-477	477	needle	kim	6-360	1382	NEEDLE (FOR SEWING)
Tjuka-2024-1310-478	478	awl	dùi	6-370	278	AWL
Tjuka-2024-1310-479	479	sew	may	6-350	1457	SEW
Tjuka-2024-1310-480	480	loom	máy dệt	6-340	1787	LOOM
Tjuka-2024-1310-481	481	weave	dệt	6-330	133	WEAVE
Tjuka-2024-1310-482	482	spindle	trục chính (len)	6-320	277	SPINDLE
Tjuka-2024-1310-483	483	spin	quay tít	6-310	121	SPIN
Tjuka-2024-1310-484	484	leather	da thú	6-290	629	LEATHER
Tjuka-2024-1310-485	485	fur	lông thú	6-280	580	FUR
Tjuka-2024-1310-486	486	felt	(vải) nỉ	6-270	325	FELT
Tjuka-2024-1310-487	487	silk	lụa	6-250	1641	SILK
Tjuka-2024-1310-488	488	cotton	len bông xù	6-240	1850	COTTON
Tjuka-2024-1310-489	489	linen, flax	vải lanh	6-230	3462	FLAX OR LINEN
Tjuka-2024-1310-490	490	wool	len	6-220	964	WOOL
Tjuka-2024-1310-491	491	cloth	vải	6-210	1616	CLOTH
Tjuka-2024-1310-492	492	tailor	thợ may	6-130	881	TAILOR
Tjuka-2024-1310-493	493	clothing, clothes	quần áo	6-120	1895	CLOTHES
Tjuka-2024-1310-494	494	put on (clothes)	mặc	6-110	158	PUT ON
Tjuka-2024-1310-495	495	egg yolk	lòng đỏ trứng	5-971	1556	YOLK
Tjuka-2024-1310-496	496	egg	trứng	5-970	744	EGG
Tjuka-2024-1310-497	497	fermented drink	rượu	5-940	404	ALCOHOL (FERMENTED DRINK)
Tjuka-2024-1310-498	498	beer	bia	5-930	1639	BEER
Tjuka-2024-1310-499	499	wine	rượu vang	5-920	1524	WINE
Tjuka-2024-1310-500	500	mead	rựơu mật ong	5-910	941	MEAD
Tjuka-2024-1310-501	501	beverage, drink	thức uống	5-900	731	BEVERAGE
Tjuka-2024-1310-502	502	butter	bơ	5-890	1245	BUTTER
Tjuka-2024-1310-503	503	cheese	phó mát	5-880	1569	CHEESE
Tjuka-2024-1310-504	504	milk (vb)	vắt sữa	5-870	93	DRAW MILK
Tjuka-2024-1310-505	505	sugar	đường	5-850	862	SUGAR
Tjuka-2024-1310-506	506	milk (noun)	sữa	5-860	635	MILK
Tjuka-2024-1310-507	507	honey	mật ong	5-840	942	HONEY
Tjuka-2024-1310-508	508	chili pepper	ớt	5-821	919	CHILI PEPPER
Tjuka-2024-1310-509	509	pepper	hồ tiêu	5-820	1385	PEPPER
Tjuka-2024-1310-510	510	salt	muối	5-810	1274	SALT
Tjuka-2024-1310-511	511	grease, fat	mỡ	5-791	323	FAT (ORGANIC SUBSTANCE)
Tjuka-2024-1310-512	512	oil	dầu	5-790	1484	OIL (ORGANIC SUBSTANCE)
Tjuka-2024-1310-513	513	olive	quả ô liu	5-780	1154	OLIVE
Tjuka-2024-1310-514	514	grape	quả nho	5-760	920	GRAPE
Tjuka-2024-1310-515	515	nut	hạt	5-770	191	NUT
Tjuka-2024-1310-516	516	fig	quả sung	5-750	322	FIG
Tjuka-2024-1310-517	517	bunch	bó	5-712	1966	BUNCH
Tjuka-2024-1310-518	518	fruit	quả	5-710	1507	FRUIT
Tjuka-2024-1310-519	519	potato	khoai tây	5-700	593	POTATO
Tjuka-2024-1310-520	520	bean	đậu, đỗ	5-660	832	BEAN
Tjuka-2024-1310-521	521	vegetables	rau	5-650	924	VEGETABLES
Tjuka-2024-1310-522	522	soup, broth	xúp, canh	5-640	1547	SOUP
Tjuka-2024-1310-523	523	sausage	xúc xích	5-630	1874	SAUSAGE
Tjuka-2024-1310-524	524	meat	thịt	5-610	634	MEAT
Tjuka-2024-1310-525	525	pestle	chày	5-590	225	PESTLE
Tjuka-2024-1310-526	526	mortar (2)	cối giã	5-580	224	MORTAR
Tjuka-2024-1310-527	527	mill	cối xay gió	5-570	636	MILL
Tjuka-2024-1310-528	528	crush, grind	xay	5-560	1033	GRIND
Tjuka-2024-1310-529	529	meal, flour	bột	5-550	1594	FLOUR
Tjuka-2024-1310-530	530	knead	nhào	5-540	274	KNEAD
Tjuka-2024-1310-531	531	dough	bột	5-530	273	DOUGH
Tjuka-2024-1310-532	532	bread	bánh mì	5-510	1368	BREAD
Tjuka-2024-1310-533	533	stir, mix	khuấy	5-490	2017	MIX
Tjuka-2024-1310-534	534	scrape	nạo	5-480	1767	SCRAPE
Tjuka-2024-1310-535	535	sieve, strain	rây	5-470	3448	SIEVE OR STRAIN
Tjuka-2024-1310-536	536	peel	bóc, gọt	5-460	275	PEEL
Tjuka-2024-1310-537	537	supper	bữa ăn tối	5-450	1833	DINNER (SUPPER)
Tjuka-2024-1310-538	538	dinner	bữa cơm trưa	5-440	1833	DINNER (SUPPER)
Tjuka-2024-1310-539	539	lunch	bữa trưa	5-430	768	LUNCH
Tjuka-2024-1310-540	540	breakfast	bữa sáng	5-420	1322	BREAKFAST
Tjuka-2024-1310-541	541	meal (a)	bữa ăn	5-410	1526	MEAL
Tjuka-2024-1310-542	542	tongs	cái kìm	5-391	272	TONGS
Tjuka-2024-1310-543	543	fork (2)	cái nĩa	5-390	1302	FORK
Tjuka-2024-1310-544	544	knife (2)	dao	5-380	3210	KNIFE (FOR EATING)
Tjuka-2024-1310-545	545	spoon	thìa	5-370	1378	SPOON
Tjuka-2024-1310-546	546	saucer	đĩa lót tách	5-360	271	SAUCER
Tjuka-2024-1310-547	547	cup, drinking vessel	cốc	5-350	476	CUP
Tjuka-2024-1310-548	548	bowl	bát	5-330	1530	BOWL
Tjuka-2024-1310-549	549	pitcher, jug	cái bình	5-340	270	JUG
Tjuka-2024-1310-550	550	plate	đĩa	5-320	480	PLATE
Tjuka-2024-1310-551	551	dish	đĩa	5-310	481	DISH
Tjuka-2024-1310-552	552	pan	cái chảo	5-280	31	PAN
Tjuka-2024-1310-553	553	pot, cooking vessel	nồi	5-260	3653	COOKING POT
Tjuka-2024-1310-554	554	kettle	cái ấm	5-270	854	KETTLE
Tjuka-2024-1310-555	555	bake	làm (bánh)	5-240	183	BAKE
Tjuka-2024-1310-556	556	oven	lò	5-250	1143	OVEN
Tjuka-2024-1310-557	557	roast, fry	rang, nướng, rán, chiên	5-230	2146	ROAST OR FRY
Tjuka-2024-1310-558	558	boil (vb)	đun sôi	5-220	792	BOIL (OF LIQUID)
Tjuka-2024-1310-559	559	cook	nấu	5-210	1100	COOK (SOMETHING)
Tjuka-2024-1310-560	560	choke	làm nghẹt thở	5-190	129	CHOKE
Tjuka-2024-1310-561	561	swallow	nuốt	5-181	897	SWALLOW
Tjuka-2024-1310-562	562	chew	nhai	5-180	321	CHEW
Tjuka-2024-1310-563	563	suck	hút	5-160	1421	SUCK
Tjuka-2024-1310-564	564	thirst	sự khát nước	5-150	848	THIRST
Tjuka-2024-1310-565	565	famine	nạn đói	5-141	199	FAMINE
Tjuka-2024-1310-566	566	hunger	sự đói	5-140	1864	HUNGER
Tjuka-2024-1310-567	567	drink	uống	5-130	1401	DRINK
Tjuka-2024-1310-568	568	rotten	thối	5-125	1728	ROTTEN
Tjuka-2024-1310-569	569	green, unripe	chưa chín	5-124	1958	UNRIPE
Tjuka-2024-1310-570	570	ripe	chín	5-123	178	RIPE
Tjuka-2024-1310-571	571	raw	thô, sống	5-122	1959	RAW
Tjuka-2024-1310-572	572	cooked	nấu chín	5-121	269	COOKED
Tjuka-2024-1310-573	573	food	đồ ăn, thức ăn	5-120	256	FOOD
Tjuka-2024-1310-574	574	eat	ăn	5-110	1336	EAT
Tjuka-2024-1310-575	575	naked, bare	trần (truồng)	4-990	590	NAKED
Tjuka-2024-1310-576	576	blind	bị mù	4-970	1653	BLIND
Tjuka-2024-1310-577	577	intoxicated	say	4-980	1463	DRUNK
Tjuka-2024-1310-578	578	mute	câm	4-960	1666	MUTE
Tjuka-2024-1310-579	579	deaf	điếc	4-950	996	DEAF
Tjuka-2024-1310-580	580	bald	hói	4-930	1125	BALD
Tjuka-2024-1310-581	581	lame	què	4-940	320	LAME
Tjuka-2024-1310-582	582	lazy	lười	4-920	1564	LAZY
Tjuka-2024-1310-583	583	rest	nghỉ	4-912	168	REST
Tjuka-2024-1310-584	584	tired, weary	mệt	4-910	1757	TIRED
Tjuka-2024-1310-585	585	poison	chất độc	4-890	655	POISON
Tjuka-2024-1310-586	586	medicine, drug	thuốc	4-880	1372	MEDICINE
Tjuka-2024-1310-587	587	physician	bác sĩ	4-870	597	PHYSICIAN
Tjuka-2024-1310-588	588	cure, heal	chữa lành	4-860	499	CURE
Tjuka-2024-1310-589	589	scar	vết sẹo	4-858	497	SCAR
Tjuka-2024-1310-590	590	pus	mủ	4-857	1808	PUS
Tjuka-2024-1310-591	591	boil (noun)	nhọt	4-856	793	BOIL (OF SKIN)
Tjuka-2024-1310-592	592	blister	chỗ rộp	4-855	1584	BLISTER
Tjuka-2024-1310-593	593	itch	ngứa	4-854	148	ITCH
Tjuka-2024-1310-594	594	swelling	chỗ sưng	4-853	1903	SWELLING
Tjuka-2024-1310-595	595	bruise	vết thâm tím	4-852	1148	BRUISE
Tjuka-2024-1310-596	596	wound, sore	vết thương	4-850	1109	WOUND
Tjuka-2024-1310-597	597	cold (catarrh)	cảm lạnh	4-843	102	COMMON COLD (DISEASE)
Tjuka-2024-1310-598	598	goiter	bướu giáp	4-842	1957	GOITER
Tjuka-2024-1310-599	599	fever	sốt	4-841	1534	FEVER
Tjuka-2024-1310-600	600	sick, sickness	ốm	4-840	1847	SICK
Tjuka-2024-1310-601	601	well, health	khỏe	4-830	1364	HEALTHY
Tjuka-2024-1310-602	602	weak	yếu	4-820	1601	WEAK
Tjuka-2024-1310-603	603	strong, mighty, powerful	mạnh mẽ	4-810	3188	MIGHTY OR POWERFUL OR STRONG
Tjuka-2024-1310-604	604	grave, tomb	mả	4-790	1773	GRAVE
Tjuka-2024-1310-605	605	bury (the dead)	chôn	4-780	1719	BURY
Tjuka-2024-1310-606	606	corpse	xác chết, thi hài	4-770	767	CORPSE
Tjuka-2024-1310-607	607	kill	giết	4-760	1417	KILL
Tjuka-2024-1310-608	608	drowned	chết đuối	4-751	3187	DROWNED
Tjuka-2024-1310-609	609	die, dead	chết	4-750	2101	BE DEAD OR DIE
Tjuka-2024-1310-610	610	live, living, life	sống	4-740	3184	BE ALIVE OR LIFE
Tjuka-2024-1310-611	611	conceive	thụ thai	4-732	1087	CONCEIVE
Tjuka-2024-1310-612	612	pregnant	có thai, có mang	4-730	1123	PREGNANT
Tjuka-2024-1310-613	613	born (to be)	(được) sinh ra	4-720	1090	BE BORN
Tjuka-2024-1310-614	614	beget (of father)	là cha của	4-710	1152	BEGET
Tjuka-2024-1310-615	615	bathe	tắm	4-690	138	BATHE
Tjuka-2024-1310-616	616	shiver	rùng mình	4-680	52	SHIVER
Tjuka-2024-1310-617	617	have sexual intercourse	quan hệ tình dục, sự giao hợp	4-670	549	COPULATE
Tjuka-2024-1310-618	618	defecate	đại tiện	4-660	676	SHIT (DEFECATE)
Tjuka-2024-1310-619	619	urinate	đi tiểu	4-650	592	PISS
Tjuka-2024-1310-620	620	break wind	đánh rắm	4-640	1159	FART
Tjuka-2024-1310-621	621	wake up	thức dậy	4-630	1602	WAKE UP
Tjuka-2024-1310-622	622	dream	mơ	4-620	1920	DREAM (SOMETHING)
Tjuka-2024-1310-623	623	snore	ngáy	4-612	1983	SNORE
Tjuka-2024-1310-624	624	sleep	ngủ	4-610	1585	SLEEP
Tjuka-2024-1310-625	625	dribble	chảy dãi	4-591	268	DRIBBLE
Tjuka-2024-1310-626	626	lick	liếm	4-590	319	LICK
Tjuka-2024-1310-627	627	bite	cắn	4-580	1403	BITE
Tjuka-2024-1310-628	628	vomit	nôn, mửa	4-570	1278	VOMIT
Tjuka-2024-1310-629	629	spit	nhổ ra	4-560	1440	SPIT
Tjuka-2024-1310-630	630	perspire	mồ hôi	4-550	126	SWEAT (PERSPIRE)
Tjuka-2024-1310-631	631	sneeze	hắt hơi	4-540	1621	SNEEZE
Tjuka-2024-1310-632	632	cough	ho	4-530	879	COUGH
Tjuka-2024-1310-633	633	hiccough	bị nấc	4-521	162	HICCOUGH
Tjuka-2024-1310-634	634	yawn, gape	ngáp	4-520	1028	YAWN
Tjuka-2024-1310-635	635	breathe, breath	thở	4-510	3183	BREATH OR BREATHE
Tjuka-2024-1310-636	636	penis	dương vật	4-492	1222	PENIS
Tjuka-2024-1310-637	637	testicle	tinh hoàn	4-490	797	TESTICLES
Tjuka-2024-1310-638	638	womb	tử cung	4-470	804	WOMB
Tjuka-2024-1310-639	639	buttocks	mông	4-464	834	BUTTOCKS
Tjuka-2024-1310-640	640	hip	hông	4-463	1745	HIP
Tjuka-2024-1310-641	641	waist	(chỗ) thắt lưng	4-462	1681	WAIST
Tjuka-2024-1310-642	642	intestines, guts	ruột	4-461	1991	INTESTINES
Tjuka-2024-1310-643	643	stomach	dạ dày	4-460	819	STOMACH
Tjuka-2024-1310-644	644	spleen	lách	4-452	1744	SPLEEN
Tjuka-2024-1310-645	645	kidney	thận	4-451	489	KIDNEY
Tjuka-2024-1310-646	646	liver	gan	4-450	1224	LIVER
Tjuka-2024-1310-647	647	lung	phổi	4-441	688	LUNG
Tjuka-2024-1310-648	648	heart	tim	4-440	1223	HEART
Tjuka-2024-1310-649	649	navel	rốn	4-430	1838	NAVEL
Tjuka-2024-1310-650	650	udder	bầu vú	4-420	154	UDDER
Tjuka-2024-1310-651	651	nipple, teat	núm vú	4-412	796	NIPPLE
Tjuka-2024-1310-652	652	breast (of woman)	vú	4-410	1402	BREAST
Tjuka-2024-1310-653	653	chest	ngực	4-400	1592	CHEST
Tjuka-2024-1310-654	654	feather	lông vũ	4-393	1201	FEATHER
Tjuka-2024-1310-655	655	wing	cánh	4-392	1257	WING
Tjuka-2024-1310-656	656	toe	ngón chân	4-380	1389	TOE
Tjuka-2024-1310-657	657	footprint	dấu chân	4-374	318	FOOTPRINT
Tjuka-2024-1310-658	658	heel	gót chân	4-372	980	HEEL
Tjuka-2024-1310-659	659	ankle	mắt cá chân	4-371	803	ANKLE
Tjuka-2024-1310-660	660	foot	(bàn) chân	4-370	1301	FOOT
Tjuka-2024-1310-661	661	knee	đầu gối	4-360	1371	KNEE
Tjuka-2024-1310-662	662	calf of leg	bắp chân	4-352	498	CALF OF LEG
Tjuka-2024-1310-663	663	thigh	(bắp) đùi	4-351	471	UPPER LEG (THIGH)
Tjuka-2024-1310-664	664	leg	chân	4-350	1297	LEG
Tjuka-2024-1310-665	665	claw	vuốt	4-345	72	CLAW
Tjuka-2024-1310-666	666	fingernail	móng tay	4-344	1258	FINGERNAIL
Tjuka-2024-1310-667	667	thumb	ngón cái	4-342	1781	THUMB
Tjuka-2024-1310-668	668	finger	ngón tay	4-340	1303	FINGER
Tjuka-2024-1310-669	669	palm of hand	lòng bàn tay	4-331	1183	PALM OF HAND
Tjuka-2024-1310-670	670	hand	(bàn) tay	4-330	1277	HAND
Tjuka-2024-1310-671	671	wrist	cổ tay	4-321	799	WRIST
Tjuka-2024-1310-672	672	elbow	khuỷu tay	4-320	981	ELBOW
Tjuka-2024-1310-673	673	armpit	nách	4-312	1886	ARMPIT
Tjuka-2024-1310-674	674	arm	tay	4-310	1673	ARM
Tjuka-2024-1310-675	675	collarbone	xương quai xanh	4-302	1994	COLLARBONE
Tjuka-2024-1310-676	676	shoulderblade	xương bả vai	4-301	172	SHOULDERBLADE
Tjuka-2024-1310-677	677	shoulder	vai	4-300	1482	SHOULDER
Tjuka-2024-1310-678	678	throat	họng	4-290	1346	THROAT
Tjuka-2024-1310-679	679	nape of neck	gáy	4-281	1347	NAPE (OF NECK)
Tjuka-2024-1310-680	680	neck	cổ 	4-280	1333	NECK
Tjuka-2024-1310-681	681	molartooth	răng hàm	4-272	1049	MOLAR TOOTH
Tjuka-2024-1310-682	682	tooth	răng	4-270	1380	TOOTH
Tjuka-2024-1310-683	683	gums	nướu	4-271	139	GUMS
Tjuka-2024-1310-684	684	tongue	lưỡi	4-260	1205	TONGUE
Tjuka-2024-1310-685	685	lip	môi	4-250	478	LIP
Tjuka-2024-1310-686	686	beak	mỏ	4-241	73	BEAK
Tjuka-2024-1310-687	687	mouth	miệng	4-240	674	MOUTH
Tjuka-2024-1310-688	688	mucus (nasal)	nước nhớt	4-232	208	NASAL MUCUS (SNOT)
Tjuka-2024-1310-689	689	nostril	lỗ mũi	4-231	1178	NOSTRIL
Tjuka-2024-1310-690	690	nose	mũi	4-230	1221	NOSE
Tjuka-2024-1310-691	691	earwax	ráy tai	4-222	32	EARWAX
Tjuka-2024-1310-692	692	earlobe	dái tai	4-221	18	EARLOBE
Tjuka-2024-1310-693	693	ear	tai	4-220	1247	EAR
Tjuka-2024-1310-694	694	blink	nháy mắt	4-215	1655	BLINK
Tjuka-2024-1310-695	695	eyelash	lông mi	4-214	1540	EYELASH
Tjuka-2024-1310-696	696	eyelid	mí mắt	4-213	17	EYELID
Tjuka-2024-1310-697	697	eyebrow	lông mày	4-212	1173	EYEBROW
Tjuka-2024-1310-698	698	eye	tai	4-210	1248	EYE
Tjuka-2024-1310-699	699	cheek	má	4-208	1730	CHEEK
Tjuka-2024-1310-700	700	chin	cằm	4-209	1510	CHIN
Tjuka-2024-1310-701	701	forehead	trán	4-205	123	FOREHEAD
Tjuka-2024-1310-702	702	jaw	hàm	4-207	798	JAW
Tjuka-2024-1310-703	703	face	mặt	4-204	1560	FACE
Tjuka-2024-1310-704	704	brain	óc, não	4-203	1583	BRAIN
Tjuka-2024-1310-705	705	side of head, temple	thái dương	4-201	1604	TEMPLES
Tjuka-2024-1310-706	706	skull	sọ	4-202	1605	SKULL
Tjuka-2024-1310-707	707	head	đầu	4-200	1256	HEAD
Tjuka-2024-1310-708	708	spine	cột sống	4-191	805	SPINE
Tjuka-2024-1310-709	709	back	lưng	4-190	1291	BACK
Tjuka-2024-1310-710	710	tail	đuôi	4-180	1220	TAIL
Tjuka-2024-1310-711	711	horn	sừng	4-170	1393	HORN (ANATOMY)
Tjuka-2024-1310-712	712	rib	xương sườn	4-162	801	RIB
Tjuka-2024-1310-713	713	bone	xương	4-160	1394	BONE
Tjuka-2024-1310-714	714	vein, artery	tĩnh mạch, động mạch	4-151	525	BLOOD VESSEL
Tjuka-2024-1310-715	715	blood	máu	4-150	946	BLOOD
Tjuka-2024-1310-716	716	dandruff	gầu	4-146	576	DANDRUFF
Tjuka-2024-1310-717	717	pubic hair	lông mu	4-145	36	PUBIC HAIR
Tjuka-2024-1310-718	718	body hair	lông trên cơ thể	4-144	189	HAIR (BODY)
Tjuka-2024-1310-719	719	beard	râu 	4-142	678	BEARD
