ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	KANNADA	KANNADA_ROMANIZED	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	PICTURE_NAME_AGREEMENT_MEAN	PICTURE_NAME_AGREEMENT_SD	FAMILIARITY_MEAN	FAMILIARITY_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	AoA_MEAN	AoA_SD	NAME_AGREEMENT_PERCENT	NAME_AGREEMENT_PERCENT_SD
Bangalore-2022-180-140	140	Sheep	1331	SHEEP	ಕುರಿ	Kuri	4.91	0.29	5.00	0.00	4.68	1.01	4.68	0.53	2.35	1.12	68.50	12.58
Bangalore-2022-180-141	141	Skirt	1600	SKIRT	ಲಂಗ	Langa	4.79	0.48	4.94	0.34	4.91	0.38	4.71	0.46	3.00	1.23	43.03	20.76
Bangalore-2022-180-142	142	Snail	1543	SNAIL	ಬಿಂಡಿ ಹಾವು	Bindi Hāvu	4.15	1.81	4.32	1.66	4.56	1.02	4.62	0.95	2.94	1.28	97.55	14.29
Bangalore-2022-180-143	143	Snake	730	SNAKE	ಹಾವು	Hāvu	4.91	0.38	5.00	0.00	4.94	0.24	4.82	0.46	1.94	0.74	62.11	27.30
Bangalore-2022-180-144	144	Snow man			ಹಿಮ ಮನುಷ್ಯ	Hima Manuṣya	2.71	2.47	2.74	2.44	3.09	2.09	3.47	2.29	2.76	1.94	59.19	18.40
Bangalore-2022-180-145	145	Socks	1522	SOCK	ಪಾದರಕ್ಷೆ	Pādarakṣe	4.91	0.29	5.00	0.00	4.97	0.17	4.91	0.29	2.62	1.26	34.09	14.61
Bangalore-2022-180-146	146	Spider	843	SPIDER	ಜೇಡ	Jēḍa	4.53	1.05	4.91	0.29	4.94	0.24	4.56	0.66	2.47	1.24	82.53	17.04
Bangalore-2022-180-147	147	Spinning Wheel			ರಾತಾಡಿ	Rātāḍi	2.38	1.81	2.24	1.72	4.44	1.08	4.26	1.14	3.56	1.46	85.65	3.33
Bangalore-2022-180-148	148	Spool of thread			ದಾರಿಯ ರಿಲ	Dāriya Rila	4.21	1.15	4.71	0.80	4.91	0.29	4.74	0.51	2.53	1.13	79.60	9.20
Bangalore-2022-180-149	149	Spoon	1378	SPOON	ಚಮಚ	Camaca	4.91	0.29	5.00	0.00	5.00	0.00	4.74	0.62	1.91	1.00	77.47	13.16
Bangalore-2022-180-150	150	Squirrel	1628	SQUIRREL	ಮರ ಕಟಾಮು	Mara Kaṭāmu	4.68	0.98	5.00	0.00	4.97	0.17	4.79	0.41	2.21	1.09	5.88	16.89
Bangalore-2022-180-151	151	Star	1430	STAR	ನಕ್ಷತ್ರ	Nakṣatra	4.79	0.54	5.00	0.00	5.00	0.00	4.85	0.44	1.79	0.88	34.43	11.95
Bangalore-2022-180-152	152	Stove	859	STOVE	ಹೊಗೆಯ ಭುಗಾರಿ	Hogeya Bhugāri	2.71	1.62	2.62	1.71	4.00	1.69	3.65	1.70	3.35	1.77	2.29	13.34
Bangalore-2022-180-153	153	Suitcase			ಲಗೇಜ್	Lagaej	3.29	1.77	3.34	1.78	4.85	0.44	4.50	0.71	3.18	1.31	65.94	18.10
Bangalore-2022-180-154	154	Swan	2837	SWAN	ಹಂಸ	Haṃsa	4.82	0.58	5.00	0.00	4.79	0.59	4.74	0.62	2.47	1.19	51.73	12.27
Bangalore-2022-180-155	155	Sweater			ಸ್ವೇಟರ್	Svēṭar	3.79	1.82	4.09	1.48	4.97	0.17	4.62	0.99	2.44	1.19	56.44	4.78
Bangalore-2022-180-156	156	Swing	3101	SWING	ಊಂಜ	Ūnja	4.71	0.58	4.91	0.38	4.97	0.17	4.82	0.39	2.15	1.05	48.79	14.26
Bangalore-2022-180-157	157	Table	1775	TABLE	ಮೇಜು	Mēju	4.03	1.78	4.40	1.48	5.00	0.00	4.76	0.55	2.00	0.78	75.39	14.46
Bangalore-2022-180-158	158	Telephone	1379	TELEPHONE	ದೂರವಾಣಿ	Dūravāṇi	4.91	0.29	5.00	0.00	5.00	0.00	4.76	0.50	2.71	1.47	79.59	18.33
Bangalore-2022-180-159	159	Television	1788	TELEVISION	ಟಿವಿ	Ṭivi	4.06	1.07	4.82	0.39	4.97	0.17	4.56	0.66	2.88	1.32	86.49	10.11
Bangalore-2022-180-160	160	Thumb	1781	THUMB	ಬೊಟ್ಟೆ	Boṭṭe	4.97	0.17	5.00	0.00	5.00	0.00	4.79	0.54	1.59	0.99	45.50	9.96
Bangalore-2022-180-161	161	Toe	1389	TOE	ಪಾದದ ಬೆರಳು	Pādada Beraḷu	4.82	0.52	4.88	0.69	5.00	0.00	4.79	0.48	1.65	1.07	95.92	6.82
Bangalore-2022-180-162	162	Top	3995	TOP (TOY)	ಬೊಂಬೆ	Bombe	4.82	0.39	5.00	0.00	4.88	0.41	4.88	0.33	2.41	0.96	91.01	8.84
Bangalore-2022-180-163	163	Train	900	TRAIN	ರೈಲು	Railu	4.79	0.59	4.88	0.69	4.94	0.34	4.71	0.68	2.18	1.09	99.84	0.95
Bangalore-2022-180-164	164	Tree	906	TREE	ಮರ	Mara	4.94	0.24	5.00	0.00	4.91	0.38	4.82	0.52	1.59	0.78	31.76	26.49
Bangalore-2022-180-165	165	Trumpet	775	TRUMPET	ಕಹಳೆ	Kahale	4.03	1.60	4.10	1.67	4.65	0.77	4.68	0.64	3.35	1.37	91.35	3.31
Bangalore-2022-180-166	166	Turtle	112	TURTLE	ಆಮೆ	Āme	4.97	0.17	5.00	0.00	4.82	0.46	4.76	0.65	2.15	1.08	94.47	5.96
Bangalore-2022-180-167	167	Umbrella	3105	UMBRELLA	ಕವಚ	Kavaca	4.94	0.24	5.00	0.00	4.94	0.34	4.79	0.48	2.21	0.84	23.65	6.12
Bangalore-2022-180-168	168	Vase	3746	VASE	ಹೂವುಕೋಲು	Hūvukōlu	2.68	2.51	3.35	2.07	4.76	0.55	4.53	0.61	3.44	1.16	5.54	15.98
Bangalore-2022-180-169	169	Vest	3140	VEST	ಬನಿಯನ್	Baniyan	2.62	2.13	2.91	2.01	4.79	0.54	4.53	0.79	3.32	1.36	27.71	17.69
Bangalore-2022-180-170	170	Vinyl			ವಿನೈಲ್	Vinail	4.32	1.20	4.47	1.28	4.47	0.99	4.32	0.98	4.03	1.11	84.81	8.91
Bangalore-2022-180-171	171	Violin			ವಯಲಿನ್	Vayalin	4.94	0.24	4.97	0.17	4.68	0.88	4.76	0.61	3.59	1.28	42.67	38.25
Bangalore-2022-180-172	172	Wagon	122	CART	ವಾಗನ್	Vāgan	2.26	2.18	3.13	2.02	4.09	1.26	4.44	1.02	4.06	1.18	13.54	10.37
Bangalore-2022-180-173	173	Watch	3349	WRISTWATCH	ಗಡಿಯಾರ	Gaḍiyāra	4.91	0.29	5.00	0.00	4.94	0.34	4.85	0.44	2.74	1.08	82.88	6.23
Bangalore-2022-180-174	174	Watering can			ನೀರು ಹೊಡೆಯುವ ಬದ	Nīru Hoḍeyuva Bada	3.74	1.73	4.21	1.47	4.59	0.82	4.82	0.46	3.50	1.21	26.90	9.71
Bangalore-2022-180-175	175	Watermelon	2766	WATERMELON	ಕಲಂಗಡಿ ಹಣ್ಣು	Kalaṅgaḍi Haṇṇu	4.85	0.36	5.00	0.00	4.97	0.17	4.76	0.55	2.15	1.16	85.81	3.87
Bangalore-2022-180-176	176	Well	954	WELL	ಭಾವಿ	Bhāvi	4.88	0.33	5.00	0.00	4.85	0.50	4.94	0.24	2.12	0.91	99.84	0.95
Bangalore-2022-180-177	177	Wheel	710	WHEEL	ಚಕ್ರ	Cakra	4.91	0.29	5.00	0.00	4.97	0.17	4.91	0.29	2.21	0.73	94.12	5.97
Bangalore-2022-180-178	178	Whistle	3107	WHISTLE (INSTRUMENT)	ಜೋಗಿ	Jōgi	4.24	1.21	4.50	1.08	4.85	0.50	4.85	0.56	2.21	0.81	54.32	8.07
Bangalore-2022-180-179	179	Window	1375	WINDOW	ಕಿಟಕಿ	Kiṭaki	4.65	0.60	4.91	0.29	4.91	0.29	4.59	0.74	2.44	1.26	96.74	3.78
Bangalore-2022-180-180	180	Zebra	3675	ZEBRA	ಬೆಳ್ಳಿಯ ಹುಲಿ	Beḷḷiya Huli	2.32	2.40	2.57	1.90	4.53	0.83	4.76	0.55	3.18	1.14	34.78	11.80
