ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TURKISH	MODAL_NAME	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	CONCEPTUAL_FAMILIARITY_MEAN	CONCEPTUAL_FAMILIARITY_SD	TURKISH_AOA_MEAN	TURKISH_AOA_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	SYLLABLES_NUMBER	LETTERS_NUMBER	WORD_FREQUENCY
Raman-2013-260-174	174	pipe	1124	PIPE	Pipo	Pipo	81	4.16	1.47	4.61	0.53	3.38	0.89	1.19	1.36	2	4	1.32
Raman-2013-260-175	175	pitcher	120	PITCHER	Sürahi	Sürahi	91	4.00	1.37	4.85	0.68	2.33	0.94	1.09	0.00	3	6	1.51
Raman-2013-260-176	176	pliers	4003	PLIERS	kerpeten	Pens	71	4.19	0.87	4.68	0.38	2.98	0.85	1.09	1.22	1	4	0.31
Raman-2013-260-177	177	plug			Fiş	Fiş	67	3.17	0.97	4.44	0.44	2.59	0.92	1.75	0.73	1	3	5.94
Raman-2013-260-178	178	pocketbook			Çanta	Çanta	100	3.59	0.82	4.71	0.67	2.07	0.87	1.25	1.59	2	5	8.10
Raman-2013-260-179	179	pot	1462	POT	Tencere	Tava	45	3.17	1.47	4.81	0.94	2.28	0.79	1.16	0.55	2	4	3.63
Raman-2013-260-180	180	potato	593	POTATO	patates	patates	93	4.59	0.78	4.64	0.62	1.89	0.67	1.34	0.34	3	7	25.58
Raman-2013-260-181	181	pumpkin	864	PUMPKIN	Balkabağı	Balkabağı	98	3.17	1.17	4.51	0.83	2.72	0.88	1.34	1.21	4	9	0.40
Raman-2013-260-182	182	rabbit	1136	RABBIT	Tavşan	Tavşan	100	3.97	0.97	4.73	0.95	2.15	0.97	1.31	0.94	2	6	18.85
Raman-2013-260-183	183	raccoon	828	RACCOON	Rakun	Tilki	23	3.19	0.96	4.19	0.75	2.92	0.96	1.53	0.30	2	5	15.59
Raman-2013-260-184	184	record player	4004	RECORD PLAYER	Pikap	Gramofon	30	1.88	0.86	4.27	0.83	3.49	1.08	1.66	0.59	3	8	1.24
Raman-2013-260-185	185	refrigerator	3952	REFRIGERATOR	Buzdolabı	Buzdolabı	93	4.59	0.82	4.83	0.60	1.95	0.95	1.09	1.37	4	9	6.11
Raman-2013-260-186	186	rhinoceros	2591	RHINOCEROS	Gergedan	Gergedan	75	4.50	0.91	4.29	0.67	3.21	0.88	1.31	0.99	3	8	0.94
Raman-2013-260-187	187	ring	1374	RING	Yüzük	Yüzük	93	3.71	1.06	4.53	0.81	2.59	0.96	1.31	0.85	2	5	7.64
Raman-2013-260-188	188	rocking chair	3999	ROCKING CHAIR	Sallanan sandalye	Sallanan sandalye	51	4.32	1.57	4.66	0.50	2.31	0.94	1.28	0.94	6	17	0.06
Raman-2013-260-189	189	roller skate			Paten	Paten	73	3.29	1.36	4.47	0.40	3.08	0.85	1.63	0.98	2	5	1.07
Raman-2013-260-190	190	rolling pin	4002	ROLLING PIN	Merdane	Merdane	44	4.03	1.31	4.64	0.80	2.64	0.77	1.09	0.34	3	7	0.61
Raman-2013-260-191	191	rooster	1511	ROOSTER	Horoz	Horoz	100	3.97	0.83	4.66	0.34	1.89	0.80	1.59	0.42	2	5	7.28
Raman-2013-260-192	192	ruler	3405	RULER	Cetvel	Cetvel	100	4.55	0.93	4.78	0.51	2.16	0.81	1.16	1.01	2	6	4.18
Raman-2013-260-193	193	sail boat			Yelkenli	Yelken	78	3.42	1.04	4.75	0.69	2.49	0.81	1.53	1.37	2	6	9.40
Raman-2013-260-194	194	salt shaker			Tuzluk	Tuzluk	91	3.87	1.40	4.81	0.66	2.25	0.81	1.19	1.27	2	6	0.57
Raman-2013-260-195	195	sandwich	4008	SANDWICH	Sandviç	Sandviç	96	4.09	0.88	4.86	1.02	2.02	1.16	1.44	0.30	2	7	3.50
Raman-2013-260-196	196	saw	1948	SAW	Testere	Testere	65	3.08	0.92	4.68	0.74	2.79	0.91	1.06	0.98	3	7	2.73
Raman-2013-260-197	197	scissors	356	SHEARS	Makas	Makas	100	4.06	1.26	4.81	0.90	2.20	0.95	1.09	0.66	2	5	5.73
Raman-2013-260-198	198	screw	1802	SCREW	Vida	Vida	82	3.81	1.26	4.51	0.75	3.02	0.97	1.44	0.78	2	4	1.55
Raman-2013-260-199	199	screwdriver	836	SCREWDRIVER	Tornavida	Tornavida	91	3.91	1.08	4.59	0.79	3.16	0.95	1.16	0.86	4	9	0.94
Raman-2013-260-200	200	sea horse			Deniz atı	Deniz atı	88	4.19	0.93	4.41	0.45	3.38	0.96	1.78	0.39	4	9	0.02
Raman-2013-260-201	201	seal	651	SEAL	Fok Balığı	Fok Balığı	84	4.16	0.96	4.41	1.09	2.87	0.98	1.44	0.81	4	10	0.02
Raman-2013-260-202	202	sheep	1331	SHEEP	Koyun	Koyun	73	4.47	1.50	4.41	0.97	2.15	1.05	1.34	0.81	2	5	35.30
Raman-2013-260-203	203	shirt	1622	SHIRT	Gömlek	Gömlek	100	4.31	1.34	4.85	0.97	2.31	1.12	1.13	0.55	2	6	14.69
Raman-2013-260-204	204	shoe	1381	SHOE	Ayakkabı	Ayakkabı	100	3.91	1.20	4.92	0.76	1.52	0.85	1.19	1.19	4	8	22.87
Raman-2013-260-205	205	skirt	1600	SKIRT	Etek	Etek	98	3.44	1.22	4.54	0.78	2.16	0.92	1.47	0.59	2	4	9.67
Raman-2013-260-206	206	skunk	3888	SKUNK	Kokarca	Kokarca	74	4.50	1.15	4.29	0.56	2.97	0.97	1.56	1.24	3	7	0.19
Raman-2013-260-207	207	sled	16	SLED	Kızak	Kızak	60	4.00	1.20	4.10	0.95	3.28	1.01	1.91	1.55	2	5	1.18
Raman-2013-260-208	208	snail	1543	SNAIL	Salyangoz	Salyangoz	68	4.66	1.18	4.56	0.69	2.25	0.95	1.50	0.93	3	9	2.73
Raman-2013-260-209	209	snake	730	SNAKE	Yılan	Yılan	100	3.58	0.86	4.47	1.07	2.30	0.80	1.72	1.36	2	5	25.54
Raman-2013-260-210	210	snowman	3098	SNOWMAN	Kardanadam	Kardanadam	96	4.75	1.45	4.56	0.87	2.08	0.92	1.13	1.29	4	10	0.15
Raman-2013-260-211	211	socks	1522	SOCK	çorap	çorap	100	3.10	1.50	4.81	0.68	1.79	0.81	1.19	0.72	2	5	9.23
Raman-2013-260-212	212	spider	843	SPIDER	Örümcek	Örümcek	93	3.32	1.02	4.49	0.67	2.28	0.76	1.34	0.94	3	7	11.46
Raman-2013-260-213	213	spinning wheel	4009	SPINNING WHEEL	çıkrık	eğirme makinasi	28	1.09	1.44	3.60	1.11	3.48	0.96	2.09	0.86	7	15	NA
Raman-2013-260-214	214	spool of thread			İplik	İplik	48	4.04	1.03	4.58	0.99	2.54	0.94	1.34	1.21	2	5	9.57
Raman-2013-260-215	215	spoon	1378	SPOON	Kaşık	Kaşık	100	4.72	1.12	4.81	1.25	1.64	0.94	1.06	1.41	2	5	16.94
Raman-2013-260-216	216	squirrel	1628	SQUIRREL	Sincap	Sincap	98	4.00	1.03	4.49	0.89	2.64	0.88	1.28	0.57	2	6	3.53
Raman-2013-260-217	217	star	1430	STAR	Yıldız	Yıldız	100	3.68	1.23	4.71	0.98	1.93	1.09	1.03	1.01	2	6	75.23
Raman-2013-260-218	218	stool	2058	STOOL	Tabure	Tabure	82	4.56	0.98	4.78	0.71	1.85	0.90	1.16	1.14	3	6	1.07
Raman-2013-260-219	219	stove	859	STOVE	Fırın	Ocak	55	3.96	1.00	4.83	0.81	2.34	0.97	1.63	1.52	2	4	84.26
Raman-2013-260-220	220	strawberry	3138	STRAWBERRY	Çilek	Çilek	100	3.19	1.14	4.85	0.63	1.98	0.92	1.41	0.47	2	5	4.68
Raman-2013-260-221	221	suitcase	4005	SUITCASE	Bavul	Bavul	64	4.03	1.38	4.86	0.86	2.38	1.09	1.41	0.45	2	5	6.11
Raman-2013-260-222	222	sun	1343	SUN	Güneş	Güneş	100	4.53	1.04	4.90	0.74	1.51	0.76	1.09	0.45	2	5	150.70
Raman-2013-260-223	223	swan	2837	SWAN	Kuğu	Kuğu	86	4.13	1.31	4.58	0.42	2.48	0.89	1.19	1.26	2	4	3.34
Raman-2013-260-224	224	sweater	4035	SWEATER	Kazak	Kazak	74	2.70	1.11	4.90	0.66	2.10	0.85	1.16	0.88	2	5	9.36
Raman-2013-260-225	225	swing	3101	SWING	Salıncak	Salıncak	95	4.10	1.26	4.66	0.81	1.85	1.04	1.13	0.87	3	8	2.31
Raman-2013-260-226	226	table	1775	TABLE	Masa	Masa	96	4.19	1.21	4.91	0.78	1.95	1.07	1.06	0.98	2	4	34.02
Raman-2013-260-227	227	telephone	1379	TELEPHONE	Telefon	Telefon	100	3.70	1.09	4.76	1.02	1.93	0.88	1.25	0.88	3	7	147.30
Raman-2013-260-228	228	television	1788	TELEVISION	Televizyon	Televizyon	100	3.94	1.24	4.83	0.73	1.84	0.98	1.38	1.21	4	10	114.94
Raman-2013-260-229	229	tennis racket	3096	RACKET	Tenis raketi	Raket	91	4.13	1.48	4.69	0.73	2.85	1.04	1.28	1.16	2	5	1.01
Raman-2013-260-230	230	thimble			Yüksük	Yüksük	32	2.75	1.32	3.98	0.48	3.10	0.83	1.69	1.05	2	6	0.55
Raman-2013-260-231	231	thumb	1781	THUMB	Başparmak	Parmak	53	4.50	1.30	4.80	0.92	1.54	1.00	1.13	1.19	2	6	39.22
Raman-2013-260-232	232	tie	1917	TIE	Kravat	Kravat	100	4.41	1.19	4.81	0.89	2.64	1.07	1.19	0.69	2	6	5.29
Raman-2013-260-233	233	tiger	846	TIGER	Kaplan	Kaplan	98	4.84	1.07	4.34	1.07	2.51	1.07	1.44	0.90	2	6	8.54
Raman-2013-260-234	234	toaster	4010	TOASTER	Ekmek kızartma makinesi	Ekmek kızartma makinesi	45	3.78	1.30	4.59	1.10	2.85	0.92	1.44	1.42	9	23	0.19
Raman-2013-260-235	235	toe	1389	TOE	Ayak parmağı	Parmak	65	4.77	1.01	4.78	0.74	1.52	0.95	1.19	0.18	2	6	39.22
Raman-2013-260-236	236	tomato	986	TOMATO	Domates	Domates	100	4.81	1.34	4.85	0.70	1.70	0.97	1.03	0.18	3	7	25.56
Raman-2013-260-237	237	toothbrush	2579	TOOTHBRUSH	Diş fırçası	Diş fırçası	100	4.31	1.19	4.81	0.81	1.70	0.95	1.00	1.52	4	11	0.97
Raman-2013-260-238	238	top	3995	TOP (TOY)	Topaç	Topaç	74	3.77	1.02	4.31	1.00	2.49	0.95	1.84	1.11	2	5	2.22
Raman-2013-260-239	239	traffic lights			Trafik ışığı	Trafik lambası	52	3.90	1.29	4.80	0.87	2.62	0.89	1.50	1.53	5	14	0.23
Raman-2013-260-240	240	train	900	TRAIN	Tren	Tren	100	3.90	1.36	4.63	0.83	2.57	0.84	1.75	0.77	1	4	35.95
Raman-2013-260-241	241	tree	906	TREE	Ağaç	Ağaç	100	4.59	1.26	4.97	0.83	1.54	0.81	1.53	0.62	2	4	67.78
Raman-2013-260-242	242	truck	4011	TRUCK	Kamyon	Kamyon	73	3.42	1.33	4.71	0.78	2.34	0.80	1.47	0.34	2	6	15.09
Raman-2013-260-243	243	trumpet	775	TRUMPET	Trompet	Saksafon	33	2.18	1.59	4.44	0.66	3.38	0.90	1.50	0.62	3	8	0.78
Raman-2013-260-244	244	turtle	112	TURTLE	kaplumbağa	kaplumbağa	100	4.69	1.15	4.71	0.85	2.23	0.94	1.38	1.34	4	10	9.65
Raman-2013-260-245	245	umbrella	3105	UMBRELLA	Şemsiye	Şemsiye	98	1.71	1.28	4.78	0.78	2.10	0.89	1.31	0.25	3	7	5.58
Raman-2013-260-246	246	vase	3746	VASE	Vazo	Vazo	96	3.69	1.52	4.66	0.45	2.54	0.76	1.47	1.10	2	4	3.74
Raman-2013-260-247	247	vest	3140	VEST	Yelek	Yelek	98	3.61	1.42	4.63	0.96	2.61	1.02	1.31	0.85	2	5	2.06
Raman-2013-260-248	248	violin	4023	VIOLIN	Keman	Keman	84	4.63	1.43	4.76	0.47	2.69	0.86	1.41	0.94	2	5	9.57
Raman-2013-260-249	249	wagon	122	CART	Yük vagonu	Araba	23	2.15	1.57	4.32	0.54	2.85	0.90	1.53	0.64	3	5	60.52
Raman-2013-260-250	250	watch	3349	WRISTWATCH	Kol Saati	Kol Saati	82	3.97	1.18	4.90	0.40	2.26	0.89	1.41	0.64	4	9	0.25
Raman-2013-260-251	251	watering can			Su süzgeci	Süzgeç	13	1.58	1.18	4.75	0.75	2.66	0.92	1.28	0.95	2	6	1.76
Raman-2013-260-252	252	watermelon	2766	WATERMELON	Karpuz	Karpuz	100	4.75	1.45	4.86	0.94	1.95	0.92	1.28	0.87	2	6	7.87
Raman-2013-260-253	253	well	954	WELL	 kuyu	Kuyu	91	4.44	1.10	4.54	0.66	2.89	0.92	1.78	1.08	2	4	12.19
Raman-2013-260-254	254	wheel	710	WHEEL	Tekerlek	Tekerlek	100	3.72	1.22	4.63	0.70	2.51	0.98	1.59	0.89	3	8	3.44
Raman-2013-260-255	255	whistle	3107	WHISTLE (INSTRUMENT)	Düdük	Düdük	98	4.55	1.36	4.58	0.67	2.39	0.82	1.16	1.16	2	5	5.33
Raman-2013-260-256	256	windmill	3841	WINDMILL	Yeldeğirmeni	Yeldeğirmeni	64	3.63	1.68	4.54	0.99	3.07	1.01	1.59	1.16	5	12	0.40
Raman-2013-260-257	257	window	1375	WINDOW	Pencere	Pencere	100	4.19	1.62	4.71	0.72	2.05	0.94	1.59	0.42	3	7	31.19
Raman-2013-260-258	258	wine glass			Şarap bardağı	Kadeh	41	2.48	1.77	4.73	0.81	2.13	1.04	1.09	0.30	2	5	13.43
Raman-2013-260-259	259	wrench	1361	TOOL	İngiliz anahtarı	Anahtar	41	3.83	1.85	4.59	0.67	3.00	0.79	1.03	0.86	3	7	38.11
Raman-2013-260-260	260	zebra	3675	ZEBRA	Zebra	Zebra	89	3.66	1.73	4.59	0.82	2.66	0.95	1.78	0.18	2	5	0.86
