ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	HINDI	NAMEABILITY	H_VALUE	NAME_AGREEMENT	IMAGE_AGREEMENT	FAMILIARITY	VISUAL_COMPLEXITY	AOA_HINDI	FREQUENCY_LOG	PHONEMES_NUMBER	ALPHA_SYLLABLES_NUMBER	SYLLABLES_NUMBER	LATENCY_MS
Ramanujan-2019-158-23	23	butterfly	1791	BUTTERFLY	बििली (titlee)	1.00	0.00	1.00	4.92	4.90	4.92	3.64	0.25	5.00	3.00	2.00	1221.32
Ramanujan-2019-158-24	24	camel	1871	CAMEL	ऊंट (oont)	1.00	0.00	1.00	4.85	4.80	4.85	4.34	0.94	3.00	3.00	1.00	1163.29
Ramanujan-2019-158-25	25	candle	1273	CANDLE	मोमबत्ती (mombatti)	1.00	0.00	1.00	4.81	4.95	4.81	4.39	0.39	7.00	5.00	3.00	1028.48
Ramanujan-2019-158-26	26	canon			िोप (tohp)	0.97	0.00	1.00	4.72	4.56	4.72	6.18	1.47	3.00	2.00	1.00	1260.94
Ramanujan-2019-158-27	27	car	1111	CAR	गाडी (gaadi)	0.58	0.71	0.85	4.90	4.90	4.90	3.90	1.75	4.00	2.00	2.00	915.48
Ramanujan-2019-158-28	28	carrot	3085	CARROT	गाजर (gaajar)	1.00	0.00	1.00	4.80	4.97	4.80	3.88	0.33	4.00	3.00	2.00	1106.44
Ramanujan-2019-158-29	29	cat	1208	CAT	बबल्ली (billi)	1.00	0.00	1.00	4.80	4.93	4.80	3.22	0.92	5.00	3.00	2.00	882.03
Ramanujan-2019-158-30	30	chain	1627	CHAIN	जंजीर (zanjeer)	0.76	0.58	0.89	4.80	4.80	4.80	6.30	0.63	5.00	3.00	2.00	--
Ramanujan-2019-158-31	31	chair	1476	CHAIR	कु सी (kursi)	1.00	0.00	1.00	4.83	4.95	4.83	3.75	1.53	5.00	3.00	2.00	1001.29
Ramanujan-2019-158-32	32	chicken	1318	CHICKEN	मुगी (murgi)	0.98	0.82	0.74	4.86	4.90	2.03	3.83	0.58	5.00	3.00	2.00	1048.38
