ID	NUMBER	RANK	STABILITY_SCORE	GERMAN	NELEX_ID	ENGLISH	RUSSIAN	GERMAN_ANNOTATION	ENGLISH_ANNOTATION	RUSSIAN_ANNOTATION	CONCEPTICON_GLOSS	CONCEPTICON_ID	NOTE
Dellert-2017-1016-208	208	486	-1.115147	Onkel	Onkel::N	uncle	дядя	BSP:Bruder des Vaters	EX:father's brother	НАПР:брат отца	UNCLE	1327	
Dellert-2017-1016-209	209	454	-1.183077	Tante	Tante::N	aunt	тётя	BSP:Schwester des Vaters	EX:father's sister	НАПР:сестра отца	AUNT	1272	
Dellert-2017-1016-210	210	278	-1.11715	Ehemann	Ehemann::N	husband	муж	Gatte	male spouse	супруг	HUSBAND	1200	
Dellert-2017-1016-211	211	587	-0.079881	Ehefrau	Ehefrau::N	wife	жена	Gattin	female spouse	супруга	WIFE	1199	
Dellert-2017-1016-212	212	521	-1.123362	Freude	Freude::N	joy	радость	Gefühl	emotion	чувство	JOY	2524	
Dellert-2017-1016-213	213	489	-1.108177	Gelächter	Gelächter::N	laughter	смех				LAUGHTER	2958	
Dellert-2017-1016-214	214	657	-0.023141	Glück	Glück::N	happiness	счастье	Glückseligkeit		чувство довольства	HAPPINESS	2941	POS
Dellert-2017-1016-215	215	831	-0.051489	Kummer	Kummer::N	grief	горе	Trauer, Traurigkeit	sorrow, sadness	сильная печаль	GRIEF	1668	
Dellert-2017-1016-216	216	731	-0.039648	Wunsch	Wunsch::N	wish	желание	Sehnsucht	longing	стремление к осуществлению чего-нибудь	LONGING (WISH)	2960	not distinct from DESIRE
Dellert-2017-1016-217	217	629	-0.091798	Lust	Lust::N	desire	влечение	Streben nach Besitz	to have something	стремление к обладанию	DESIRE	2117	
Dellert-2017-1016-218	218	119	-2.230855	Geist	Geist::N	spirit	дух	Lebensgeist, innere Kraft	inner energy of a being	внутренняя сила или сущность	SPIRIT	53	
Dellert-2017-1016-219	219	534	-0.084797	Gedanke	Gedanke::N	thought	мысль				THOUGHT	2975	POS
Dellert-2017-1016-220	220	669	-0.099963	Gedächtnis	Gedächtnis::N	memory	память	Erinnerungsvermögen	human ability to record information	способность запоминать информацию	MEMORY	1018	
Dellert-2017-1016-221	221	211	-1.176541	Verstand	Verstand::N	mind	ум	Denkfähigkeit	ability for rational thought	способность мыслить	MIND	1562	
Dellert-2017-1016-222	222	531	-0.093309	Sinn	Sinn::N	meaning	смысл	Bedeutungsgehalt	denotation	суть, содержание	MEANING	2950	
Dellert-2017-1016-223	223	518	-1.127483	Grund	Grund::N	reason	причина	Begründung	motive, rationale	основание, повод	REASON	2968	
Dellert-2017-1016-224	224	722	-0.064448	Wahrheit	Wahrheit::N	truth	правда				TRUTH	1638	
Dellert-2017-1016-225	225	932	0.06389	Gespräch	Gespräch::N	talk	беседа		conversation		CONVERSATION	2933	POS
Dellert-2017-1016-226	226	953	0.098739	Märchen	Märchen::N	fairy tale	сказка				FAIRY TALE	2937	not distinct from STORY
Dellert-2017-1016-227	227	803	-0.045495	Erzählung	Erzählung::N	story	рассказ	mündlich	oral narration	устный	STORY	2060	
Dellert-2017-1016-228	228	848	-0.083801	Nachricht	Nachricht::N	message	сообщение				MESSAGE	2961	
Dellert-2017-1016-229	229	547	-0.067276	Neuigkeit	Neuigkeit::N	news	новость				NEWS	2964	
Dellert-2017-1016-230	230	40	-2.259035	Name	Name::N	name	имя	eines Menschen	of a person	человека	NAME	1405	
Dellert-2017-1016-231	231	975	0.068077	Rätsel	Rätsel::N	puzzle	загадка	Aufgabe zum Erraten	riddle	НАПР:загадать загадку	RIDDLE	2970	
Dellert-2017-1016-232	232	913	0.086429	Rede	Rede::N	speech	речь	Ansprache	long oral message	устное выступление	SPEECH	1115	
Dellert-2017-1016-233	233	90	-2.283234	Sprache	Sprache::N	language	язык			средство общения	LANGUAGE	1307	
Dellert-2017-1016-234	234	124	-2.212892	Stimme	Stimme::N	voice	голос	von Stimmbändern erzeugte Geräusch	sounds uttered by vocal cords	звуки горловых связок	VOICE	1363	
Dellert-2017-1016-235	235	154	-1.181753	Wort	Wort::N	word	слово	sprachliche Einheit	unit of language	единица языка	WORD	1599	
Dellert-2017-1016-236	236	402	-1.118301	Zeichen	Zeichen::N	sign	знак	Gegenstand mit Informationsgehalt	object bearing a message	символ	SIGN	1720	
Dellert-2017-1016-237	237	752	-0.090531	Ruf	Ruf::N	call	зов	Aufruf	appeal	призыв	CALL (APPEAL)	2944	POS
Dellert-2017-1016-238	238	877	-0.019077	Lärm	Lärm::N	noise	шум	unangenehm lauter Schall	unwanted loud sounds	гул, разные звуки	NOISE	1182	
Dellert-2017-1016-239	239	230	-1.13465	Laut	Laut::N	sound	звук	Geräusch	sensation perceived by the ear	то, что воспринимается слухом	SOUND OR NOISE	1811	
Dellert-2017-1016-240	240	925	0.0209	Ton	Ton::N	tone	тон	Klang einer bestimmten Tonhöhe	sound of a specific pitch	музыкальный звук, звук определённой высоты	TONE (MUSIC)	2995	
Dellert-2017-1016-241	241	360	-1.115189	Lied	Lied::N	song	песня				SONG	1096	
Dellert-2017-1016-242	242	631	-0.089142	Ruhe	Ruhe::N	calm	покой	Abwesenheit von Lärm und Störungen	absence of noise and disturbances	отсутствие шума и помех	QUIET	1314	POS
Dellert-2017-1016-243	243	611	-0.040498	Leute	Leute::N	people	люди		many persons		PEOPLE	789	distinct from PERSON
Dellert-2017-1016-244	244	401	-1.118646	Volk	Volk::N	nation	народ	Menschen einer Ethnie	community of people with a common culture	совокупность людей общей культуры	PEOPLE	789	
Dellert-2017-1016-245	245	193	-1.138146	Arbeit	Arbeit::N	work	работа	Tätigkeit	employment	занятие, труд	WORK (LABOUR)	984	
Dellert-2017-1016-246	246	426	-1.149378	Gast	Gast::N	guest	гость				GUEST	1782	
Dellert-2017-1016-247	247	780	-0.01435	Geschenk	Geschenk::N	gift	подарок				GIFT	2982	POS (DONATE)
Dellert-2017-1016-248	248	339	-1.157994	Spiel	Spiel::N	game	игра	spielerische Betätigung	playful activity	занятие для развлечения, отдыха	GAME	2467	
Dellert-2017-1016-249	249	979	0.040639	Gesellschaft	Gesellschaft::N	company	общество	Begleitung	companionship	компания	COMPANIONSHIP	2983	
Dellert-2017-1016-250	250	482	-1.120418	Hilfe	Hilfe::N	help	помощь				HELP	1897	POS
Dellert-2017-1016-251	251	254	-1.173862	Freund	Freund::N	friend	друг	sehr nahestehender Mensch	person whose company one enjoys	связанный хорошими отношениями НАПР:друг детства	FRIEND	1325	
Dellert-2017-1016-252	252	908	0.056385	Kamerad	Kamerad::N	companion	приятель	mit dem man Zeit verbringt	with whom one spends time	близкий знакомый	FRIEND	1325	not distinct from FRIEND
Dellert-2017-1016-253	253	295	-1.16408	Angelegenheit	Angelegenheit::N	matter	дело	Sache, Fall	affair	НАПР:важное дело	MATTER	2150	maybe AFFAIR
Dellert-2017-1016-254	254	599	-0.059318	Anzahl	Anzahl::N	count	количество	zählbarer Dinge	quantity counted	множество, число НАПР:количество/число гостей	COUNT (QUANTITY)	2945	not NUMBER
Dellert-2017-1016-255	255	298	-1.152476	Art	Art::N	sort	вид	Sorte	type	разновидность	KIND (THING)	844	
Dellert-2017-1016-256	256	362	-1.105774	Stück	Stück::N	piece	кусок	abtrennbarer Teil eines Ganzen	separable part of a larger whole	отделённая часть чего-л. НАПР:кусок мяса	PIECE	594	
Dellert-2017-1016-257	257	175	-1.107965	Teil	Teil::N	part	часть	Teilmenge eines Ganzen	fraction of a whole	доля некоего целого НАПР:часть урожая	PART	779	
Dellert-2017-1016-258	258	220	-1.152555	Hälfte	Hälfte::N	half	половина	einer Menge	of a quantity	количества	HALF	816	
Dellert-2017-1016-259	259	691	-0.04573	Kreis	Kreis::N	circle	круг	geometrische Figur	geometric figure	геометрическая фигура	CIRCLE	1467	
Dellert-2017-1016-260	260	491	-1.105002	Kreuz	Kreuz::N	cross	крест	geometrische Figur	geometric figure	геометрическая фигура	CROSS	1367	
Dellert-2017-1016-261	261	735	-0.027575	Linie	Linie::N	line	линия	geometrische Figur	geometric figure	геометрическая фигура	LINE	1048	
Dellert-2017-1016-262	262	681	-0.065361	Strich	Strich::N	stroke	черта	mit einem Schreibgerät gezogen	drawn with a writing implement	нарисованная	STROKE (OF PEN)	2993	
Dellert-2017-1016-263	263	717	-0.074337	Abstand	Abstand::N	gap	промежуток	zwischen Gegenständen	between objects	между предметами	GAP (DISTANCE)	2948	
Dellert-2017-1016-264	264	787	-0.094296	Entfernung	Entfernung::N	distance	расстояние	zwischen zwei Punkten	between two points	между точками	DISTANCE	2978	
Dellert-2017-1016-265	265	936	0.000573	Gegend	Gegend::N	area	местность	Gebiet, Bereich	extent of surface, region	окрестности	AREA	2980	
Dellert-2017-1016-266	266	800	-0.049206	Platz	Platz::N	space	место	verfügbarer Raum, BSP:in einem Schrank	available space between things, EX:in a closet	между предметами, НАПР:в шкафу	SPACE (AVAILABLE)	3006	
Dellert-2017-1016-267	267	110	-2.285601	Ort	Ort::N	place	место	definierte Stelle	location, position	пространство, пункт, где что-либо происходит, находится НАПР:место встречи, тёплое место, место в горах	PLACE (POSITION)	723	
Dellert-2017-1016-268	268	112	-2.269715	Seite	Seite::N	side	сторона	eines Gegenstandes	of an object	бок	SIDE	682	not SIDE
Dellert-2017-1016-269	269	142	-2.228071	Mitte	Mitte::N	middle	середина	mittlerer Teil von etwas	central part of something	центральная часть чего-либо	MIDDLE	1093	
Dellert-2017-1016-270	270	707	-0.014553	Gegenstand	Gegenstand::N	item	предмет	physisches Objekt	physical object	отдельный материальный объект	ITEM	2981	distinct from THING
Dellert-2017-1016-271	271	147	-2.211143	Sache	Sache::N	thing	вещь	unterscheidbare Einheit	distinct entity	явление действительности, обстоятельство, событие, случай НАПР:произошла странная вещь	THING	738	
Dellert-2017-1016-272	272	138	-2.239181	Rand	Rand::N	fringe	край	peripherer Teil	peripheral part	внешняя часть объекта НАПР: край крыши	FRINGE	2989	not distinct from EDGE
Dellert-2017-1016-273	273	435	-1.130462	Kante	Kante::N	edge	ребро	scharfer Rand	sharp terminating border	пересечение двух граней НАПР:ребро монеты	EDGE	863	
Dellert-2017-1016-274	274	662	-0.006265	Ecke	Ecke::N	corner	угол	hevorstehend, eines Gegenstandes	external angle	выступающий, на предмете НАПР:угол стола	CORNER	192	
Dellert-2017-1016-275	275	449	-1.199028	Spitze	Spitze::N	tip	кончик	eines spitzen Gegenstandes	of a pointy object	острый конец предмета НАПР:кончик ножа	TIP (OF OBJECT)	2992	
Dellert-2017-1016-276	276	151	-1.187531	Ende	Ende::N	end	конец	eines langen Gegenstands	of a long object	длинного предмета НАПР:верёвки	END (OF SPACE)	742	
Dellert-2017-1016-277	277	225	-1.143991	Loch	Loch::N	hole	дыра	in einem Gegenstand	in an object	отверстие в предмете	HOLE	1667	
Dellert-2017-1016-278	278	617	-0.025451	Winkel	Winkel::N	angle	угол	BSP: eines Zimmers	internal, EX:of a room	в углублении, НАПР:комнаты	CORNER	192	
Dellert-2017-1016-279	279	645	-0.054024	Muster	Muster::N	pattern	узор	sich wiederholende Struktur	regular repeated elements	повторяющийся рисунок	PATTERN	2988	
Dellert-2017-1016-280	280	766	-0.061526	Größe	Größe::N	size	размер	eines Gegenstandes	dimensions of an object	величина объекта	SIZE (OF OBJECT)	2845	not SIZE (OF PERSON)
Dellert-2017-1016-281	281	463	-1.155302	Länge	Länge::N	length	длина				LENGTH	2537	
Dellert-2017-1016-282	282	472	-1.141811	Höhe	Höhe::N	height	высота				HEIGHT	2985	
Dellert-2017-1016-283	283	638	-0.069679	Gewicht	Gewicht::N	weight	вес	gewogene Masse	mass as measured	тяжесть	WEIGHT	2466	
Dellert-2017-1016-284	284	821	-0.072776	Menge	Menge::N	amount	количество	messbare Menge eines Materials	measurable quantity of a material	величина, объём какого-то материала НАПР:количество воды	AMOUNT	2987	
Dellert-2017-1016-285	285	453	-1.185272	Haufen	Haufen::N	heap	куча				HEAP	2984	
Dellert-2017-1016-286	286	404	-1.113998	Reihe	Reihe::N	row	ряд	geradlinig angeordnete Objekte	line of objects	объектов расположенных в линию	ROW	1849	
Dellert-2017-1016-287	287	307	-1.141926	Boot	Boot::N	boat	лодка				BOAT	1844	
Dellert-2017-1016-288	288	166	-1.13072	Ruder	Ruder::N	oar	весло	Riemen	rowing implement		PADDLE	234	
Dellert-2017-1016-289	289	676	-0.077544	Schlitten	Schlitten::N	sleigh	сани	Fahrzeug auf Kufen		повозка на полозьях	SLED	16	
Dellert-2017-1016-290	290	779	-0.014428	Ski	Ski::N	ski	лыжа				SKI	2991	
Dellert-2017-1016-291	291	974	0.020956	Lagerfeuer	Lagerfeuer::N	campfire	костёр				CAMPFIRE	2986	
Dellert-2017-1016-292	292	765	-0.061976	Last	Last::N	load	тяжесть	auf Fahrzeug	on a vehicle	груз на повозке	LOAD	1679	
Dellert-2017-1016-293	293	509	-1.153809	Gang	Gang::N	walk	ходьба	Zurücklegen eines Weges	trip made by walking	процесс ходьбы	WALK (MANNER)	2979	
Dellert-2017-1016-294	294	172	-1.1143	Schritt	Schritt::N	step	шаг	Einzelschritt	single pace	одно движение ногой при ходьбе	STEP	1158	
Dellert-2017-1016-295	295	661	-0.0156	Norden	Norden::N	north	север				NORTH	1598	
Dellert-2017-1016-296	296	719	-0.070792	Süden	Süden::N	south	юг				SOUTH	1595	
Dellert-2017-1016-297	297	819	-0.073499	Westen	Westen::N	west	запад				WEST	1817	
Dellert-2017-1016-298	298	870	-0.077762	Osten	Osten::N	east	восток				EAST	1877	
Dellert-2017-1016-299	299	183	-1.182374	Holz	Holz::N	wood	древесина	Material	material	материал	WOOD	1803	
Dellert-2017-1016-300	300	273	-1.123448	Brett	Brett::N	board	доска	längliches flaches Stück Holz	long, wide and thin piece of wood	плоский длинный кусок дерева	BOARD	1227	
Dellert-2017-1016-301	301	861	-0.000631	Platte	Platte::N	slab	плита	flacher Gegenstand aus festem Material	flat piece of solid material	плоский кусок твёрдого материала	SLAB	2952	
Dellert-2017-1016-302	302	842	-0.014183	Stütze	Stütze::N	support, rest	опора, подпорка	etwas, das Halt gibt	something which keeps upright	удерживающая в устойчивом положении	SUPPORT (OF OBJECT)	2994	
Dellert-2017-1016-303	303	574	-0.009048	Stange	Stange::N	pole	жердь	länglicher dünner Gegenstand aus Holz	long and slender piece of wood	длинный тонкий шест из  дерева	POST	281	
Dellert-2017-1016-304	304	396	-1.124879	Stock	Stock::N	stick	палка	rundes Holzstück als Werkzeug	piece of wood used as a tool	ветка без сучьев или предмет такой формы	STICK	1295	
Dellert-2017-1016-305	305	620	-0.007761	Stab	Stab::N	staff	шест	langer gerader Stock	long straight stick	длинная палка	STICK	1295	
Dellert-2017-1016-306	306	721	-0.067171	Rohr	Rohr::N	pipe	труба	zylinderförmiger hohler Gegenstand	hollow conduit, tube	длинный полый предмет цилиндрической формы	TUBE	2956	not PIPE
Dellert-2017-1016-307	307	111	-2.282746	Haus	Haus::N	house	дом	Gebäude	building	здание	HOUSE	1252	
Dellert-2017-1016-308	308	355	-1.123574	Heim	Heim::N	home	дом	eigene Heimstatt	one’s own dwelling place	жилище, родной дом	HOME	2406	
Dellert-2017-1016-309	309	928	0.051695	Ofen	Ofen::N	stove	печь	zum Heizen	heater	для отапливания	STOVE	859	
Dellert-2017-1016-310	310	695	-0.039618	Fußboden	Fußboden::N	floor	пол	begehbare Fläche in einem Raum	supporting surface of a room	нижнее покрытие, настил в помещении	FLOOR	1632	
Dellert-2017-1016-311	311	725	-0.050909	Tisch	Tisch::N	table	стол				TABLE	1775	
Dellert-2017-1016-312	312	674	-0.084402	Stuhl	Stuhl::N	chair	стул				CHAIR	1476	
Dellert-2017-1016-313	313	541	-0.073293	Wiege	Wiege::N	cradle	колыбель				CRADLE	2946	
Dellert-2017-1016-314	314	726	-0.050388	Bett	Bett::N	bed	кровать				BED	1663	
Dellert-2017-1016-315	315	847	-0.090732	Regal	Regal::N	shelf	полка				SHELF	745	
Dellert-2017-1016-316	316	997	1.181704	Kiste	Kiste::N	box	ящик				BOX	1465	
Dellert-2017-1016-317	317	768	-0.058886	Fenster	Fenster::N	window	окно				WINDOW	1375	
Dellert-2017-1016-318	318	134	-2.255442	Tür	Tür::N	door	дверь				DOOR	1567	
Dellert-2017-1016-319	319	610	-0.040889	Tor	Tor::N	gate	ворота				GATE	2940	
Dellert-2017-1016-320	320	837	-0.031989	Zaun	Zaun::N	fence	забор				FENCE	1690	
Dellert-2017-1016-321	321	677	-0.07351	Dach	Dach::N	roof	крыша				ROOF	769	
Dellert-2017-1016-322	322	888	0.044087	Leiter	Leiter::N	ladder	лестница, стремянка	Steigleiter			LADDER	1464	
Dellert-2017-1016-323	323	849	-0.077011	Besen	Besen::N	broom	метла				BROOM	245	
Dellert-2017-1016-324	324	348	-1.135558	Spaten	Spaten::N	spade	лопата				SPADE	1176	
Dellert-2017-1016-325	325	321	-1.19241	Schaufel	Schaufel::N	shovel	совок				SHOVEL	1901	
Dellert-2017-1016-326	326	907	155	Gabel	Gabel::N	fork	вилка		for eating		FORK	1302	
Dellert-2017-1016-327	327	551	-0.055535	Löffel	Löffel::N	spoon	ложка				SPOON	1378	
Dellert-2017-1016-328	328	246	-1.188976	Messer	Messer::N	knife	нож				KNIFE	1352	
Dellert-2017-1016-329	329	834	-0.037881	Nagel	Nagel::N	nail	гвоздь	spitzer Metallstift zum Fixieren	spike-shaped metal fastener		NAIL (TOOL)	502	
Dellert-2017-1016-330	330	450	-1.195024	Netz	Netz::N	net	сеть	geknüpftes maschiges Gebilde	mesh of string	приспособление из переплетёных нитей/верёвок	NET	2963	hypernym of FISHNET
Dellert-2017-1016-331	331	566	-0.032141	Haken	Haken::N	hook	крюк				HOOK	1071	
Dellert-2017-1016-332	332	353	-1.125378	Griff	Griff::N	handle	рукоятка, ручка	zu greifender Teil eines Gegenstandes	part of an object which is held	часть предмета, за которую держат	HANDLE	1254	
Dellert-2017-1016-333	333	659	-0.020932	Schloss	Schloss::N	lock	замок				LOCK	1596	
Dellert-2017-1016-334	334	633	-0.084574	Bild	Bild::N	picture	картина				PICTURE	2401	
Dellert-2017-1016-335	335	775	-0.032159	Figur	Figur::N	figure	фигура, изваяние	BSP:Götterbild	EX:representing a god	НАПР:изображение божества	IDOL	1945	
Dellert-2017-1016-336	336	776	-0.025814	Puppe	Puppe::N	doll	кукла				DOLL	1659	
Dellert-2017-1016-337	337	887	0.040142	Beutel	Beutel::N	pouch	мешок			мешочек	POUCH	2951	
Dellert-2017-1016-338	338	713	-0.085133	Bündel	Bündel::N	bundle	связка	zusammengebundene Gegenstände	group of objects tied together	несколько связанных объектов, НАПР:вязанка дров	BUNDLE	2943	
Dellert-2017-1016-339	339	871	-0.065504	Tasche	Tasche::N	bag	сумка	tragbares Behältnis	container for carrying	для ношения предметов	BAG	2468	
Dellert-2017-1016-340	340	914	0.087895	Eimer	Eimer::N	bucket	ведро				BUCKET	2052	
Dellert-2017-1016-341	341	434	-1.131795	Deckel	Deckel::N	cover, lid	крышка		of a container	верхняя закрывающая часть	LID (COVER, CAP)	2319	
Dellert-2017-1016-342	342	934	0.087807	Geschirr	Geschirr::N	dishes	посуда	Kochgeschirr	dishware, crockery	кухонная утварь	DISH	481	
Dellert-2017-1016-343	343	637	-0.072639	Sack	Sack::N	sack	мешок			НАПР:для муки	SACK	2990	
Dellert-2017-1016-344	344	930	0.059295	Tasse	Tasse::N	cup	чашка				CUP	476	
Dellert-2017-1016-345	345	919	0.039835	Topf	Topf::N	pot	кастрюля	Kochtopf	vessel for cooking		POT	1462	
Dellert-2017-1016-346	346	363	-1.105024	Kessel	Kessel::N	kettle	котёл				KETTLE	854	
Dellert-2017-1016-347	347	559	-0.045695	Essen	Essen::N	meal	еда	Nahrungsaufnahme	process of food intake	приём пищи	MEAL	1526	
Dellert-2017-1016-348	348	564	-0.038161	Nahrung	Nahrung::N	food	пища				FOOD	256	
Dellert-2017-1016-349	349	890	0.048027	Speise	Speise::N	dish	блюдо				MEAL	1526	
Dellert-2017-1016-350	350	141	-2.228815	Fleisch	Fleisch::N	meat	мясо	Nahrungsmittel			MEAT	634	
Dellert-2017-1016-351	351	845	-0.000722	Getreide	Getreide::N	corn	злак		cereal plant grown for its grain		GRAIN	605	
Dellert-2017-1016-352	352	330	-1.176774	Brei	Brei::N	mush	каша				MUSH	400	maybe GRUEL
Dellert-2017-1016-353	353	128	-2.295693	Brot	Brot::N	bread	хлеб			пищевой продукт	BREAD	1368	
Dellert-2017-1016-354	354	714	-0.083365	Scheibe	Scheibe::N	slice	ломоть	BSP:Brot	EX:of bread	кусок отрезанный ножом, ломтик НАПР:кусок хлеба	SLICE	2954	
Dellert-2017-1016-355	355	116	-2.237866	Fett	Fett::N	fat	жир				FAT (ORGANIC SUBSTANCE)	323	
Dellert-2017-1016-356	356	113	-2.259152	Butter	Butter::N	butter	масло			сли́вочное	BUTTER	1245	
Dellert-2017-1016-357	357	184	-1.174151	Öl	Öl::N	oil	масло	Speiseöl	liquid vegetable fat	расти́тельное	OIL (ORGANIC SUBSTANCE)	1484	
Dellert-2017-1016-358	358	49	-2.287949	Salz	Salz::N	salt	соль				SALT	1274	
Dellert-2017-1016-359	359	671	-0.097114	Suppe	Suppe::N	soup	суп				SOUP	1547	
Dellert-2017-1016-360	360	264	-1.140209	Honig	Honig::N	honey	мёд				HONEY	942	
Dellert-2017-1016-361	361	122	-2.221959	Milch	Milch::N	milk	молоко				MILK	635	
Dellert-2017-1016-362	362	872	-0.063144	Tee	Tee::N	tea	чай	Getränk	drink	напиток	TEA	1373	
Dellert-2017-1016-363	363	568	-0.025137	Leder	Leder::N	leather	кожа			обработанная шкура	LEATHER	629	
Dellert-2017-1016-364	364	53	-2.266778	Wolle	Wolle::N	wool	шерсть				WOOL	964	
Dellert-2017-1016-365	365	634	-0.082998	Stoff	Stoff::N	cloth	ткань	Gewebe	woven fabric	тканая материя	CLOTH	1616	
Dellert-2017-1016-366	366	91	-2.268194	Nadel	Nadel::N	needle	игла	Nähnadel	for sewing		NEEDLE (FOR SEWING)	1382	
Dellert-2017-1016-367	367	395	-1.125565	Faden	Faden::N	thread	нитка				THREAD	1161	
Dellert-2017-1016-368	368	381	-1.16789	Knopf	Knopf::N	button	пуговица	an Kleidung	fastener on clothes		BUTTON	757	
Dellert-2017-1016-369	369	247	-1.188553	Knoten	Knoten::N	knot	узел	aus Schnur	looping of string	на верёвке, для завязания	KNOT	760	
Dellert-2017-1016-370	370	540	-0.074458	Farbe	Farbe::N	paint	краска	Mittel zum Einfärben	substance for colouring	вещество для придания цвета	PAINT (PIGMENTS)	647	
Dellert-2017-1016-371	371	651	-0.036563	Kleidung	Kleidung::N	clothes	одежда				CLOTHES	1895	
Dellert-2017-1016-372	372	767	-0.060393	Hemd	Hemd::N	shirt	рубашка				SHIRT	1622	
Dellert-2017-1016-373	373	747	-0.099163	Kragen	Kragen::N	collar	воротник	BSP:Mantelkragen	EX:on a coat		COLLAR	2012	
Dellert-2017-1016-374	374	263	-1.140808	Ärmel	Ärmel::N	sleeve	рукав				SLEEVE	2953	
Dellert-2017-1016-375	375	958	0.039885	Hose	Hose::N	trousers	брюки				TROUSERS	809	
Dellert-2017-1016-376	376	436	-1.126355	Gürtel	Gürtel::N	belt	пояс	Kleidung	clothing	одежда	BELT	772	
Dellert-2017-1016-377	377	605	-0.045329	Mütze	Mütze::N	cap	шапка		head covering		CAP	1288	
Dellert-2017-1016-378	378	947	0.059801	Schuh	Schuh::N	shoe	ботинок				SHOE	1381	
Dellert-2017-1016-379	379	891	0.054714	Stiefel	Stiefel::N	boot	сапог		heavy shoe covering part of the leg		BOOT	585	
Dellert-2017-1016-380	380	561	-0.041265	Ring	Ring::N	ring	кольцо	Schmuck	jewellery	украшение	RING	1374	
Dellert-2017-1016-381	381	1000	1374	Band	Band::N	ribbon	лента	Gewebestreifen	strip of cloth	узкая полоса ткани	RIBBON	2969	
Dellert-2017-1016-382	382	578	-0.000443	Kamm	Kamm::N	comb	расчёска	zum Kämmen der Haare	implement for grooming	для расчёсывания волос	COMB	1475	
Dellert-2017-1016-383	383	944	0.053631	Spiegel	Spiegel::N	mirror	зеркало				MIRROR	1171	
Dellert-2017-1016-384	384	347	-1.139976	Riemen	Riemen::N	strap	ремень	BSP:Lederstreifen	EX:strip of leather	Техника НАПР:полоса из кожи или другого материала	STRAP	2973	
Dellert-2017-1016-385	385	325	-1.187524	Schnur	Schnur::N	string	верёвка	aus Fäden geflochten	made from twisted threads	свитая из волокон или прядей	STRING	362	
Dellert-2017-1016-386	386	1008	1.146601	Leine	Leine::N	leash	поводок	BSP:Hundeleine	EX:dog leash	НАПР:для собаки	LEASH	2959	
Dellert-2017-1016-387	387	956	0.026321	Decke	Decke::N	blanket	одеяло	Bettdecke	for sleeping	постельная принадлежность	BLANKET	806	
Dellert-2017-1016-388	388	896	0.093189	Kissen	Kissen::N	pillow	подушка	Kopfkissen	for sleeping	постельная принадлежность	PILLOW	1044	
Dellert-2017-1016-389	389	937	0.009388	Tuch	Tuch::N	scarf	платок	Schultertuch	light, worn around the shoulders	шаль, повязывается на голову или надевается на плечи	CLOTH	1616	
Dellert-2017-1016-390	390	1003	1.135237	Handtuch	Handtuch::N	towel	полотенце	zum Trockenreiben	sed for wiping	для вытирания	TOWEL	1021	
Dellert-2017-1016-391	391	412	-1.1835	Kraft	Kraft::N	force	сила	die man ausübt	which is applied to produce an effect	способность совершать работу НАПР:сила рук	POWER	2526	not STRENGTH
Dellert-2017-1016-392	392	665	-0.003872	Stärke	Stärke::N	strength	крепость	Starksein	being strong	мощь, свойство быть сильным	STRENGTH	202	
Dellert-2017-1016-393	393	843	-0.009874	Gesundheit	Gesundheit::N	health	здоровье				HEALTHY	1364	POS
Dellert-2017-1016-394	394	746	-0.001922	Krankheit	Krankheit::N	illness	болезнь				DISEASE	1986	
Dellert-2017-1016-395	395	304	-1.145065	Schmerz	Schmerz::N	pain	боль			ощущение	PAIN	1783	
Dellert-2017-1016-396	396	240	-1.101738	Wunde	Wunde::N	wound	рана				WOUND	1109	
Dellert-2017-1016-397	397	923	0.007225	Fieber	Fieber::N	fever	лихорадка				FEVER	1534	
Dellert-2017-1016-398	398	648	-0.043546	Arznei	Arznei::N	medicine	лекарство		drug		MEDICINE	1372	
Dellert-2017-1016-399	399	88	-2.287016	Brücke	Brücke::N	bridge	мост				BRIDGE	1011	
Dellert-2017-1016-400	400	427	-1.147663	Brunnen	Brunnen::N	well	колодец	zur Gewinnung von Wasser	source of water	для добывания воды	WELL	954	
Dellert-2017-1016-401	401	940	0.030483	Weide	Weide::N	pasture	пастбище	Viehweide			PASTURE	649	
Dellert-2017-1016-402	402	683	-0.057681	Pfad	Pfad::N	path	тропа	schmaler Weg für Fußgänger	trail used by pedestrians	дорожка, тропинка, узкая дорога для пешеходов	PATH	2252	
Dellert-2017-1016-403	403	89	-2.285233	Weg	Weg::N	way	путь	Verbindung zwischen Orten	connection between places	маршрут, линия в пространстве, где что-либо передвигается НАПР:водный путь	ROAD	667	
Dellert-2017-1016-404	404	632	-0.086574	Straße	Straße::N	road	дорога	befestigter Weg für Fahrzeuge	way for travelling by vehicle	путь для транспорта	ROAD	667	
Dellert-2017-1016-405	405	581	-0.08999	Dorf	Dorf::N	village	деревня				VILLAGE	930	
Dellert-2017-1016-406	406	682	-0.060412	Stadt	Stadt::N	town	город				TOWN	1391	
Dellert-2017-1016-407	407	473	-1.140557	Brief	Brief::N	letter	письмо		written message		LETTER	1612	
Dellert-2017-1016-408	408	343	-1.148905	Buch	Buch::N	book	книга				BOOK	963	
Dellert-2017-1016-409	409	593	-0.067623	Buchstabe	Buchstabe::N	character	буква	Schriftzeichen	written symbol, letter	знак алфавита	CHARACTER	1024	
