ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	MEANING_1	FREQ_MEANING_1	MEANING_2	FREQ_MEANING_2	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-122	122	prop			to support, stabilize, or sustain with or as if with a beam, stick, stone, or the like	48.76	a piece of furniture or other article used for a theatrical presentation or the like; stage property	50.34	0.28	52	6.39	0.81	2.66	6	4	1.29	2.51	4.74	4.65
Maciejewski-2016-100-123	123	pulse	PULSE	3267	the periodic throbbing of arteries that results from the beating of the heart, especially as felt in the wrist or neck	73.77	an edible seed found in the pods of legumes such as peas or lentils	26.03	0.63	95	11.14	1.05	2.33	7	7	1.49	4.33	NA	4.86
Maciejewski-2016-100-124	124	pulse			the periodic throbbing of arteries that results from the beating of the heart, especially as felt in the wrist or neck	73.77	an edible seed found in the pods of legumes such as peas or lentils	26.03	0.63	95	11.14	1.05	2.33	7	7	1.49	4.33	NA	4.86
Maciejewski-2016-100-125	125	pump			a mechanical or biological device for compressing a fluid or gas, or moving it from one place to another, especially through pipes or the like	69.94	a simple low women's shoe without buckles, laces, or the like	28.96	0.6	82	12.59	1.1	2.26	13	11	1.54	5.03	5.56	5
Maciejewski-2016-100-126	126	pump			a mechanical or biological device for compressing a fluid or gas, or moving it from one place to another, especially through pipes or the like	69.94	a simple low women's shoe without buckles, laces, or the like	28.96	0.6	82	12.59	1.1	2.26	13	11	1.54	5.03	5.56	5
Maciejewski-2016-100-127	127	pupil	PUPIL (STUDENT)	753	any person who studies under a teacher	56.62	the small, dark, circular opening in the center of the eye, through which light passes to the retina	43.38	0.3	31	24.72	1.39	2.04	2	3	1.28	5.72	5.7	5.47
Maciejewski-2016-100-128	128	pupil	PUPIL	1658	any person who studies under a teacher	56.62	the small, dark, circular opening in the center of the eye, through which light passes to the retina	43.38	0.3	31	24.72	1.39	2.04	2	3	1.28	5.72	5.7	5.47
Maciejewski-2016-100-129	129	rail			a horizontal bar that extends between two posts and serves as a barrier, fence, or the like	82.55	to denounce someone or something in harsh or abusive terms; condemn (usually followed by against or at)	17.43	0.77	82	41.17	1.61	2.96	5	15	1.43	4.99	5.4	5.3
Maciejewski-2016-100-130	130	rail			a horizontal bar that extends between two posts and serves as a barrier, fence, or the like	82.55	to denounce someone or something in harsh or abusive terms; condemn (usually followed by against or at)	17.43	0.77	82	41.17	1.61	2.96	5	15	1.43	4.99	5.4	5.3
Maciejewski-2016-100-131	131	rank			the relative position of one person or group of persons to another in a hierarchy or society	63.56	having an extremely offensive odor or taste	36.44	0.53	75	24.57	1.39	2.91	14	13	1.88	2.48	NA	4.71
Maciejewski-2016-100-132	132	rank			the relative position of one person or group of persons to another in a hierarchy or society	63.56	having an extremely offensive odor or taste	36.44	0.53	75	24.57	1.39	2.91	14	13	1.88	2.48	NA	4.71
Maciejewski-2016-100-133	133	ray			a thin beam of radiation, especially light	76.32	any of various fishes having cartilaginous skeletons, flattened bodies, large pectoral fins, and long narrow tails	22.44	0.69	79	21.4	1.33	2.96	4	10	1.79	5.56	4.7	4.8
Maciejewski-2016-100-134	134	ray			a thin beam of radiation, especially light	76.32	any of various fishes having cartilaginous skeletons, flattened bodies, large pectoral fins, and long narrow tails	22.44	0.69	79	21.4	1.33	2.96	4	10	1.79	5.56	4.7	4.8
Maciejewski-2016-100-135	135	rear			the back part of something	69.8	to raise to maturity	29.97	0.55	70	29.82	1.47	3.26	9	11	1.57	3.67	4.02	4.78
Maciejewski-2016-100-136	136	rear			the back part of something	69.8	to raise to maturity	29.97	0.55	70	29.82	1.47	3.26	9	11	1.57	3.67	4.02	4.78
Maciejewski-2016-100-137	137	reef	REEF	660	a ridge of rock, sand, or coral rising to or near the surface of marine waters	86.79	the part of the sail that is drawn in and tied down to decrease the area exposed to the wind	12.82	0.82	87	5.5	0.74	2.72	4	5	1.09	4.85	NA	4.99
Maciejewski-2016-100-138	138	reef			a ridge of rock, sand, or coral rising to or near the surface of marine waters	86.79	the part of the sail that is drawn in and tied down to decrease the area exposed to the wind	12.82	0.82	87	5.5	0.74	2.72	4	5	1.09	4.85	NA	4.99
Maciejewski-2016-100-139	139	repair	REPAIR	2243	to restore to a sound state or condition following damage or injury	93.15	to go, as to another place	6.85	0.93	96	24.31	1.39	2.47	8	8	1.76	4.4	3.94	5.43
Maciejewski-2016-100-140	140	repair			to restore to a sound state or condition following damage or injury	93.15	to go, as to another place	6.85	0.93	96	24.31	1.39	2.47	8	8	1.76	4.4	3.94	5.43
Maciejewski-2016-100-141	141	sack	SACK	2990	a large bag, usually made of coarsely woven material or thick paper, used for holding or transporting items in bulk, such as feed, gravel, potatoes, and the like	59.8	to rob of valuables after capturing; plunder; despoil	16.45	0.73	72	10.41	1.02	3.48	10	13	1.8	5.55	5.82	4.71
Maciejewski-2016-100-142	142	sack			a large bag, usually made of coarsely woven material or thick paper, used for holding or transporting items in bulk, such as feed, gravel, potatoes, and the like	59.8	to rob of valuables after capturing; plunder; despoil	16.45	0.73	72	10.41	1.02	3.48	10	13	1.8	5.55	5.82	4.71
Maciejewski-2016-100-143	143	scrap			a small bit or fragment, especially a leftover or discarded piece	63.66	a fight, especially a physical fight; scuffle	36.34	0.49	64	8.24	0.92	2.07	8	7	1.96	4.25	NA	5.01
Maciejewski-2016-100-144	144	scrap			a small bit or fragment, especially a leftover or discarded piece	63.66	a fight, especially a physical fight; scuffle	36.34	0.49	64	8.24	0.92	2.07	8	7	1.96	4.25	NA	5.01
Maciejewski-2016-100-145	145	seal	SEAL	651	a design, emblem, or embossed or impressed figure used to make a document authentic or official	41.37	any of a number of flesh-eating mammals that live in and around the ocean and have flippers instead of legs	58.58	0.44	56	14.78	1.17	3.18	14	15	1.81	6.07	5.87	4.58
Maciejewski-2016-100-146	146	seal			a design, emblem, or embossed or impressed figure used to make a document authentic or official	41.37	any of a number of flesh-eating mammals that live in and around the ocean and have flippers instead of legs	58.58	0.44	56	14.78	1.17	3.18	14	15	1.81	6.07	5.87	4.58
Maciejewski-2016-100-147	147	settle			to finally agree upon or resolve	89.12	a long wooden seat with arms and a high back; settee	10.88	0.85	94	26.74	1.43	3.3	13	23	2.09	NA	NA	NA
Maciejewski-2016-100-148	148	settle			to finally agree upon or resolve	89.12	a long wooden seat with arms and a high back; settee	10.88	0.85	94	26.74	1.43	3.3	13	23	2.09	NA	NA	NA
Maciejewski-2016-100-149	149	shed	BARN OR SHED	3025	a simple, usually one-story structure used for storage or shelter, or as a workshop, and either free-standing or attached to another building	67.9	to cast off, take off, or let fall (a covering or growth)	31.3	0.52	60	21.4	1.33	3.33	8	6	1.35	6.02	6.11	5.24
Maciejewski-2016-100-150	150	shed			a simple, usually one-story structure used for storage or shelter, or as a workshop, and either free-standing or attached to another building	67.9	to cast off, take off, or let fall (a covering or growth)	31.3	0.52	60	21.4	1.33	3.33	8	6	1.35	6.02	6.11	5.24
Maciejewski-2016-100-151	151	sheer			transparently thin or fine	63.96	to swerve or cause to swerve from a course	29.87	0.7	81	22.61	1.35	3.51	6	8	1.98	3.34	3.97	4.32
Maciejewski-2016-100-152	152	sheer			transparently thin or fine	63.96	to swerve or cause to swerve from a course	29.87	0.7	81	22.61	1.35	3.51	6	8	1.98	3.34	3.97	4.32
Maciejewski-2016-100-153	153	soil	EARTH (SOIL)	1228	the uppermost layer of the earth's surface	67.67	to make unclean; dirty	32.33	0.48	61	45.57	1.66	2.72	10	5	1.36	5.66	5.81	5.16
Maciejewski-2016-100-154	154	soil			the uppermost layer of the earth's surface	67.67	to make unclean; dirty	32.33	0.48	61	45.57	1.66	2.72	10	5	1.36	5.66	5.81	5.16
Maciejewski-2016-100-155	155	spill	SPILL (SOMETHING)	3130	to cause or allow (a liquid or small particles or objects) to flow or fall from a container, especially unintentionally	93.35	a thin piece of wood or twist of paper used to light a flame	6.65	0.94	97	5.13	0.71	2.91	11	9	1.7	NA	NA	NA
Maciejewski-2016-100-156	156	spill			to cause or allow (a liquid or small particles or objects) to flow or fall from a container, especially unintentionally	93.35	a thin piece of wood or twist of paper used to light a flame	6.65	0.94	97	5.13	0.71	2.91	11	9	1.7	NA	NA	NA
Maciejewski-2016-100-157	157	spray			water or another liquid flying or falling in fine droplets, as from the nozzle of a hose	85.87	a single shoot or branch that has leaves, flowers, or berries	13.93	0.85	96	10.25	1.01	2.28	10	9	1.53	5.59	5.14	5.21
Maciejewski-2016-100-158	158	spray			water or another liquid flying or falling in fine droplets, as from the nozzle of a hose	85.87	a single shoot or branch that has leaves, flowers, or berries	13.93	0.85	96	10.25	1.01	2.28	10	9	1.53	5.59	5.14	5.21
Maciejewski-2016-100-159	159	squash	PUMPKIN	864	to press, beat, or crush into a pulp or flat mass	71.19	a gourdlike fruit that is borne on a vinelike plant and is eaten as a vegetable	28.81	0.56	66	6.03	0.78	2.19	10	4	1.38	4.83	NA	5.33
Maciejewski-2016-100-160	160	squash			to press, beat, or crush into a pulp or flat mass	71.19	a gourdlike fruit that is borne on a vinelike plant and is eaten as a vegetable	28.81	0.56	66	6.03	0.78	2.19	10	4	1.38	4.83	NA	5.33
Maciejewski-2016-100-161	161	stable	HORSE BARN	3403	fixed, firm, or steady in position; not shaky or easily moved or overturned	55.94	a building, often containing stalls, where domestic animals, especially horses or cows, are kept and fed	44.06	0.32	60	36.9	1.57	2.89	7	7	1.93	5.37	5.62	5.19
Maciejewski-2016-100-162	162	stable			fixed, firm, or steady in position; not shaky or easily moved or overturned	55.94	a building, often containing stalls, where domestic animals, especially horses or cows, are kept and fed	44.06	0.32	60	36.9	1.57	2.89	7	7	1.93	5.37	5.62	5.19
Maciejewski-2016-100-163	163	stake			a sharpened or pointed post designed to be driven into the ground, as for a marker or support, or part of a fence	46.34	one's economic or emotional share or interest in something	52.51	0.4	53	22.85	1.36	2.8	12	9	1.69	4.69	5.4	4.73
Maciejewski-2016-100-164	164	stake			a sharpened or pointed post designed to be driven into the ground, as for a marker or support, or part of a fence	46.34	one's economic or emotional share or interest in something	52.51	0.4	53	22.85	1.36	2.8	12	9	1.69	4.69	5.4	4.73
Maciejewski-2016-100-165	165	stall	STABLE	851	a small enclosed division of a barn or stable designed for lodging a single animal	41.15	to employ evasion or other delaying maneuvers	56.11	0.48	45	7.84	0.89	3.21	18	14	1.68	4.41	NA	4.83
Maciejewski-2016-100-166	166	stall			a small enclosed division of a barn or stable designed for lodging a single animal	41.15	to employ evasion or other delaying maneuvers	56.11	0.48	45	7.84	0.89	3.21	18	14	1.68	4.41	NA	4.83
Maciejewski-2016-100-167	167	stern			firm and uncompromising	76.8	the rear or back part of anything, especially a nautical vessel	23.2	0.69	70	8.58	0.93	2.97	3	7	1.74	3.29	3.49	4.54
Maciejewski-2016-100-168	168	stern			firm and uncompromising	76.8	the rear or back part of anything, especially a nautical vessel	23.2	0.69	70	8.58	0.93	2.97	3	7	1.74	3.29	3.49	4.54
Maciejewski-2016-100-169	169	stick	STICK	1295	a relatively long and thin piece of wood, especially a stem or branch from a tree or shrub	65.63	to pierce or poke with a pointed object; stab	24.58	0.59	58	38.16	1.58	3.3	23	26	1.89	4.44	6.04	5.32
Maciejewski-2016-100-170	170	stick	STICKING	254	a relatively long and thin piece of wood, especially a stem or branch from a tree or shrub	65.63	to pierce or poke with a pointed object; stab	24.58	0.59	58	38.16	1.58	3.3	23	26	1.89	4.44	6.04	5.32
Maciejewski-2016-100-171	171	stir	STIR	696	to agitate or mix (a liquid) by making circular motions with a hand or object	94.48	prison	4.72	0.94	95	12.61	1.1	2.17	12	11	1.4	4.75	NA	5.5
Maciejewski-2016-100-172	172	stir			to agitate or mix (a liquid) by making circular motions with a hand or object	94.48	prison	4.72	0.94	95	12.61	1.1	2.17	12	11	1.4	4.75	NA	5.5
Maciejewski-2016-100-173	173	strand			to beach, or leave behind on the shore	34.89	a length of fibers, threads, filaments, wires, or hairs braided or twisted together to form yarn, rope, cable, or the like	65.01	0.44	49	9.82	0.99	2.91	10	7	1.76	3.56	4.42	4.79
Maciejewski-2016-100-174	174	strand			to beach, or leave behind on the shore	34.89	a length of fibers, threads, filaments, wires, or hairs braided or twisted together to form yarn, rope, cable, or the like	65.01	0.44	49	9.82	0.99	2.91	10	7	1.76	3.56	4.42	4.79
Maciejewski-2016-100-175	175	strip			to remove the outer covering or clothing from	61.06	a long, narrow piece or area of mostly uniform width	38.94	0.36	58	20.79	1.32	2.12	9	19	1.8	4.64	NA	5.05
Maciejewski-2016-100-176	176	strip			to remove the outer covering or clothing from	61.06	a long, narrow piece or area of mostly uniform width	38.94	0.36	58	20.79	1.32	2.12	9	19	1.8	4.64	NA	5.05
Maciejewski-2016-100-177	177	tap	FAUCET	1488	to strike or cause to strike lightly, and often several times	38.29	a device to control the flow of liquid or gas from a pipe or container, or a plug to prevent such a flow; spigot; faucet	59.53	0.34	60	20.99	1.32	2.17	16	20	1.66	5.41	5.38	5.67
Maciejewski-2016-100-178	178	tap			to strike or cause to strike lightly, and often several times	38.29	a device to control the flow of liquid or gas from a pipe or container, or a plug to prevent such a flow; spigot; faucet	59.53	0.34	60	20.99	1.32	2.17	16	20	1.66	5.41	5.38	5.67
Maciejewski-2016-100-179	179	temple	TEMPLES	1604	a building or place where a deity or deities are worshiped	65.37	the flat area on either side of the head between the forehead and ear	34.63	0.52	64	22.92	1.36	2.97	5	4	1.44	5.47	5.65	4.5
Maciejewski-2016-100-180	180	temple	TEMPLE	911	a building or place where a deity or deities are worshiped	65.37	the flat area on either side of the head between the forehead and ear	34.63	0.52	64	22.92	1.36	2.97	5	4	1.44	5.47	5.65	4.5
Maciejewski-2016-100-181	181	tend			to have an inclination	48.42	to look after	51.58	0.4	57	60.59	1.78	3.18	4	3	2.01	NA	NA	4.77
Maciejewski-2016-100-182	182	tend			to have an inclination	48.42	to look after	51.58	0.4	57	60.59	1.78	3.18	4	3	2.01	NA	NA	4.77
Maciejewski-2016-100-183	183	tense	TIGHT	3053	pulled or stretched tightly; taut	61.6	in grammar, a category of verb inflections that indicate time and duration of an action or state, such as past tense, future tense, and present tense	38.3	0.48	58	14.15	1.15	2.92	6	8	1.68	2.86	3.65	5.32
Maciejewski-2016-100-184	184	tense			pulled or stretched tightly; taut	61.6	in grammar, a category of verb inflections that indicate time and duration of an action or state, such as past tense, future tense, and present tense	38.3	0.48	58	14.15	1.15	2.92	6	8	1.68	2.86	3.65	5.32
Maciejewski-2016-100-185	185	toast			bread that has been sliced and browned in an oven, toaster, or the like	69.86	a call on other people to drink in honor of someone or something, or a short verbal salute preceding this call	29.46	0.53	59	10.4	1.02	2.95	9	6	1.47	5.94	5.82	5.71
Maciejewski-2016-100-186	186	toast			bread that has been sliced and browned in an oven, toaster, or the like	69.86	a call on other people to drink in honor of someone or something, or a short verbal salute preceding this call	29.46	0.53	59	10.4	1.02	2.95	9	6	1.47	5.94	5.82	5.71
Maciejewski-2016-100-187	187	toll			to cause (a large bell) to ring or chime, especially with slow and measured strokes	24.12	a charge or tax, usually for passage across a bridge or along a highway or other road	72.14	0.63	20	8.81	0.94	3.36	7	5	1.92	3.02	4.24	4.13
Maciejewski-2016-100-188	188	toll			to cause (a large bell) to ring or chime, especially with slow and measured strokes	24.12	a charge or tax, usually for passage across a bridge or along a highway or other road	72.14	0.63	20	8.81	0.94	3.36	7	5	1.92	3.02	4.24	4.13
Maciejewski-2016-100-189	189	trace			a visible mark or evidence of a past event or of something having been present	89.57	one of two ropes, chains, or straps used to harness a draft animal to a cart, carriage, or the like	10.43	0.91	94	24.15	1.38	3.17	12	14	2.01	2.39	3.71	4.8
Maciejewski-2016-100-190	190	trace			a visible mark or evidence of a past event or of something having been present	89.57	one of two ropes, chains, or straps used to harness a draft animal to a cart, carriage, or the like	10.43	0.91	94	24.15	1.38	3.17	12	14	2.01	2.39	3.71	4.8
Maciejewski-2016-100-191	191	utter			to give forth (a sound or words) vocally	54.3	total or complete in degree or extent; absolute; unqualified	45.7	0.44	51	7.38	0.87	2.49	2	6	1.74	3.7	3.65	4.8
Maciejewski-2016-100-192	192	utter			to give forth (a sound or words) vocally	54.3	total or complete in degree or extent; absolute; unqualified	45.7	0.44	51	7.38	0.87	2.49	2	6	1.74	3.7	3.65	4.8
Maciejewski-2016-100-193	193	vault			an arched construction of stone, concrete, brick, or the like that forms a roof or ceiling, as in some churches	48.17	to jump, leap, or spring, especially with the use of the hands or a pole as a support	39.44	0.49	46	4.54	0.66	2.74	11	6	1.09	5.5	5.5	4.45
Maciejewski-2016-100-194	194	vault			an arched construction of stone, concrete, brick, or the like that forms a roof or ceiling, as in some churches	48.17	to jump, leap, or spring, especially with the use of the hands or a pole as a support	39.44	0.49	46	4.54	0.66	2.74	11	6	1.09	5.5	5.5	4.45
Maciejewski-2016-100-195	195	verse			poetry, or a poem, especially in metrical form	78.48	to make knowledgeable or skilled; train; school (usually followed by in)	21.52	0.72	80	13.56	1.13	2.77	5	5	1.16	4.89	5	4.83
Maciejewski-2016-100-196	196	verse			poetry, or a poem, especially in metrical form	78.48	to make knowledgeable or skilled; train; school (usually followed by in)	21.52	0.72	80	13.56	1.13	2.77	5	5	1.16	4.89	5	4.83
Maciejewski-2016-100-197	197	wax	BEESWAX	1931	a solid yellowish substance that is pliable when melted and is secreted by bees for constructing their honeycombs; beeswax	86.39	to increase gradually in quantity, strength, volume, or the like	12.59	0.81	80	6.7	0.83	3.08	8	4	1.63	5.47	5.69	4.94
Maciejewski-2016-100-198	198	wax			a solid yellowish substance that is pliable when melted and is secreted by bees for constructing their honeycombs; beeswax	86.39	to increase gradually in quantity, strength, volume, or the like	12.59	0.81	80	6.7	0.83	3.08	8	4	1.63	5.47	5.69	4.94
Maciejewski-2016-100-199	199	yard	YARD	736	a unit of length equal to three feet or 0.9144 meter	46.64	an open area next to or surrounding a house or other building	53.36	0.44	42	32.91	1.52	2.63	6	9	1.66	5.68	5.53	5.22
Maciejewski-2016-100-200	200	yard			a unit of length equal to three feet or 0.9144 meter	46.64	an open area next to or surrounding a house or other building	53.36	0.44	42	32.91	1.52	2.63	6	9	1.66	5.68	5.53	5.22
