ID	NUMBER	PICTURE_CODE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Dunabeitia-2022-500-464	464	687	shirt	1622	SHIRT
Dunabeitia-2022-500-465	465	689	fish tank		
Dunabeitia-2022-500-466	466	690	hat	771	HAT
Dunabeitia-2022-500-467	467	691	man	1554	MAN
Dunabeitia-2022-500-468	468	692	cherry	2765	CHERRY
Dunabeitia-2022-500-469	469	693	tree	906	TREE
Dunabeitia-2022-500-470	470	694	hug	928	EMBRACE
Dunabeitia-2022-500-471	471	697	peach	2043	PEACH
Dunabeitia-2022-500-472	472	698	earring	770	EARRING
Dunabeitia-2022-500-473	473	699	telescope	4012	TELESCOPE
Dunabeitia-2022-500-474	474	700	pimple	1809	PIMPLE
Dunabeitia-2022-500-475	475	701	wrinkles	2294	WRINKLE
Dunabeitia-2022-500-476	476	702	fire extinguisher		
Dunabeitia-2022-500-477	477	707	dog	2009	DOG
Dunabeitia-2022-500-478	478	708	chimpanzee	3734	CHIMPANZEE
Dunabeitia-2022-500-479	479	709	swimmer		
Dunabeitia-2022-500-480	480	710	doctor	597	PHYSICIAN
Dunabeitia-2022-500-481	481	711	lawn mower		
Dunabeitia-2022-500-482	482	715	pool table		
Dunabeitia-2022-500-483	483	717	accordion	2603	ACCORDION
Dunabeitia-2022-500-484	484	718	pants	809	TROUSERS
Dunabeitia-2022-500-485	485	720	kite	307	HAWK
Dunabeitia-2022-500-486	486	724	whale	957	WHALE
Dunabeitia-2022-500-487	487	726	waiter		
Dunabeitia-2022-500-488	488	727	hose		
Dunabeitia-2022-500-489	489	729	Statue of Liberty		
Dunabeitia-2022-500-490	490	730	kitchen	1365	KITCHEN
Dunabeitia-2022-500-491	491	732	ball	1845	BALL
Dunabeitia-2022-500-492	492	733	glasses	1898	SPECTACLES
Dunabeitia-2022-500-493	493	734	washing machine		
Dunabeitia-2022-500-494	494	736	wizard	823	SORCERER
Dunabeitia-2022-500-495	495	740	fishing	2638	FISHING
Dunabeitia-2022-500-496	496	741	candy	874	CANDY
Dunabeitia-2022-500-497	497	743	scarecrow		
Dunabeitia-2022-500-498	498	745	well	954	WELL
Dunabeitia-2022-500-499	499	746	bowling pin		
Dunabeitia-2022-500-500	500	747	bathtub	4027	BATHTUB
