ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
673	十七	じゅうしち	seventeen	patin̠ēl̠u	பதினேழு	dix-sept	sabʿata ʿašar	shíqī	siebzehn	satrah	tudjuh belas	hefdah	семнадцать	diecisiete	kumi na saba
674	十八	じゅうはち	eighteen	patin̠eṭṭu	பதினேட்டு	dix-huit	t̠amāniyata ʿašar	shíbā	achtzehn	aṭhāra	delapan belas	hejdah	восемнадцать	dieciocho	kumi na nane
675	十九	じゅうく	nineteen	patton̠patu	பத்தோன்பது	dix-neuf	tisʿata ʿašar	shíjiǔ	neunzehn	unnīs	sembilan belas	nūzdah	девятнадцать	diecinueve	kumi na tisa
676	三十	さんじゅう	thirty	muppatu	முப்பது	trente	t̠alāt̠ūn	sānshí	dreissig	tīs	tigapuluh	sī	тридцать	treinta	thelathini
677	四十	しじゅう	forty	nār̠patu	நாற்பது	quarante	arbaʿūn	sìshí	vierzig	cālīs	empat puluh	chehel	сорок	cuarenta	arobaini
678	五十	ごじゅう	fifty	aimpatu	ஐம்பது	cinquante	ḫamsūn	wǔshí	fünfzig	pacās	lima puluh	panjāh	пятьдесят	cincuenta	hamsini
679	六十	ろくじゅう	sixty	ar̠upatu	அறுபது	soixante	sittūn	liùshí	sechzig	sāṭh	enam puluh	shast	шестьдесят	sesenta	sitini
680	七十	ななじゅう、しちじゅう	seventy	el̠upatu	ஏழுபது	soixante-dix	sabʿūn	qīshí	siebzig	sattar	tudjuh puluh	haftād	семьдесят	setenta	sabini
681	八十	はちじゅう	eighty	eṇpatu	ஏண்பது	quatre-vingts	t̠amānūn	bāshí	achtzig	assī	delapan puluh	hashtād	восемьдесят	ochenta	themanini
682	九十	きゅうじゅう	ninety	toṇṇūr̠u	தோண்ணூறு	quatre-vingts-dix	tisʿūn	jiǔshí	neunzig	navvē	sembilan puluh	navad	девяносто	noventa	tisini
683	千	せん	thousand	āyiram	ஆயிரம்	mille	alf	yìqiān	tausend	hajār	seribu	hazār	тысяча	mil	elfu
684	万	まん	ten thousand	pattāyiram	பத்தாயிரம்	dix mille	ʿašaratu 'ālāf	yíwàn	zehntausend	das hazār	sepuluh ribu	dah hazār	десять тысяч	diez mil	elfu kumi
685	第一	だいいち	first	mutalāvatu	முதலாவது	premier(ère)	awwal	dìyī	erst	pahlā	pertama, kesatu	yakom, avval	первый	primero	kwanza
686	第二	だいに	second	iraṇṭāvatu	இரண்டாவது	deuxième, second(e)	t̠ānī	dìèr	zweit	dūsrā	kedua	dovvom	второй	segundo	namba pili
687	第三	だいさん	third	mūn̠r̠āvatu	மூன்றாவது	troisième	t̠ālit̠	dìsān	dritt	tīsrā	ketiga	sevvom	третий	tercero	namba tatu
688	一人	ひとり	alone/one person	oruvan̠	ஓருவன்	une personne	aḥad	yígerén	allein	ēk manuṣya	seorang	yek nafar	один человек	sólo	mtu mmoja
689	二人	ふたり	two people	iruvar	இருவர்	deux personnes	fardān	liǎnggerén	zwei Personen	dō manuṣya	dua orang	dō nafar	двое, два человека	dos personas	watu wawili
690	三人	さんにん	three people	mūvar	மூவர்	trois personnes	t̠alāt̠atu 'afrād	sān'gerén	drei Personen	tīn manuṣya	tiga orang	seh nafar	трое, три человека	tres personas	watu watatu
691	一日	ついたち	the first day of a month	mutal tēti	முதல் தேதி	le premier	awwal	yíhào	der Erste des Monats	pahlā din	tanggal satu	yakom	первое число	el primero	siku ya kwanza
692	二日	ふつか	the second day of a month	iraṇṭām tēti	இரண்டாம் தேதி	le deux	alyawmu t̠t̠ānī	èrhào	der Zweite des Monats	dūsrā din	tanggal dua	dovvom	второе число	el dos	siku ya pili
693	三日	みっか	the third day of a month	mūn̠r̠ām tēti	மூன்றாம் தேதி	le trois	alyawmu t̠t̠ālit̠	sānhào	der Dritte des Monats	tīsrā din	tanggal tiga	sevvom	третье число	el tres	siku ya tatu
694	番［順番が一番］	ばん	number (one)	mutal nampar	முதல் நம்பர்	numéro (un)	raqm wāḥid	dì (yī)	Nummer (eins)	nambar	nomor	shomāreh	номер (один)	número (uno)	duru, safari, zamu, namba
695	ルピー［貨幣単位］	かへいたんい	rupee	yen̠	யேன்	yen	mallīm, fils, qirš	kuài, yuán	Yen	rupayā	rupiah	riyāl	иена (рубль)	yen	senti, shilingi
696	歳［１歳、２歳］	さい	year	varuṭam	வருடம்	âge	sanah	suì	Jahr	āyu	umur	sāl	год, лето	año	umri, mwaka
697	赤ん坊	あかんぼう	baby	kul̠antai	குழந்தை	bébé	ṭifl, ṭiflah	wáwa	Säugling	shishu	baji	bachcheh	ребёнок, младенец	nene, bebé	mtoto mchanga, kitoto
698	大人	おとな	grown-up/adult	periyavan̠	பேரியவன்	adulte	bāliġ, murāhiq	dàrén	Erwachsene	vayask	orang déwasa	sālmand, bālegh	взрослый	adulto	mtu mzima
699	年寄り［老人一般］	としより	old age	mutumai/kil̠avan̠	முதுமை/கிழவன்	vieillard	musinn	lǎoniánrén	Alter	būṛhā	orang tua	pīrān	пожилой человек	viejo	mzee
700	親、両親	おや、りょうしん	parents	per̠r̠ōr	பேற்றோர்	parents	wālid, wālidah, 'abawān	fùmǔ	Eltern	mātā-pitā	orang tua	vāledīn, pedar-o-mādar	родители	padres	mzazi, wazazi
701	夫婦	ふうふ	husband and wife	tampati	தம்பதி	époux(se)	zawjān	fūfù, fūqī	Ehepaar	pati-patnī	suami isteri	zan-o-shouhar	супруги, муж и жена	matrimonio, esposos	mume na mke, unyumba
702	先祖	せんぞ	ancestor	mun̠n̠ōr	முன்னோர்	ancêtre	ajdād	zǔxiān	Vorfahr, Ahn	pūrvaj	nénék mojang, leluhur	niyāgān	предок	antepasados	babu, jadi, asili
703	甥	おい	nephew	marumakan̠	மருமகன்	neveu	bnu l'aḫ, 'ibnu l'uḫt	zhíz, wàishèng	Neffe	bhatījā	kemanakan	pesar-e-barādar, pesar-e-khwāhar	племянник	sobrino	mtoto, mpwa
704	姪	めい	niece	--	--	nièce	ibnatu l'aḫ, 'ibnatu l'uḫt	zhínǚ, wàishèngnǚér	Nichte	bhatījī	kemanakan perempuan	dokhtaa-e-barādar, dokhtar-e-khwāhar	племянница	sobrina	mtoto, mpwa
705	従兄弟	いとこ	cousin	--	--	cousin(e)	ibnu l'ʿumm, 'ibnatu l'ḫāl	tángxiōngdì, tángzǐmèi, biǎoxiōngdi, biǎozǐmei 	Kusine, Vetter	cacērā bhāī, cacēri bahin	saudara sepupu	amūzādēh	двоюродный брат, -ая сестра	primo, prima	ndugu
706	親戚、親類	しんせき、しんるい	relation/kindred	ur̠avukkārar	உறவுக்காரர்	parent(e)	qarīb	qīnqī	Verwandte	sambandhī	keluarga	khwīshāvand	родственник	pariente, deudo	jamaa, jamii
707	挨拶	あいさつ	greeting/salute	vāl̠ttu	வாழ்த்து	salut, félicitation	taḥīyah	xínglǐ, zhìyì	Gruss	abhiwādan	salam	salām	привет, поздравление	saludo	amkizi, amkio
708	様、さん	さま、さん	Mister/Mrs./Miss	tiru, tirumati, celvi	திரு, திருமதி, சேல்வி	monsieur, madame, mademoiselle	mistir, sayyid	xiānsheng, tóngzhì	Herr	shrī, shrīmatī, kumārī	Tuan, Njonja, Nona	āqā, khānom	товарищ, господин, -пожа	señor, señora, señorita	Bwana, Bibi, Mzee
709	答え	こたえ	answer	patil	பதில்	réponse	)ijābah	huídá	Antwort	uttar	djawaban	javāb	ответ	respuesta	jibu
710	返事	へんじ	reply	patil	பதில்	réponse	radd	huídá	Antwort	uttar	balasan	pāsokh	ответ	respuesta	jibu, jawabu
711	先生	せんせい	teacher	āciriyar	ஆசிரியர்	maître(sse), instituteur(trice)	)ustād̠	lǎoshī	Lehrer	shikshak	guru	mo'allem	учитель(ница)	maestro (a)	mwalimu, msomeshaji
712	生徒	せいと	pupil	māṇavar	மாணவர்	élève	tilmīd̠	xuésheng	Schüler	vidyārthī	murid	dānesh-āmūz	ученик, ученица	alumno (a)	mtoto wash ule, mwanafunzi
713	主人	しゅじん	host/master	viruntaḷippavar/mutalāḷi	விருந்தளிப்பவர்/முதலாளி	maître	ṣāḥib	zhŭrén	Gastgeber, Wirt	swāmī	tuan rumah	arbāb	хозяин, хозяйка	amo, dueño	mwenyeji, Bwana
714	王	おう	king	aracan	அரசந்	roi	malik	guówáng	König	rājā	radja	shāh	король	rey	mfalme, kingi
715	官吏、役人	かんり、やくにん	officer/official	atikāri	அதிகாரி	fonctionnaire, officier	muwaẓẓaf	guānyuán, gōngwùyuán	Beamte	karmacārī	pegawai negeri	kār-mand	чиновник	funcionário	mtumishi wa serikali, ofisa
716	商人	しょうにん	merchant/trader	viyāpāri	வியாபாரி	marchand(e)	tājir, bā'iʿ	shāngrén	Kaufmann	vyāpārī	saudagar, pedagang	tājer, bāzargān	торговец, купец	comerciante	mtu wa biashara
717	医者	いしゃ	doctor	maruttuvar	மருத்துவர்	médecin, docteur	ṭabīb	yīshēng	Arzt	dākṭar	dokter	pezeshk	врач, доктор	doctor(a), médico(a)	dakitari, mganga
718	職業	しょくぎょう	profession/occupation	tol̠il	தோழில்	métier, profession, occupation	mihnah	zhíyè	Beruf	vritti	pekerdjaan	shoghl	профессия	ocupación, profesión	kazi, shughuli
719	跛	びっこ、ちんば	cripple	noṇṭi	நோண்டி	boiteux(se)	aʿraj	quéz	lahm, hinkend	langṛā manuṣya	pintjang	lang	хромой	cojo	kiwete
720	泥棒	どろぼう	thief	tiruṭan	திருடந்	voleur(se)	sāriq	zéi	Dieb	cōr	pentjuri	dozd	вор	ladrón(a)	mwivi, mwizi
721	馬鹿、愚か	ばか、おろか	fool	muṭṭāḷ	முட்டாள்	sot(te)	jāhil	shǎz	Narr	mūrkha	bodoh	ahmaq	дурак	necio, tonto	mpumbavu, mjinga
722	気持ち	きもち	mind/feeling	man̠am/uṇarcci	மனம்/உணர்ச்சி	sentiment, humeur	šuʿūr, ʿāṭifah	xīnqíng	Gefühl, Stimmung	bhāwanā	pikiran, perasaan	ahsās	настроение, чувство	sentimiento	moyo, roho, mjinga
723	夢、夢を見る	ゆめ、ゆめをみる	dream	kan̠avu	கனவு	rêve	ḥulm, manām	mèng	Traum	swapna	mimpi	khwāb	сон, сновидение	sueño	ndoto
724	意味	いみ	sense/meaning	poruḷ	போருள்	sens	maʿnā	yìsi	Sinn, Bedeutung	artha	arti	ma'nā	значение, смысл	sentido	maana
725	国	くに	country/state/nation	nāṭu, tēsam	நாடு, தேஸம்	pays, nation	balad, quṭr, dawlah	quójiā	Land, Reich, Staat	dēsh	negeri	keshvar	страна, государетво	país, estado, nación	nchi, taifa
726	世界	せかい	world	ulakam	உலகம்	monde	ʿālam	shìjiè	Welt	sansār	dunia	jahān, keihān	мир	mundo	dunia, ulimwengu
727	寺、寺院	てら、じいん	temple	kōvil	கோவில்	temple	masjid, maʿbad	sìyuàn, miào	Tempel	mandir	kuil	ma`bad	храм	templo	msikiti
728	学校	がっこう	school	paḷḷikkūṭam	பள்ளிக்கூடம்	école	madrasah	xuéxiào	Schule	pāṭhshālā	sekolah	madraseh	школа	escuela	shule, skuli, chuo
729	市場、市	いちば、いち	market	cantai	சந்தை	marché	sūq	shìchǎng	Markt	bāzār	pasar	bāzār	базар, рынок	mercado	soko
730	商店、店	しょうてん、みせ	store/shop	kaṭai	கடை	magasin, boutique	dukkān, maḥall	shāngdiàn, pùz	Geschäft	dukān	toko, kedai	maghāzeh	магазин, лавка	tienda, almacén	duka
731	住所	じゅうしょ	residence	vacippaiṭam	வசிப்பைடம்	résidence, demeure	manzil	zhùzhǐ	Wohnort	niwāssthān	kediaman	manzel	адрес	residencia, domicilio	mahali pa kuishi, anwani
732	隣	となり	neighbour	arukiluḷḷōr	அருகிலுள்ளோர்	voisin	jār	gébì	Nachbar	parōs	tetangga	ham-sāyeh	соседство, сосед	vecino	jirani
733	境、境界	さかい、きょうかい	border/frontier	ellai	ஏல்லை	limite, frontière	ḥadd	biānjiè, biānxiàn	Grenze	sīmā	sempadan	hadd, hodūd	граница, рубеж	frontera, límite	mpaka
734	東	ひがし	east	kil̠akku	கிழக்கு	est	šarq	dōng	Ost	pūrva	timur	mashreq	восток	este	mashariki
735	西	にし	west	mēr̠ku	மேற்கு	ouest	ġarb	xī	West	pashcim	barat	maghreb	запад	oeste	magharibi
736	南	みなみ	south	ter̠ku	தேற்கு	sud	janūb	nán	Süden	dakshin	selatan	janūb	юг	sur	kusini
737	北	きた	north	vaṭakku	வடக்கு	nord	šamāl	běi	Nord	uttar	utara	shemāl	север	norte	kaskazini
738	方向	ほうこう	direction	ticai	திசை	direction	ittijāh	fāngxiàng	Richtung	dishā	arah, djurusan	jehat	направление	dirección, rumbo	upande
739	尖	さき	point/tip	mun̠ai	முனை	bout, pointe	ṭaraf	jiānr	Spitze	nōk	udjung	nūk	верхушка, кончик	punta	ncha, mwisho
740	縦	たて	length	nīlam	நீலம்	longueur	ṭūl	cháng	Länge	lambāī	pandjang	tūl	длина	longitud	urefu
741	横	よこ	width	akalam	அகலம்	largeur	ʿarḍ	kuān	Breite	caoṛāī	lébar	`arz	ширина	anchura	mapana
742	幅	はば	breadth/width	akalam	அகலம்	large(ur)	ʿarḍ	kuān	Breite	caoṛāī	lébar	pahnā	ширина	anchura	upana
743	傍、側、傍	かたわら、そば	beside/alongside	arukil	அருகில்	côté	jānib	pángbiān	neben, bei	parōs	sisi	pahlūye-, kenār-e-	сторона, (около, у)	junto a, al lado de	karibu
744	回り、周り、周囲	まわり、しゅうい	surrounding/environment	cur̠r̠uppur̠am	சுற்றுப்புறம்	pourtour, environs, circonférence	bī'ah, ẓurūf	zhōuwéi	Umgebung	paridhi	keliling	dour	окружность, вокруг	circunferencia, contorno	ukando, kandokando
745	表	おもて	surface	mēltal̠am	மேல்தழம்	surface	saṭḥ, wajh	biăomiàn	Fläche, Vorderseite	mukh	muka	sath	лицевая сторона	superficie	mbele
746	裏	うら	reverse	talaikīl̠	தலைகீழ்	revers	ẓahr	fǎnmiàn	Rückseite	pīṭh	balik	posht	изнанка, обратная сторона	revés	nyuma
747	陰	かげ	shade	nil̠al	நிழல்	ombre	ẓill	bèihòu	Schatten	chāyā	bajang	sāyeh	тень	sombra	uvuli
748	中	なか	middle	naṭu	நடு	milieu, dedans	dāḫil	lǐtou, lǐbiān	Innere	madhya	dalam	dākhel	внутренность	interior	kati
749	底	そこ	bottom	aṭi	அடி	fond	qāʿ	dǐ	Grund	tal	dasar	tah	дно	fondo	chini
750	丸、円	まる、えん	circle	vaṭṭam	வட்டம்	cercle, rond	dā'irah	yuán, quānz	Kreis	gōl	bundar	dāereh	круг	circulo	duara
751	線	せん	line	kōṭu	கோடு	ligne	ḫaṭṭ	xiàn	Linie	rēkhā	garis	khatt	линия	linea	mstari
752	印	しるし	mark	kur̠i	குறி	marque	mārikah	biāozhì	Zeichen	cihn	tanda	neshān	отметка знак	marca	alama, dalili, saini
753	形	かたち	form/shape	uruvam	உருவம்	forme	šakl, ṣūrah	xíngzhuàng	Form	rūp	rupa	shakl	форма, образ	forma	umbo, mwundo, sura
754	各々	おのおの	each one/everyone	ovvoruvarum	ஓவ்வோருவரும்	chacun(e)	kull wāḥid	gè	jeder	prati	masing-masing	har	каждый, -ая, -ое	cada	kila
755	何か	なにか	anything/something	ētāvatu	ஏதாவது	quelque chose	šay' mā	shénme (dōngxi)	etwas	kōī	barang sesuatu, apa-apa	chīzī	что-то, что-нибудь	algo	kitu fulani, kitu cho chote
756	咀嚼する、嚼む	そしゃくする、かむ	chew (Vt)	mel	மேல்	macher	madaġa, lāka	jiáo	kauen	cabānā	mengunjah	javīdan	жевать	mascar	tafuna
757	舐める	なめる	lick (Vt)	nakku	நக்கு	lécher	laḥisa	tiǎn	lecken	cāṭnā	mendjilat	līsīdan	лизать	lamer	lamba
758	吠える	ほえる	bark (Vi)	kurai	குரை	aboyer, hurler	nabaḥa, ʿawā	jiào, hǒu	bellen, heulen	gurrānā	menjalak, menguam	pārs kardan	реветь, лаять, выть	ladrar	bweka
759	鳴く、啼く	なく	howl (animal)(Vi)	kattu/pāṭu	கத்து/பாடு	aboyer, chanter	nabaḥa, ġarrada	jiào	singen	rōnā	berbunji	khwāndan	петь, щебетать, чирикать	mugir, relinchar, gruñir, cantar	lia
760	気付く	きづく	notice (Vt)	teri	தேரி	apercevoir	ra'ā, lāḥaẓa	xiǎngdào, lǐhuìdào	bemerken	sacēt hōnā	memperhatikan	molāhazeh kardan	замечать	advertir, notar	sikia, jua, ona
761	覚える	おぼえる	remember (Vt)	nin̠ivil vai	நினிவில் வை	retenir	d̠akara, ḥafiẓa	jì	sich merken	smaraṇ rakhnā	ingat	yād dāshtan	помнить, запомнить	aprender de memoría	kumbuka, jifunza moyoni
762	思い出す	おもいだす	remind/recollect (Vt)	ñāpakam vā	ஞாபகம் வா	se souvenir, se rappeler	tad̠akkara	xiǎngqǐlái	sich erinnern	smaraṇ mēn ānā	mengenangkan	yād āvardan	вспоминать	recordar	kumbuka
763	信ずる	しんずる	believe (Vt)	nampu	நம்பு	croire	iʿtaqada, 'āmana	xìn, xiāngxìn	glauben	vishwās karnā	mempertjajai	bāvar kardan	верить	creer	amini, sadiki
764	迷う	まよう	get astray (Vi)	val̠itavar̠u	வழிதவறு	s'égarer	ḍalla	mí	(sich) irren	sōc mēn paṛnā	ragu-ragu	gomrāh shodan	быть озадаченным	perderse	potea, zungukazunguka
765	疑う	うたがう	suspect (Vt)	cantēki	சந்தேகி	se douter	šakka	huáiyí	zweifeln	sandēh karnā	mentjurigai	bad-gomān shodan	подозревать, сомневаться	dudar, sorpechar	shuku
766	問う	とう	question/ask (Vt)	kēḷviki kēḷ/kēl̠	கேள்விகி கேள்/கேழ்	demander	sa'ala	wèn, dǎtīng	fragen	pūchnā	menanjakan	porsīdan	спрашивать	preguntar	uliza
767	答える	こたえる	reply/answer (Vt)	patil col	பதில் சோல்	répondre	radda, 'ajāba	dá, huídá	antworten	uttar dēnā	mendjawab	javāb dādan	отвечать	responder, contestar	jibu
768	命ずる	めいずる	bid/order (Vt)	kaṭṭaḷaiyiṭu	கட்டளையிடு	ordonner, commander	amara	mìnglìng	befehlen	āgya dēnā	memerintah	farmūdan, amr kardan	велеть	mandar, ordenar	toa amri, amuru
769	禁ずる	きんずる	prohibit/forbid (Vt)	teṭu	தேடு	défendre	manaʿa, ḥarrama	jìnzhǐ	verbieten	manā karnā	melarang	mamnū` kardan	запрещать, воспрещать	prohibir	kataza, Hakuna ruhusa.???
770	詫びる	わびる	apologize (V)	men̠n̠i	மேன்னி	demander pardon	iʿtad̠ara	dàoqiàn	sich entschuldigen	kshamā māngnā	meminta maaf	ma`zarat khwāstan	извиняться	disculparse, pedir perdón	toa radhi, omba, radhi
771	誉める	ほめる	praise (Vt)	pukal̠	புகழ்	louer	madaḥa	zànměi, chēngzàn 	loben	prashansā karnā	memudji	sotūdan	хвалить	alabar	sifu
772	叱る	しかる	scold (Vt)	tiṭṭu	திட்டு	gronder	ʿannafa	shēnchì	schelten	jhiṛaknā	memarahi	sarzanesh kardan	ругать, бранить	reprender	kemea, gombeza
773	騙す	だます	cheat (Vt)	ēmār̠r̠u	ஏமாற்று	tromper	ḫadaʿa	qīpiàn	betrügen	dhōkhā dēnā	menipu	gūl zadan	обманывать	engañar	danganya, punja
774	苦しむ	くるしむ	suffer/distressing/painful (Vi)	kaṣṭappaṭu	க{ஸ்௰}டப்படு	souffrir,???	ʿānā	kǔnǎo, chīkǔ	leiden, sich quälen	kaṣṭ sahnā	menderita	ranj bordan	мучиться, страдать	sufrir	sumbuka, uma roho
775	困る	こまる	suffer (V)	kaṣṭappaṭu	க{ஸ்௰}டப்படு	faire souffrir, se sentir gêné(e)	taḥayyara	wéinén	leiden	kaṣṭ hōnā	susah	nā-rāhat shodan	затрудняться	sufrir	pata shida, sumbua, udhi
776	案ずる、心配する	あんずる、しんぱいする	be worried (V)	kavalaippaṭu	கவலைப்படு	inquiéter	qaliqa	dānxīn	(sich) sorgen	cintā karnā	chawatir	negrānī dāshtan	беспокоиться, волноваться	inquietarse	jisumbua, angaika
777	安心する	あんしんする	feel relieved (Vi)	nimmatiyaṭai	நிம்மதியடை	se rassurer	iṭma'anna	fàngxīn	sich beruhigen,	nishcint hōnā	lega hati	rāhat shodan	успокаиваться	sosegarse	jibwagia moyo, pumzika
778	愛する	あいする	love (Vt)	nēci	நேசி	aimer	aḥabba	ài	lieben	prēm karnā	mentjintai	dūst dāshtan	любить	amar, querer	penda
779	祈る	いのる	pray (V)	pirārttan̠aicey	பிரார்த்தனைசேய்	prier	ṣallā, rajā	dǎogào	beten	prārthanā karnā	berdoa	namāz khwāndan	молиться	rezar	omba Mongu, sali
780	拝む	おがむ	worship (Vt)	val̠ipaṭu, pūji	வழிபடு, பூஜி	adorer	ʿabada	bài	verehren	pūjā karnā	menjembah	parastīdan	поклоняться	adorar	abudu, sali
781	真似る	まねる	imitate (Vt)	(on̠r̠aip)pōl cey	(ஓன்றைப்)போல் சேய்	imiter	qallada	fǎngxiào, xué	nach ahmen	anukaraṇ karnā	meniru	taqlīd kardan	подражать	imitar	iga
782	比べる	くらべる	compare (Vt)	oppiṭu	ஓப்பிடு	comparer	qārana	bǐ, bǐjiǎo	vergleichen	tulnā karnā	membandingkan	moqāeseh kardan	сопоставлять	comparar	linganisha
783	選ぶ	えらぶ	select/choose (Vt)	tērnteṭu	தேர்ந்தேடு	choisir	iḫtāra	tiāoxuǎn	wählen	cunnā	memilih	gozīdan	выбирать, избирать	escoger	chagua
784	引く	ひく	draw/substract (Vt)	il̠u/kal̠i	இழு/கழி	tirer	jarra, saḥaba	jiǎn	subtrahieren, ab ziehen	khīncnā	mengurangi	tafrīq kardan, kashīdan	тащить, тянуть	tirar de	kokota, vuta
785	計る、測る、量る	はかる	weigh/measure (Vt)	eṭai pōṭu	ஏடை போடு	mesurer, peser	wazana, qāsa	liáng, chēng	wägen	kūtnā	menimbang, mengukur	peimūdan sanjīdan	взвешивать, измерять	medir	pima
786	手伝う	てつだう	help (Vt)	utevi cey	உதேவி சேய்	aider	sāʿada	bangmáng	helfen	sahāyatā dēnā	membantu	komak kardan	помогать	ayudar	saidia
787	育てる	そだてる	foster/bring up (Vt)	vaḷar	வளர்	élever	rabbā	yǎng	nähren, auferziehen	pālan-pōṣan karnā	memeliha, membesarkan	parvardan	воспитывать	criar	lea, chunga
788	飼う	かう	keep/raise (Vt)	vaitturu/vaḷar	வைத்துரு/வளர்	élever	rabbā	wèi, yǎng	züchten	pālnā	memelihara	parvardan	выкармливать, держать	criar	chunga, fuga
789	釣る	つる	fish (Vt)	tūṇṭil pōṭu	தூண்டில் போடு	pêcher	ṣāda	diào	angeln	pakaṛnā	mengail	māhī gereftan	удить	pescar	vua samaki kwa mshipi
790	捕まえる	つかまえる	catch (Vt)	piṭi	பிடி	attraper	qabaḍa ʿalā	zhuō, ná	fangen	pakaṛnā	menangkap	dastgīr kardan, gereftan	ловить	coger	kamata
791	握る	にぎる	grasp/grip (Vt)	kiraki	கிரகி	saisir, serrer	amsaka	wò	greifen	pakaṛnā	menggenggam	mohkam gereftan	держать в руке, пожать	asir, agarrar	shika, kamata
792	落とす［下へ］	おとす	drop (Vt)	kīl̠ē pōṭu	கீழே போடு	laisser tomber	asqaṭa	diào	fallen lassen	girānā	mendjatuhkan	oftānīdan	опускать, сбрасывать,???	dejar caer	angusha
793	拾う	ひろう	pick up (Vt)	eṭu	ஏடு	ramasser	ʿaṭara ʿalā, 'iltaqaṭa	shí, jiǎn	aufheben	uṭhā lēnā	memungut	bar chīdan	подбирать	recoger	okota
794	棄てる	すてる	abandon/cast away (Vt)	tūkkier̠i	தூக்கிஏறி	abandonner	ramā	rēng	abwerfen, aufgeben	phēnknā	membuang	tark kardan	покидать, бросить	abandonar	tupa
795	無くなる	なくなる	be lost/disappear (Vi)	tolai	தோலை	s'épuiser	iḫtafā, fuqida	diū	verloren gehen (werden)	shūnya hōjānā	hilang	gom shodan	пропадать, кончиться	desaparecer	potea
796	埋める	うずめる	bury (Vt)	putai	புதை	enterrer	dafana	mái	vergraben	gaṛānā	memendamkan	dafn kardan	закопать, засыпать	enterrar	zika, fukia
797	覆う	かぶせる、おおう	cover (Vt)	mūṭu	மூடு	couvrir	ġaṭṭā, kasā	yān'gài, zhē	decken	ḍhānknā	meliputi	pūshīdan	накрывать, покрывать	cubrir	funika
798	包む	つつむ	pack/wrap/envelop (Vt)	ur̠ai pōṭu	உறை போடு	envelopper	laffa	bāo	packen	lapēṭnā	membungkus	pīchīdan	обвёртывать	envolver	funga
799	吊るす	つるす	hang down (Vt)	toṅku	தோங்கு	pendre	ʿallaqa	dā, diào	hängen	laṭkānā	menggantungkan	āvīkhtan	вешать	colgar	tundika
800	掛ける	かける	hang (Vt)	māṭṭu	மாட்டு	accrocher à, pendre	albasa, ʿallaqa	guà	hängen	laṭkānā	menjangkutkan	āvīkhtan	вешать	colgar	angika
801	繋ぐ	つなぐ	connect/fasten (Vt)	poruttu	போருத்து	lier	waṣala, rabaṭa	jì, shuān	an binden, verbinden	ainṭhnā	menghubungkan	peivastan	привязывать, соединять	unir	unga, shikana
802	巻く	まく	wind (Vt)	cur̠r̠u	சுற்று	rouler	dawwara	juǎn	wickeln	lapēṭnā	memutar	kūk kardan	свёрывать, наматывать	arrollar, dar cuerda a	pinda, kunja
803	編む	あむ	knit/weave (Vt)	pin̠n̠u	பின்னு	tricoter	ḥayyaka, ḥabaka	biān	stricken	bunnā	meradjut, menganjam	bāftan	вязать	tejer a punto de aguja	suka
804	織る	おる	weave (Vt)	ney	நேய்	tisser	nasaja	zhī	weben	bunnā	menenun	bāftan	ткать	tejer	fuma
805	縛る	しばる	bind (Vt)	kaṭṭu	கட்டு	lier	ḥazama	bǎng, kùn	binden	bāndhnā	membalut, mengikat	bastan	связывать, привязывать	ligar	funga
806	締め付ける	しめつける	fasten/tighten (Vt)	ir̠ukku	இறுக்கு	serrer	šadda, zamma	lēijǐn	befestigen	driṛh karnā	mengetatkan	seft kardan	затягивать	estrechar	kaza
807	叩く	たたく	knock/tap/clap (Vt)	taṭṭu	தட்டு	frapper	daqqa, ṭaraqa	dă, qiāo	klopfen, pochen	pīṭnā	mengetuk, memukul	zadan	стучать	golpear, batir	piga, bisha, chapa
808	曲がる	まがる	bend (Vi)	vaḷai	வளை	se courber	inḥanā	wān	biegen	jhuknā	béngkok	kham shodan	гнуться, сгибаться	torcerre, doblarse	pindika, nepa
809	曲げる	まげる	bend (Vt)	vaḷai	வளை	courber	ḥanā	wān	biegen	jhukānā	membéngkok	kham kardan	сгибать, гнуть	torcer, doblar	pinda, kunja
810	壊す	こわす	break/destroy (Vt)	al̠i	அழி	briser, casser	ḫarraba, dammara	nònghuài, huǐhuài	brechen, zerbrechen	naṣṭ karnā	merusakkan	shekastan	ломать, разбивать	romper	vunja, bomoa
811	搗く	つく	pound/hull (Vt)	kuttu	குத்து	décortiquer	daqqa, saḥaqa	dǎo	stampfen	chilkā haṭānā	menumbuk	kūbīdan	толочь	descascarar, moler	ponda
812	挽く	ひく	grind (Vt)	arai	அரை	moudre	kassara	nònghuèi, nòngsuì	mahlen	pīsnā	menggiling	āsiyāb kardan	молоть	moler	saga
813	破れる	やぶれる	be torn	kil̠i	கிழி	être déchiré	tamazaaqa	pò	brechen	cirnā	robék	pāreh shodan	рваться ломаться	rasgarse	pasuka
814	破る	やぶる	break/tear (Vt)	uṭai	உடை	déchirer, rompre	mazzaqa	nòngpò	brechen, reissen	cīrnā	mengojakkan	darīdan, pāreh kardan	ломать, разрывать	rasgar, desgarrar	pasua
