NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
0245	(be) born	naître			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0246	(be) young	(être) jeune			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0247	grow up	grandir			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0248	(be) old (not young)	(être) vieux			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0249	die	mourir	4.75	to die	1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0250	death	(la) mort			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0251	(be) dead	(être) mort			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0252	think	penser			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0253	believe	croire	17.15	to believe	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0254	hope (v)	espérer			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0255	know (something or someone)	connaître, savoir			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0256	knowledge	connaissance			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0257	wisdom	sagesse			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0258	(be) wise	(être) sage			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0259	(be) intelligent	(être) intelligent			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0260	(be) stupid	(être) stupide, bête			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0261	(be) confused	(être) désorienté, embrouillé			2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0262	learn	apprendre	17.24	to learn	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0263	teach	enseigner	17.25	to teach	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0264	show	montrer	15.55	to show	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0265	remember	se souvenir, se rappeler	17.31	to remember	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0266	forget	oublier	17.32	to forget	2	1		MANÕS NONPHYSICAL BEING	KNOW, BELIEVE, TEACH	
0267	(be) happy, (be) joyful	(être) heureux, joyeux, content			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0268	rejoice	se réjouir		to rejoice	2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0269	laugh	rire	16.25	to laugh	2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0270	smile	sourire	16.251	to smile	2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0271	(be) sad	(être) triste			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0272	cry, weep	pleurer			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0273	sorrow (n)	chagrin, peine			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0274	shame (n)	honte			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0275	pity (n)	pitié, compassion			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0276	fear (n)	peur, crainte			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0277	frighten	effrayer, faire peur			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0278	startle, surprise	surprendre			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0279	(be) angry	(être) fâché, en colère			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0280	calm (oneself)	se calmer			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0281	(be) proud	(être) fier			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0282	respect (v)	respecter			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0283	honour (v)	honorer			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0284	love (v)	aimer			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0285	hate (v)	haïr, détester			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0286	despise, disdain	mépriser			2	2		MANÕS NONPHYSICAL BEING	EMOTIONS	
0287	want, desire (v)	vouloir, désirer			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0288	decide	décider			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0289	choose (tr), pick (tr)	choisir			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0290	hesitate	hésiter			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0291	abstain	s'abstenir			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0292	allow, permit	permettre			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0293	forbid	interdire	18.38	to forbid	2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0294	prevent	empêcher	19.59	to prevent	2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0295	plan (n)	projet			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0296	try	essayer	17.48	to try	2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0297	succeed	réussir			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0298	fail	échouer		to fail	2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0299	pretend	faire semblant			2	3		MANÕS NONPHYSICAL BEING	HUMAN WILL	
0300	(be) kind	(être) gentil, bon			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0301	(be) generous	(être) généreux			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0302	(be) selfish	(être) égoïste			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0303	(be) honest	(être) honnête			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0304	(be) corrupt	(être) corrompu			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0305	(be) wicked	(être) méchant			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0306	(be) fierce	(être) féroce			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0307	(be) jealous	(être) jaloux			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0308	(be) shy	(être) timide			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0309	(be) courageous, (be) brave	(être) courageux			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0310	coward	lâche, poltroon			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0311	(be) curious	(être) curieux			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0312	(be) eager, (be) zealous	(être) zélé			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0313	(be) lazy	(être) paresseux			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0314	(be) patient	(être) patient			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0315	(be) impatient	(être) impatient			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0316	(be) restless, (be) unsettled	(être) agité, troublé			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0317	(be) stubborn	(être) têtu			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0318	reputation	réputation			2	4		MANÕS NONPHYSICAL BEING	HUMAN CHARACTER	
0319	hardship, distress	difficulté, détresse			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0320	(be) difficult	(être) difficile			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0321	suffer	souffrir			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0322	obstruct	empêcher			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0323	stumbling block, obstruction	obstacle, pierre d'achappement			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0324	danger	danger	16.54	the danger	2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0325	problem, trouble	problèm, trouble, ennui			2	5		MANÕS NONPHYSICAL BEING	DIFFICULTY	
0326	human being, person	personne			3			PERSONS		
0327	self	le moi, soi-même			3			PERSONS		
0328	man (male)	homme (mâle)			3			PERSONS		
0329	woman	femme	2.22	the woman	3			PERSONS		
0330	white man	homme blanc			3			PERSONS		
0331	fetus	foetus			3	1		PERSONS	STAGES OF LIFE	
0332	baby	bébé	2.28	the baby	3	1		PERSONS	STAGES OF LIFE	
0333	twin	jumeau			3	1		PERSONS	STAGES OF LIFE	
0334	child	enfant			3	1		PERSONS	STAGES OF LIFE	
0335	boy	garçon	2.25	the boy	3	1		PERSONS	STAGES OF LIFE	
0336	girl	(petite) fille, filette	2.26	the girl	3	1		PERSONS	STAGES OF LIFE	
0337	adult	adulte			3	1		PERSONS	STAGES OF LIFE	
0338	young man	jeune homme	2.251	the young man	3	1		PERSONS	STAGES OF LIFE	
0339	virgin	vierge			3	1		PERSONS	STAGES OF LIFE	
0340	old person	vieillard(e)			3	1		PERSONS	STAGES OF LIFE	
0341	relative (by blood)	parent, relation			3	2		PERSONS	BLOOD RELATIONS	
0342	ancestor	ancêtre			3	2		PERSONS	BLOOD RELATIONS	
0343	grandparent	grand-parent			3	2		PERSONS	BLOOD RELATIONS	
0344	father	père	2.35	the father	3	2		PERSONS	BLOOD RELATIONS	
0345	mother	mère	2.36	the mother	3	2		PERSONS	BLOOD RELATIONS	
0346	brother (elder/younger)	frère (aîné/cadet)			3	2		PERSONS	BLOOD RELATIONS	
0347	sister (elder/younger)	soeur (aînée/cadette)			3	2		PERSONS	BLOOD RELATIONS	
0348	father's brother (uncle)	oncle paternel			3	2		PERSONS	BLOOD RELATIONS	
0349	mother's brother (uncle)	oncle maternel			3	2		PERSONS	BLOOD RELATIONS	
0350	mother's sister (aunt)	tante maternelle			3	2		PERSONS	BLOOD RELATIONS	
0351	father's sister (aunt)	tante paternelle			3	2		PERSONS	BLOOD RELATIONS	
0352	cousin	cousin	2.55	the cousin	3	2		PERSONS	BLOOD RELATIONS	
0353	firstborn	premier-né			3	2		PERSONS	BLOOD RELATIONS	
0354	descendant	descendant			3	2		PERSONS	BLOOD RELATIONS	
0355	son	fils	2.41	the son	3	2		PERSONS	BLOOD RELATIONS	
0356	daughter	fille	2.42	the daughter	3	2		PERSONS	BLOOD RELATIONS	
0357	grandchild	petit-fils, petite-fille	2.50	the grandchild	3	2		PERSONS	BLOOD RELATIONS	
0358	nephew	neveu	2.53	the nephew	3	2		PERSONS	BLOOD RELATIONS	
0359	name	nom	18.28	the name	3	2		PERSONS	BLOOD RELATIONS	
0360	namesake	homonyme			3	2		PERSONS	BLOOD RELATIONS	
0361	in-law, relative by marriage	relation par mariage, parent par alliance			3	3		PERSONS	MARRIAGE RELATIONS	
0362	husband	mari, époux	2.31	the husband	3	3		PERSONS	MARRIAGE RELATIONS	
0363	wife	femme, épouse	2.32	the wife	3	3		PERSONS	MARRIAGE RELATIONS	
0364	fellow-wife, co-wife	co-épouse			3	3		PERSONS	MARRIAGE RELATIONS	
0365	father-in-law	beau-père			3	3		PERSONS	MARRIAGE RELATIONS	
0366	mother-in-law	belle-mère			3	3		PERSONS	MARRIAGE RELATIONS	
0367	brother-in-law	beau-frère			3	3		PERSONS	MARRIAGE RELATIONS	
0368	sister-in-law	belle-soeur			3	3		PERSONS	MARRIAGE RELATIONS	
0369	son-in-law	beau-fils			3	3		PERSONS	MARRIAGE RELATIONS	
0370	daughter-in-law	belle-fille			3	3		PERSONS	MARRIAGE RELATIONS	
0371	widow	veuve	2.76	the widow	3	3		PERSONS	MARRIAGE RELATIONS	
0372	widower	veuf	2.77	the widower	3	3		PERSONS	MARRIAGE RELATIONS	
0373	orphan	orphelin	2.75	the orphan	3	3		PERSONS	MARRIAGE RELATIONS	
0374	fiancé (betrothed boyfriend)	fiancé			3	3		PERSONS	MARRIAGE RELATIONS	
0375	fiancée (betrothed girlfriend)	fiancée			3	3		PERSONS	MARRIAGE RELATIONS	
0376	bastard, illegitimate child	bâtard, enfant illégitime			3	3		PERSONS	MARRIAGE RELATIONS	
0377	tribe, ethnic group	tribu, ethnie			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0378	clan	clan	19.23	the clan	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0379	family	famille	2.82	the family	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0380	friend	ami, camarade	19.51	the friend	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0381	neighbour	voisin	19.54	the neighbour	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0382	acquaintance	(une) connaissance			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0383	host	hôte (une accueille)	19.57	the host	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0384	guest, visitor	hôte, visiteur, invité, <<étranger>>			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0385	stranger (unknown person)	étranger (inconnuu)			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0386	enemy	ennemi	19.52	the enemy	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0387	traitor	traitre			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0388	thief	voleur	21.52	the thief	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0389	guide (n)	guide			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0390	messenger	messager			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0391	crowd	foule	13.19	the crowd	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0392	chief, headman	chef			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0393	elder	ancien			3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0394	master	maître	19.41	the master	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0395	slave	esclave	19.42	the slave	3	4		PERSONS	RELATIONS, EXTENDED AND SOCIAL RELATIONS	
0396	farmer	cultivateur	8.11	the farmer	3	5		PERSONS	PROFESSIONS	
0397	fisherman	pêcheur	20.51	the fisherman	3	5		PERSONS	PROFESSIONS	
0398	hunter	chasseur			3	5		PERSONS	PROFESSIONS	
0399	blacksmith	forgeron	9.6	the blacksmith	3	5		PERSONS	PROFESSIONS	
0400	potter	potier	9.71	the potter	3	5		PERSONS	PROFESSIONS	
0401	weaver	tisserand			3	5		PERSONS	PROFESSIONS	
0402	butcher (n)	boucher			3	5		PERSONS	PROFESSIONS	
0403	trader	commercant			3	5		PERSONS	PROFESSIONS	
0404	(domestic) servant	domestique, servante, serviteur			3	5		PERSONS	PROFESSIONS	
0405	beggar	mendiant	11.53	the beggar	3	5		PERSONS	PROFESSIONS	
0406	soldier	soldat	20.17	the soldier	3	5		PERSONS	PROFESSIONS	
0407	prostitute	prostituée	19.72	the prostitute	3	5		PERSONS	PROFESSIONS	
0408	midwife	sage-femme, accoucheuse			3	5		PERSONS	PROFESSIONS	
0409	medicine man, traditional healer	guérisseur traditionnel, chaman			3	5		PERSONS	PROFESSIONS	
0410	fetish priest	féticheur			3	5		PERSONS	PROFESSIONS	
0411	sorcerer (male)	sorcier			3	5		PERSONS	PROFESSIONS	
0412	witch (female)	sorcière			3	5		PERSONS	PROFESSIONS	
0413	fortune-teller, diviner	devin, diseur			3	5		PERSONS	PROFESSIONS	
0414	meet, encounter	rencontrer			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0415	accompany	accompagner			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0416	(be) together	(être) ensemble			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0417	assemble, meet together	se rassembler			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0418	invite	inviter	19.565	to invite	4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0419	(be) alone	(être) seule, solitaire			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0420	abandon	abandoner			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0421	flee, run away from	s'enfuir, fuir, s'échapper			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0422	drive away	chasser			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0423	avoid	éviter			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0424	(be) same	(être) le même			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0425	(be) different	(être) différent			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0426	resemble	ressembler			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0427	imitate	imiter	17.172	to imitate	4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0428	admire	admirer			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0429	befit, suit	convenir (à qqn)			4	1		PERSONAL INTERACTION	ASSOCIATION OF PERSONS	
0430	language	langue, langage	18.24	the language	4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0431	word	mot, parole	18.26	the word	4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0432	meaning (n)	sense, signification			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0433	say	dire	18.22	to say	4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0434	voice	voix	18.11	the voice	4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0435	speak, talk	parler			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0436	whisper (v)	chuchoter			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0437	shout (v), cry out	hurler, parler fort, crier			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0438	chat (v)	causer, bavarder			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0439	mumble	marmonner, bredouiller	18.16	to mumble	4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0440	stutter	bégayer			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0441	(be) eloquent	(être) éloquent			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0442	(be) silent	se taire, (être) silencieux			4	2		PERSONAL INTERACTION	SPEECH, LANGUAGE	
0443	greet (v)	saluer			4	2	1	PERSONAL INTERACTION	SPEECH, LANGUAGE	Greeting
0444	call (someone)	appeler, interpeller			4	2	1	PERSONAL INTERACTION	SPEECH, LANGUAGE	Greeting
0445	say goodbye, take leave of	prendre congé, faire ses adieux			4	2	1	PERSONAL INTERACTION	SPEECH, LANGUAGE	Greeting
0446	announce	annoncer	18.43	to announce	4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0447	announcement	annonce			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0448	news	nouvelles			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0449	explain	expliquer	17.38	to explain	4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0450	advise	counseiller			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0451	gossip (v)	faire des commérages			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0452	lie (n) (falsehood)	mensonge			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0453	ask, request	demander			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0454	plead, implore	supplier, implorer			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0455	request (n)	demande, requête			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0456	answer, reply (v)	répondre			4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0457	thank	remercier		to thank	4	2	2	PERSONAL INTERACTION	SPEECH, LANGUAGE	Information and questions
0458	promise (n)	promesse			4	2	3	PERSONAL INTERACTION	SPEECH, LANGUAGE	Promise
0459	oath	serment	21.25	the oath	4	2	3	PERSONAL INTERACTION	SPEECH, LANGUAGE	Promise
0460	swear	jurer, prêter serment	21.24	to swear	4	2	3	PERSONAL INTERACTION	SPEECH, LANGUAGE	Promise
0461	insult (v)	insulter			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0462	insult (n)	insulte			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0463	slander (v)	calomnier			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0464	threaten	menacer	18.44	to threaten	4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0465	argue	se disputer			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0466	argument	dispute			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0467	grumble, complain	se plaindre, râler			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0468	contradict	contredire			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0469	accuse	accuser	21.31	to accuse	4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0470	deny	nier	18.34	to deny	4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0471	admit (to a wrong)	admettre, avouer (un tort)			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0472	agree	être/ se mettre d'accord			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0473	agreement	accord			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0474	persuade	persuader			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0475	praise (n)	louange			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0476	bless, praise (someone)	bénir, louer			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0477	congratulate	féliciter			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0478	boast, brag	se vanter			4	2	4	PERSONAL INTERACTION	SPEECH, LANGUAGE	Strife and praise
0479	tell, recount (story)	raconter (un conte)			4	2	5	PERSONAL INTERACTION	SPEECH, LANGUAGE	Discourse genres
0480	story (tale)	conte, histoire			4	2	5	PERSONAL INTERACTION	SPEECH, LANGUAGE	Discourse genres
0481	proverb	proverbe			4	2	5	PERSONAL INTERACTION	SPEECH, LANGUAGE	Discourse genres
0482	speech, discourse	discours			4	2	5	PERSONAL INTERACTION	SPEECH, LANGUAGE	Discourse genres
0483	account (report) (n)	rapport, compte rendu			4	2	5	PERSONAL INTERACTION	SPEECH, LANGUAGE	Discourse genres
0484	embrace, hug (v)	embrasser, êtreindre			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0485	caress (v)	caresser			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0486	kiss (v)	embrasser, donner un baiser			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0487	copulate, have sexual intercourse	faire l'amour, avoir des relations sexuelles			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0488	nurse, suckle (baby) (tr)	téter, allaiter			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0489	tickle (v)	chatouiller			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0490	spank (child)	donner une fessée, fesser			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0491	whip (n)	fouet, chicotte			4	3		PERSONAL INTERACTION	INTERPERSONAL CONTACT	
0492	help	aider	19.58	to help	4	4		PERSONAL INTERACTION	HELP AND CARE	
0493	protect, defend	protéger, défendre			4	4		PERSONAL INTERACTION	HELP AND CARE	
0494	look after	prendre soin (de qqn)			4	4		PERSONAL INTERACTION	HELP AND CARE	
0495	bring up (a child)	élever (un enfant)			4	4		PERSONAL INTERACTION	HELP AND CARE	
0496	rule over, dominate	gouverner, dominer			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0497	order (someone to do something)	commander, ordonner (à qqn de faire qqch)			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0498	command (n)	ordre			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0499	duty, obligation	(un) devoir, obligation			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0500	send (someone to do something)	envoyer en commission			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0501	serve	servir			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0502	lead, guide (v)	diriger, guider			4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0503	follow	suivre	10.52	to follow	4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0504	obey	obéir	19.46	to obey	4	5		PERSONAL INTERACTION	DOMINION AND CONTROL	
0505	please, satisfy	plaire, satisfaire			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0506	annoy, disturb	embêter, déranger, ennuyer			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0507	deceive	tromper, décevoir			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0508	quarrel	querelle	19.62	the quarrel	4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0509	fight	se battre, combattre	20.11	to fight	4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0510	stab	poignarder	9.223	to stab	4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0511	kill, murder	tuer			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0512	take revenge	se venger			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0513	resolve, settle (dispute)	résoudre, régler (une dispute)			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0514	intercede, mediate	intercéder, servir d'intermédiaire			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0515	compromise	compromis			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0516	appease, pacify	apaiser			4	6		PERSONAL INTERACTION	CONFLICT AND RESOLUTION	
0517	steal	voler (dérober)	21.51	to steal	4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0518	rape	viol	21.44	the rape	4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0519	judge (v)	juger			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0520	law	loi	21.11	the law	4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0521	(be) fair, just	(être) juste			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0522	(be) guilty	(être) coupable			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0523	(be) innocent	(être) innocent			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0524	punish	punir			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0525	penalty, punishment	pénalité, punition			4	7		PERSONAL INTERACTION	CRIME AND JUSTICE	
0526	dwell, inhabit	habiter			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
0527	inhabitant, resident	habitant, résident			5	1		HUMAN CIVILISATION	SETTLEMENT HABITATION	
