NUMBER	GLOSS	MSEA_281	MSEA_436	Matisoff_209	Swadesh_100	Swadesh_200	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
419	sweet	---	sweet	sweet	---	---	717	SWEET (adjective)	3

420	swell	swollen	swell	---	---	swell	1573	SWELL (verb)	3

422	swim	swim	swim	---	swim	swim	1439	SWIM (verb)	3

423	tail	tail	tail	tail	tail	tail	1220	TAIL (noun)	3

424	take	---	take	---	---	---	1749	TAKE (verb)	3

425	tall	tall	tall	---	---	---	711	TALL (adjective)	3

426	tell	---	tell	---	---	---	1711	TELL (verb)	3

432	thick	thick	thick	thick	---	thick	1244	THICK (adjective)	3

433	thigh	thigh	thigh	---	---	---	800	THIGH (noun)	3

434	thin	thin	thin	thin	---	thin	1400	THIN (SLIM) (adjective)	3

435	think	think	think	---	---	think	1415	THINK (REFLECT) (verb)	3

436	thirsty	---	thirsty	---	---	---	847	THIRSTY (adjective)	3

439	thorn	---	thorn	thorn (prick)	---	---	124	THORN (noun)	3

442	throw	throw	throw	---	---	throw	1456	THROW (verb)	3

443	thunder	---	thunder	---	---	---	2378	THUNDER (VERB) (verb)	3

444	tie	tie	tie	tie	---	tie	1917	TIE (verb)	3

445	tiger	tiger	tiger	---	---	---	846	TIGER (noun)	3

446	tired	---	tired	---	---	---	1757	TIRED (adjective)	3

448	tongue	tongue	tongue	tongue (n)	tongue	tongue	1205	TONGUE (noun)	3

449	tooth	tooth	tooth	tooth (n)	tooth	tooth	1380	TOOTH (noun)	3

450	tree	tree	tree	tree (n)/wood	tree	tree	906	TREE (noun)	3

451	trousers	---	trousers	---	---	---	809	TROUSERS (noun)	3

452	turn	turn	---	---	---	turn	1588	TURN (verb)	3

453	turtle	---	turtle	---	---	---	112	TURTLE (noun)	3

457	urine	---	urine	piss	---	---	1142	URINE (noun)	3

458	village	---	village	village	---	---	930	VILLAGE (noun)	3

459	vomit	vomit	vomit	vomit	---	vomit	1278	VOMIT (verb)	3

461	walk	walk	walk	---	walk	walk	1443	WALK (verb)	3

463	warm	warm	warm	warm	---	warm	1232	WARM (adjective)	3

464	wash	wash (dishes)	wash	wash	---	wash	1453	WASH (verb)	3

465	water	water	water	water	water	water	948	WATER (noun)	3

466	water leech	---	water leech	water leech	---	---	949	WATER LEECH (noun)	3

468	weak	---	weak	---	---	---	1601	WEAK (adjective)	3

469	weave (cloth)	---	weave (cloth)	weave	---	---	133	WEAVE (verb)	3

471	west	---	west	---	---	---	1817	WEST (noun)	3

472	wet	wet	wet	---	---	wet	1726	WET (adjective)	3

477	whistle	---	whistle	---	---	---	1025	WHISTLE (verb)	3

478	white	white	white	white	white	white	1335	WHITE (adjective)	3

480	wide	wide	wide	---	---	wide	1243	WIDE (adjective)	3

481	widow	---	widow	---	---	---	1756	WIDOW (noun)	3

482	wife	wife	wife	---	---	wife	1199	WIFE (noun)	3

483	wind	wind	wind	wind	---	wind	960	WIND (noun)	3

484	window	---	window	---	---	---	1375	WINDOW (noun)	3

485	wing	wing	wing	wing	---	wing	1257	WING (noun)	3

488	wipe	wipe	wipe	---	---	wipe	1454	WIPE (verb)	3

490	woman	woman	woman	---	woman	woman	962	WOMAN (noun)	3

491	woods	forest	forest	---	---	woods	2311	WOODS (noun)	3

493	worm	earthworm	earthworm	---	---	worm	1219	WORM (noun)	3

494	wrong	---	wrong	---	---	---	1390	WRONG (adjective)	3

495	yawn	---	yawn	---	---	---	1028	YAWN (verb)	3

496	year	year	year	year	---	year	1226	YEAR (noun)	3

497	yellow	yellow	yellow	---	yellow	yellow	1424	YELLOW (adjective)	3

9	area under house	—	area under house	---	---	---	408	MEN'S HOUSE (noun)	5

20	bamboo shoot	---	bamboo shoot	---	---	---	2160	BAMBOO HAT (noun)	5

34	bird nest	---	bird	nest	---	---	539	NEST (noun)	5

90	crested	---	crested	---	---	---	2346	CRESTED MYNA (noun)	5

240	lie on side	lie down	---	---	lie on side	lie (on side)	682	SIDE (noun)	5

292	palm	palm	palm	palm	---	---	2372	SAGO PALM (noun)	5

322	red pepper	red pepper	red pepper	---	---	---	1385	PEPPER (noun)	5

323	return	return	return	---	---	---	142	RETURN HOME (verb)	5

402	split w knife	---	split w knife	---	---	---	1352	KNIFE (noun)	5

421	swidden	---	---	swidden	---	---	429	SWIDDEN FIELD (noun)	5

460	wait	---	wait	---	---	---	1590	WAIT FOR (verb)	5

462	wall of house	---	wall of house	---	---	---	408	MEN'S HOUSE (noun)	5

1	afraid	afraid	afraid	fear/frighten	---	fear	0	???	8

13	ashes	ashes	ashes	ashes	ashes	ashes	0	???	8

15	awaken	---	---	awaken	---	---	0	???	8

65	cane/rattan	---	cane/rattan	---	---	---	???	???	8
65	cane/rattan	---	cane/rattan	---	---	---	0	???	8

83	cool	---	cool	---	---	---	0	???	8

84	corn	corn	corn	---	---	---	???	???	8

105	disgusting	---	disgusting	---	---	---	0	???	8

108	don't do it	---	don't do it	---	---	---	???	???	8

126	eggplant	---	eggplant	---	---	---	0	???	8

132	exchange	---	exchange	---	---	---	0	???	8

133	excrement	---	excrement	shit	---	---	0	???	8

174	gibbon	---	gibbon	---	---	---	0	???	8

175	ginger	---	ginger	---	---	---	0	???	8

178	gong	gong	gong	---	---	---	0	???	8

188	half a quantity	---	half a quantity	---	---	---	???	???	8

210	hurt	---	hurt	---	---	---	0	???	8

215	ill	ill	---	ill	---	---	0	???	8

218	intestine	intestine	intestine	guts	---	guts	0	???	8

220	irrigated paddy field	---	wet rice field	irrigated paddy field	---	---	???	???	8

222	jackfruit (fruit)	---	jackfruit (fruit)	---	---	---	0	???	8

224	kapok	---	kapok	---	---	---	0	???	8

231	ladle	---	coconut shell ladle	---	---	---	0	???	8

234	launder	launder	launder	---	---	---	0	???	8

241	lie, fib	lie, fib	lie, fib	---	---	---	0	???	8

244	lightweight	---	---	lightweight	---	---	0	???	8

251	loose	---	loose	let go/set free/loosen	---	---	0	???	8

254	lungs	---	lungs	---	---	---	0	???	8

256	mango (fruit)	---	mango (fruit)	---	---	---	0	???	8

265	mortar	mortar	mortar	mortar	---	---	???	???	8

271	mushroom/fungus	---	mushroom	mushroom/fungus	---	---	0	???	8

283	noon	---	noon	---	---	---	0	???	8

289	opium	---	opium	---	---	---	0	???	8

293	---	pangolin	---	---	---	---	0	???	8

294	papaya	papaya	---	---	---	---	0	???	8

298	peas,	beans	---	---	peas, beans	---	0	???	8

302	pangolin	---	pangolin	---	---	---	0	???	8

303	papaya	papaya	papaya	---	---	---	0	???	8

310	porcupine	---	porcupine	---	---	---	0	???	8

328	rice seedling	---	rice seedling	---	---	---	???	???	8

345	sarong	sarong	sarong	---	---	---	0	???	8

374	skinny	---	skinny	---	---	---	0	???	8

377	sleeping area	---	sleeping area	---	---	---	0	???	8

415	sugarcane	---	sugarcane	---	---	---	0	???	8

428	termite	---	termite	---	---	---	0	???	8

454	tusk	tusk	tusk	---	---	---	0	???	8

455	twenty/score	twenty	---	twenty/score	---	---	0	???	8

470	weep	weep	weep	weep	---	---	0	???	8

486	wink	---	wink	---	---	---	0	???	8

487	winnow (rice)	---	winnow (rice)	---	---	---	0	???	8

